#t[yr]	ecc	inc	eachmass	totalmass
0.000000e+00	1.000000000000000e-04	5.000000000000000e-05	3.000000000000000e-06	3.000000000000000e-06
1.731156e-05	1.000000043152148e-04	4.999999965767128e-05	3.000000000000000e-06	3.000000000000000e-06
3.462313e-05	1.000000086303132e-04	4.999999931528384e-05	3.000000000000000e-06	3.000000000000000e-06
5.210781e-05	1.000000129884678e-04	4.999999896942500e-05	3.000000000000000e-06	3.000000000000000e-06
6.976560e-05	1.000000173897568e-04	4.999999862013306e-05	3.000000000000000e-06	3.000000000000000e-06
8.759825e-05	1.000000218346892e-04	4.999999826741272e-05	3.000000000000000e-06	3.000000000000000e-06
1.056075e-04	1.000000263237755e-04	4.999999791127143e-05	3.000000000000000e-06	3.000000000000000e-06
1.237950e-04	1.000000308575319e-04	4.999999755171318e-05	3.000000000000000e-06	3.000000000000000e-06
1.421627e-04	1.000000354357800e-04	4.999999718839300e-05	3.000000000000000e-06	3.000000000000000e-06
1.607122e-04	1.000000400597486e-04	4.999999682166865e-05	3.000000000000000e-06	3.000000000000000e-06
1.794454e-04	1.000000447292701e-04	4.999999645119496e-05	3.000000000000000e-06	3.000000000000000e-06
1.983640e-04	1.000000494448806e-04	4.999999607697886e-05	3.000000000000000e-06	3.000000000000000e-06
2.174701e-04	1.000000542071278e-04	4.999999569902957e-05	3.000000000000000e-06	3.000000000000000e-06
2.367653e-04	1.000000590165615e-04	4.999999531735312e-05	3.000000000000000e-06	3.000000000000000e-06
2.562515e-04	1.000000638737411e-04	4.999999493195791e-05	3.000000000000000e-06	3.000000000000000e-06
2.759307e-04	1.000000687792301e-04	4.999999454285296e-05	3.000000000000000e-06	3.000000000000000e-06
2.958048e-04	1.000000737328888e-04	4.999999414969226e-05	3.000000000000000e-06	3.000000000000000e-06
3.158757e-04	1.000000787360048e-04	4.999999375284096e-05	3.000000000000000e-06	3.000000000000000e-06
3.361453e-04	1.000000837884488e-04	4.999999335195528e-05	3.000000000000000e-06	3.000000000000000e-06
3.566156e-04	1.000000888908099e-04	4.999999294704353e-05	3.000000000000000e-06	3.000000000000000e-06
3.772887e-04	1.000000940436852e-04	4.999999253811662e-05	3.000000000000000e-06	3.000000000000000e-06
3.981664e-04	1.000000992476766e-04	4.999999212518610e-05	3.000000000000000e-06	3.000000000000000e-06
4.192508e-04	1.000001045033926e-04	4.999999170826403e-05	3.000000000000000e-06	3.000000000000000e-06
4.405441e-04	1.000001098107348e-04	4.999999128700672e-05	3.000000000000000e-06	3.000000000000000e-06
4.620481e-04	1.000001151710425e-04	4.999999086178346e-05	3.000000000000000e-06	3.000000000000000e-06
4.837651e-04	1.000001205842278e-04	4.999999043224927e-05	3.000000000000000e-06	3.000000000000000e-06
5.056972e-04	1.000001260509288e-04	4.999998999841795e-05	3.000000000000000e-06	3.000000000000000e-06
5.278464e-04	1.000001315717881e-04	4.999998956030406e-05	3.000000000000000e-06	3.000000000000000e-06
5.502149e-04	1.000001371474573e-04	4.999998911792455e-05	3.000000000000000e-06	3.000000000000000e-06
5.728050e-04	1.000001427785961e-04	4.999998867129324e-05	3.000000000000000e-06	3.000000000000000e-06
5.956187e-04	1.000001484651495e-04	4.999998822006642e-05	3.000000000000000e-06	3.000000000000000e-06
6.186583e-04	1.000001542077903e-04	4.999998776426064e-05	3.000000000000000e-06	3.000000000000000e-06
6.419260e-04	1.000001600079209e-04	4.999998730425547e-05	3.000000000000000e-06	3.000000000000000e-06
6.654242e-04	1.000001658647867e-04	4.999998683934602e-05	3.000000000000000e-06	3.000000000000000e-06
6.891550e-04	1.000001717798057e-04	4.999998636991135e-05	3.000000000000000e-06	3.000000000000000e-06
7.131208e-04	1.000001777536808e-04	4.999998589597078e-05	3.000000000000000e-06	3.000000000000000e-06
7.373239e-04	1.000001837864037e-04	4.999998541718486e-05	3.000000000000000e-06	3.000000000000000e-06
7.617667e-04	1.000001898794139e-04	4.999998493393348e-05	3.000000000000000e-06	3.000000000000000e-06
7.864515e-04	1.000001960327178e-04	4.999998444587652e-05	3.000000000000000e-06	3.000000000000000e-06
8.113807e-04	1.000002022463294e-04	4.999998395267441e-05	3.000000000000000e-06	3.000000000000000e-06
8.365568e-04	1.000002085217137e-04	4.999998345471278e-05	3.000000000000000e-06	3.000000000000000e-06
8.619822e-04	1.000002148596228e-04	4.999998295201298e-05	3.000000000000000e-06	3.000000000000000e-06
8.876593e-04	1.000002212600969e-04	4.999998244423734e-05	3.000000000000000e-06	3.000000000000000e-06
9.135907e-04	1.000002277239035e-04	4.999998193141061e-05	3.000000000000000e-06	3.000000000000000e-06
9.397789e-04	1.000002342518203e-04	4.999998141355988e-05	3.000000000000000e-06	3.000000000000000e-06
9.662263e-04	1.000002408439129e-04	4.999998089034792e-05	3.000000000000000e-06	3.000000000000000e-06
9.929357e-04	1.000002475016964e-04	4.999998036216310e-05	3.000000000000000e-06	3.000000000000000e-06
