#t[yr]	ecc	inc	eachmass	totalmass
0.000000e+00	5.000000000000000e-02	2.500000000000000e-02	3.000000000000000e-07	3.000000000000000e-06
1.000000e-03	5.000002135790319e-02	2.500000881746486e-02	2.999979549590818e-07	2.999979549590818e-06
1.000000e-02	5.000021357861428e-02	2.500008817452187e-02	2.999795507199485e-07	2.999795507199486e-06
1.000000e-01	5.000213574444492e-02	2.500088173243173e-02	2.997956223224857e-07	2.997956223224857e-06
1.000000e+00	5.002135327590551e-02	2.500881604569231e-02	2.979676560830697e-07	2.979676560830698e-06
2.467871e+00	5.005267947790241e-02	2.502175315862923e-02	2.950174812703661e-07	2.950174812703661e-06
3.944003e+00	5.008416010732027e-02	2.503475934781841e-02	2.920965161092733e-07	2.920965161092734e-06
5.433673e+00	5.011590689619091e-02	2.504788086403107e-02	2.892044713953201e-07	2.892044713953202e-06
6.936999e+00	5.014792133830542e-02	2.506111844982433e-02	2.863410607874457e-07	2.863410607874457e-06
8.454096e+00	5.018020483347240e-02	2.507447281074982e-02	2.835060007796492e-07	2.835060007796492e-06
9.985082e+00	5.021275877846620e-02	2.508794465292725e-02	2.806990106729200e-07	2.806990106729200e-06
1.000000e+01	5.021307584500281e-02	2.508807591267764e-02	2.806719091542004e-07	2.806719091542005e-06
1.155911e+01	5.024620133347416e-02	2.510179008276268e-02	2.778929793605945e-07	2.778929793605945e-06
1.311836e+01	5.027930251422053e-02	2.511550001094579e-02	2.751415637233609e-07	2.751415637233609e-06
1.469184e+01	5.031267806728095e-02	2.512932944033897e-02	2.724173898251098e-07	2.724173898251098e-06
1.627968e+01	5.034632963375030e-02	2.514327918564536e-02	2.697201879456533e-07	2.697201879456532e-06
1.788201e+01	5.038025859345428e-02	2.515734995527675e-02	2.670496910353002e-07	2.670496910353002e-06
1.949894e+01	5.041446632208698e-02	2.517154245782626e-02	2.644056346884161e-07	2.644056346884161e-06
2.113059e+01	5.044895419127607e-02	2.518585740210567e-02	2.617877571172436e-07	2.617877571172436e-06
2.277709e+01	5.048372356842287e-02	2.520029549708948e-02	2.591957991259838e-07	2.591957991259838e-06
2.443856e+01	5.051877581654192e-02	2.521485745185829e-02	2.566295040851325e-07	2.566295040851325e-06
2.611513e+01	5.055411229410020e-02	2.522954397554193e-02	2.540886179060718e-07	2.540886179060717e-06
2.780693e+01	5.058973435485617e-02	2.524435577726210e-02	2.515728890159126e-07	2.515728890159126e-06
2.951407e+01	5.062564334769846e-02	2.525929356607469e-02	2.490820683325868e-07	2.490820683325867e-06
3.123669e+01	5.066184061648452e-02	2.527435805091168e-02	2.466159092401849e-07	2.466159092401849e-06
3.297491e+01	5.069832749987904e-02	2.528954994052275e-02	2.441741675645395e-07	2.441741675645395e-06
3.472887e+01	5.073510533119235e-02	2.530486994341646e-02	2.417566015490491e-07	2.417566015490490e-06
3.649870e+01	5.077217543821874e-02	2.532031876780118e-02	2.393629718307416e-07	2.393629718307416e-06
3.828451e+01	5.080953914307487e-02	2.533589712152566e-02	2.369930414165759e-07	2.369930414165758e-06
4.008646e+01	5.084719776203814e-02	2.535160571201930e-02	2.346465756599761e-07	2.346465756599761e-06
4.190467e+01	5.088515260538533e-02	2.536744524623216e-02	2.323233422376001e-07	2.323233422376000e-06
