#t[yr]	ecc	inc	eachmass	totalmass
0.000000e+00	5.000000000000000e-02	2.500000000000000e-02	3.000000000000000e-06	3.000000000000000e-06
1.000000e-03	4.999998671527309e-02	2.499999537983822e-02	3.000000000000000e-06	3.000000000000000e-06
1.000000e-02	4.999986715268857e-02	2.499995379837678e-02	3.000000000000000e-06	3.000000000000000e-06
1.000000e-01	4.999867152160588e-02	2.499953798293443e-02	3.000000000000000e-06	3.000000000000000e-06
1.000000e+00	4.998671468686245e-02	2.499537974568652e-02	3.000000000000000e-06	3.000000000000000e-06
1.000000e+01	4.986709377718605e-02	2.495378906707851e-02	3.000000000000000e-06	3.000000000000000e-06
2.172309e+01	4.971221755838723e-02	2.489989829179573e-02	3.000000000000000e-06	3.000000000000000e-06
3.360737e+01	4.955651117604040e-02	2.484565566750766e-02	3.000000000000000e-06	3.000000000000000e-06
4.570283e+01	4.939936469205594e-02	2.479084699524607e-02	3.000000000000000e-06	3.000000000000000e-06
5.801352e+01	4.924078236623149e-02	2.473547139135485e-02	3.000000000000000e-06	3.000000000000000e-06
7.054449e+01	4.908075801784254e-02	2.467952426999676e-02	3.000000000000000e-06	3.000000000000000e-06
8.330088e+01	4.891928603359040e-02	2.462300117006578e-02	3.000000000000000e-06	3.000000000000000e-06
9.628802e+01	4.875636119875013e-02	2.456589769445680e-02	3.000000000000000e-06	3.000000000000000e-06
1.000000e+02	4.871027273958323e-02	2.454971750036857e-02	3.000000000000000e-06	3.000000000000000e-06
1.134652e+02	4.854331412390328e-02	2.449110438703552e-02	3.000000000000000e-06	3.000000000000000e-06
1.269995e+02	4.837707765085515e-02	2.443266690552355e-02	3.000000000000000e-06	3.000000000000000e-06
1.407865e+02	4.820933438790341e-02	2.437362110249072e-02	3.000000000000000e-06	3.000000000000000e-06
1.548288e+02	4.804012184331301e-02	2.431397722319782e-02	3.000000000000000e-06	3.000000000000000e-06
1.691327e+02	4.786943665854407e-02	2.425373108530855e-02	3.000000000000000e-06	3.000000000000000e-06
1.837045e+02	4.769727682950717e-02	2.419287889300113e-02	3.000000000000000e-06	3.000000000000000e-06
1.985510e+02	4.752364096684068e-02	2.413141697484612e-02	3.000000000000000e-06	3.000000000000000e-06
2.136788e+02	4.734852834793292e-02	2.406934179988171e-02	3.000000000000000e-06	3.000000000000000e-06
2.290949e+02	4.717193895612724e-02	2.400664998917237e-02	3.000000000000000e-06	3.000000000000000e-06
2.448066e+02	4.699387352205838e-02	2.394333832811655e-02	3.000000000000000e-06	3.000000000000000e-06
2.608213e+02	4.681433356691354e-02	2.387940377943677e-02	3.000000000000000e-06	3.000000000000000e-06
2.771466e+02	4.663332144769377e-02	2.381484349688631e-02	3.000000000000000e-06	3.000000000000000e-06
2.937904e+02	4.645084040454659e-02	2.374965483970521e-02	3.000000000000000e-06	3.000000000000000e-06
3.107609e+02	4.626689461024081e-02	2.368383538785981e-02	3.000000000000000e-06	3.000000000000000e-06
3.280664e+02	4.608148922185421e-02	2.361738295810060e-02	3.000000000000000e-06	3.000000000000000e-06
3.457156e+02	4.589463043474384e-02	2.355029562087414e-02	3.000000000000000e-06	3.000000000000000e-06
3.637174e+02	4.570632553886771e-02	2.348257171812547e-02	3.000000000000000e-06	3.000000000000000e-06
3.820811e+02	4.551658297752437e-02	2.341420988202813e-02	3.000000000000000e-06	3.000000000000000e-06
4.008160e+02	4.532541240857472e-02	2.334520905467943e-02	3.000000000000000e-06	3.000000000000000e-06
4.199320e+02	4.513282476820703e-02	2.327556850879891e-02	3.000000000000000e-06	3.000000000000000e-06
4.394393e+02	4.493883233730203e-02	2.320528786946824e-02	3.000000000000000e-06	3.000000000000000e-06
4.593482e+02	4.474344881045002e-02	2.313436713695083e-02	3.000000000000000e-06	3.000000000000000e-06
4.796694e+02	4.454668936766599e-02	2.306280671062910e-02	3.000000000000000e-06	3.000000000000000e-06
5.004142e+02	4.434857074884150e-02	2.299060741409701e-02	3.000000000000000e-06	3.000000000000000e-06
5.215939e+02	4.414911133096363e-02	2.291777052144464e-02	3.000000000000000e-06	3.000000000000000e-06
5.432204e+02	4.394833120812162e-02	2.284429778477051e-02	3.000000000000000e-06	3.000000000000000e-06
5.653058e+02	4.374625227431024e-02	2.277019146295577e-02	3.000000000000000e-06	3.000000000000000e-06
5.878628e+02	4.354289830902606e-02	2.269545435173275e-02	3.000000000000000e-06	3.000000000000000e-06
6.109044e+02	4.333829506563770e-02	2.262008981507748e-02	3.000000000000000e-06	3.000000000000000e-06
6.344439e+02	4.313247036249414e-02	2.254410181795331e-02	3.000000000000000e-06	3.000000000000000e-06
6.584953e+02	4.292545417671617e-02	2.246749496042895e-02	3.000000000000000e-06	3.000000000000000e-06
6.830728e+02	4.271727874059415e-02	2.239027451319009e-02	3.000000000000000e-06	3.000000000000000e-06
7.081912e+02	4.250797864049140e-02	2.231244645445885e-02	3.000000000000000e-06	3.000000000000000e-06
7.338657e+02	4.229759091812531e-02	2.223401750832943e-02	3.000000000000000e-06	3.000000000000000e-06
7.598672e+02	4.208813253074662e-02	2.215573367286393e-02	3.000000000000000e-06	3.000000000000000e-06
7.861858e+02	4.187975044387004e-02	2.207764834107459e-02	3.000000000000000e-06	3.000000000000000e-06
8.128304e+02	4.167243828721550e-02	2.199975784487318e-02	3.000000000000000e-06	3.000000000000000e-06
8.398099e+02	4.146619158715580e-02	2.192205913773259e-02	3.000000000000000e-06	3.000000000000000e-06
8.671337e+02	4.126100590817850e-02	2.184454909844374e-02	3.000000000000000e-06	3.000000000000000e-06
8.948117e+02	4.105687687755041e-02	2.176722453623726e-02	3.000000000000000e-06	3.000000000000000e-06
9.228542e+02	4.085380018725511e-02	2.169008218713113e-02	3.000000000000000e-06	3.000000000000000e-06
9.512717e+02	4.065177159640427e-02	2.161311871014668e-02	3.000000000000000e-06	3.000000000000000e-06
9.800756e+02	4.045078693385518e-02	2.153633068326568e-02	3.000000000000000e-06	3.000000000000000e-06
1.000000e+03	4.031447327457990e-02	2.148408561019111e-02	3.000000000000000e-06	3.000000000000000e-06
1.029612e+03	4.011434216406391e-02	2.140724261294754e-02	3.000000000000000e-06	3.000000000000000e-06
1.059512e+03	3.991615374496584e-02	2.133091342463668e-02	3.000000000000000e-06	3.000000000000000e-06
1.089847e+03	3.971898165506840e-02	2.125474135804137e-02	3.000000000000000e-06	3.000000000000000e-06
1.120628e+03	3.952283515626172e-02	2.117872756162545e-02	3.000000000000000e-06	3.000000000000000e-06
