#t[yr]	ecc	inc	eachmass	totalmass
0.000000e+00	1.000000000000000e-02	5.000000000000000e-03	3.000000000000000e-06	3.000000000000000e-06
1.100000e-01	9.977564984518329e-03	4.979621782366482e-03	3.000000000000000e-06	3.000000000000000e-06
1.200000e-01	9.975645845381348e-03	4.977833351913411e-03	3.000000000000000e-06	3.000000000000000e-06
1.300000e-01	9.973761494587957e-03	4.976063432687785e-03	3.000000000000000e-06	3.000000000000000e-06
1.500000e-01	9.970062976374251e-03	4.972560855752729e-03	3.000000000000000e-06	3.000000000000000e-06
1.600000e-01	9.968248492650128e-03	4.970828007785917e-03	3.000000000000000e-06	3.000000000000000e-06
1.800000e-01	9.964655763537706e-03	4.967381454801164e-03	3.000000000000000e-06	3.000000000000000e-06
2.000000e-01	9.961165116591054e-03	4.963988957404212e-03	3.000000000000000e-06	3.000000000000000e-06
2.300000e-01	9.956065721097392e-03	4.958972346815044e-03	3.000000000000000e-06	3.000000000000000e-06
2.600000e-01	9.951165669868386e-03	4.954060907757211e-03	3.000000000000000e-06	3.000000000000000e-06
2.900000e-01	9.946399517540132e-03	4.949219952814194e-03	3.000000000000000e-06	3.000000000000000e-06
3.200000e-01	9.941796055427903e-03	4.944464537734113e-03	3.000000000000000e-06	3.000000000000000e-06
3.600000e-01	9.935933423635497e-03	4.938268484734388e-03	3.000000000000000e-06	3.000000000000000e-06
4.000000e-01	9.930322715814998e-03	4.932204401908070e-03	3.000000000000000e-06	3.000000000000000e-06
4.500000e-01	9.923663330160934e-03	4.924809363873459e-03	3.000000000000000e-06	3.000000000000000e-06
5.100000e-01	9.916159784820890e-03	4.916189754877386e-03	3.000000000000000e-06	3.000000000000000e-06
5.700000e-01	9.909183077864541e-03	4.907844331255929e-03	3.000000000000000e-06	3.000000000000000e-06
6.400000e-01	9.901682613351231e-03	4.898439735831520e-03	3.000000000000000e-06	3.000000000000000e-06
7.100000e-01	9.894868263461991e-03	4.889390289798005e-03	3.000000000000000e-06	3.000000000000000e-06
8.000000e-01	9.886945081585772e-03	4.878188402731585e-03	3.000000000000000e-06	3.000000000000000e-06
