#t[yr]	ecc	inc	eachmass	totalmass
0.000000e+00	1.000000000000000e-02	5.000000000000000e-03	3.000000000000000e-08	3.000000000000000e-05
1.100000e-01	1.004423468887150e-02	5.007887816777969e-03	2.826135705762620e-08	2.826135705762620e-05
1.200000e-01	1.004818778326666e-02	5.008587428189582e-03	2.798154164121406e-08	2.798154164121406e-05
1.300000e-01	1.005212302984940e-02	5.009281981403676e-03	2.770449667446937e-08	2.770449667446937e-05
1.500000e-01	1.005995631003881e-02	5.010661016525777e-03	2.743019472719739e-08	2.743019472719739e-05
1.600000e-01	1.006385470597827e-02	5.011345566725636e-03	2.743019472719739e-08	2.743019472719739e-05
1.800000e-01	1.007163034299450e-02	5.012709621310829e-03	2.688971152553416e-08	2.688971152553416e-05
2.000000e-01	1.007935416944856e-02	5.014059162854971e-03	2.662347675795461e-08	2.662347675795461e-05
2.300000e-01	1.009086840495349e-02	5.016064335109622e-03	2.609888908729988e-08	2.609888908729988e-05
2.600000e-01	1.010228333294952e-02	5.018041638759917e-03	2.584048424485137e-08	2.584048424485137e-05
2.900000e-01	1.011362819073112e-02	5.020000501760866e-03	2.533132461998958e-08	2.533132461998958e-05
3.200000e-01	1.012489245924421e-02	5.021936999426369e-03	2.483219745122005e-08	2.483219745122005e-05
3.600000e-01	1.013978008093670e-02	5.024481414851819e-03	2.434290505952363e-08	2.434290505952362e-05
4.000000e-01	1.015454550765287e-02	5.026991846754177e-03	2.386325366093876e-08	2.386325366093876e-05
4.500000e-01	1.017283500090269e-02	5.030082571540162e-03	2.339305328981351e-08	2.339305328981350e-05
5.100000e-01	1.019455564672948e-02	5.033726965890340e-03	2.270506705303936e-08	2.270506705303936e-05
5.700000e-01	1.021603874759798e-02	5.037302541632568e-03	2.203731438971656e-08	2.203731438971656e-05
6.400000e-01	1.024082200649153e-02	5.041391719537850e-03	2.117742597370595e-08	2.117742597370594e-05
7.100000e-01	1.026531558800364e-02	5.045393858117843e-03	2.055460100854599e-08	2.055460100854599e-05
8.000000e-01	1.029645155517818e-02	5.050434690917079e-03	1.975256755789937e-08	1.975256755789937e-05
9.000000e-01	1.033060428433980e-02	5.055902446040154e-03	1.898182917621024e-08	1.898182917621023e-05
1.000000e+00	1.036434125925255e-02	5.061244945735393e-03	1.806055914917672e-08	1.806055914917671e-05
1.130000e+00	1.040762985492375e-02	5.068016042945044e-03	1.718400232943379e-08	1.718400232943378e-05
1.260000e+00	1.045035202381780e-02	5.074614661973097e-03	1.634998859221069e-08	1.634998859221068e-05
1.420000e+00	1.050224686970103e-02	5.082527720915386e-03	1.555645313825025e-08	1.555645313825023e-05
1.590000e+00	1.055664659913178e-02	5.090711618776354e-03	1.465488255634399e-08	1.465488255634399e-05
1.780000e+00	1.061665438629779e-02	5.099621456767896e-03	1.366887354991470e-08	1.366887354991469e-05
2.000000e+00	1.068521215252387e-02	5.109665030274517e-03	1.287669719898940e-08	1.287669719898939e-05
2.240000e+00	1.075901054158383e-02	5.120337406849277e-03	1.201032796249421e-08	1.201032796249421e-05
2.520000e+00	1.084395239225204e-02	5.132467098277195e-03	1.109133636987358e-08	1.109133636987357e-05
2.820000e+00	1.093373960220060e-02	5.145138131998636e-03	1.024266305248612e-08	1.024266305248612e-05
3.170000e+00	1.103707567174679e-02	5.159565212277082e-03	9.458927482510393e-09	9.458927482510393e-06
3.550000e+00	1.114773032575951e-02	5.174868239390354e-03	8.735160832775204e-09	8.735160832775204e-06
3.990000e+00	1.127406248512683e-02	5.192199772883193e-03	7.986905420547053e-09	7.986905420547051e-06
4.470000e+00	1.140989762071521e-02	5.210717485411266e-03	7.230441285587921e-09	7.230441285587918e-06
5.020000e+00	1.156323369515286e-02	5.231527255880035e-03	6.611080414241471e-09	6.611080414241467e-06
5.630000e+00	1.173066621671908e-02	5.254195102418300e-03	5.984924855439086e-09	5.984924855439083e-06
6.310000e+00	1.191432044575696e-02	5.279054203777458e-03	5.418074396446792e-09	5.418074396446789e-06
7.080000e+00	1.211877301792140e-02	5.306786432189220e-03	4.856348584811228e-09	4.856348584811223e-06
7.950000e+00	1.234563608691068e-02	5.337699112535123e-03	4.352860417100332e-09	4.352860417100327e-06
8.920000e+00	1.259378144123225e-02	5.371753147309080e-03	3.901572030891474e-09	3.901572030891470e-06
1.000000e+01	1.286455780757177e-02	5.409273647258324e-03	3.497071546892138e-09	3.497071546892135e-06
1.123000e+01	1.316639184828428e-02	5.451617460113159e-03	3.103473434986241e-09	3.103473434986237e-06
1.259000e+01	1.349260832834352e-02	5.498076968243617e-03	2.754175095509524e-09	2.754175095509521e-06
1.413000e+01	1.385318680918437e-02	5.550353011419858e-03	2.419990648271790e-09	2.419990648271788e-06
1.585000e+01	1.424569464758978e-02	5.608445967210231e-03	2.126355273225462e-09	2.126355273225461e-06
1.779000e+01	1.467649024251162e-02	5.673725007835673e-03	1.868348851348921e-09	1.868348851348920e-06
1.996000e+01	1.514459947058420e-02	5.746565968582387e-03	1.641648258073901e-09	1.641648258073900e-06
2.239000e+01	1.565297527621407e-02	5.828046162514057e-03	1.428173193594326e-09	1.428173193594326e-06
2.512000e+01	1.620585983396864e-02	5.919616617826156e-03	1.254882370494797e-09	1.254882370494797e-06
