#t[yr]	ecc	inc	eachmass	totalmass
0.000000e+00	3.000000000000000e-02	1.500000000000000e-02	3.000000000000000e-06	3.000000000000000e-06
1.100000e-01	2.996375741665357e-02	1.498611922210072e-02	3.000000000000000e-06	3.000000000000000e-06
1.200000e-01	2.996066937289956e-02	1.498493312043790e-02	3.000000000000000e-06	3.000000000000000e-06
1.300000e-01	2.995761438161458e-02	1.498375913578011e-02	3.000000000000000e-06	3.000000000000000e-06
1.500000e-01	2.995160230434393e-02	1.498144705876081e-02	3.000000000000000e-06	3.000000000000000e-06
1.600000e-01	2.994864459937586e-02	1.498030873962705e-02	3.000000000000000e-06	3.000000000000000e-06
1.800000e-01	2.994282433029282e-02	1.497806698085480e-02	3.000000000000000e-06	3.000000000000000e-06
2.000000e-01	2.993712891257648e-02	1.497587099418452e-02	3.000000000000000e-06	3.000000000000000e-06
2.300000e-01	2.992881471921104e-02	1.497266094518428e-02	3.000000000000000e-06	3.000000000000000e-06
2.600000e-01	2.992076832488312e-02	1.496954907763683e-02	3.000000000000000e-06	3.000000000000000e-06
2.900000e-01	2.991298213748490e-02	1.496653260975189e-02	3.000000000000000e-06	3.000000000000000e-06
3.200000e-01	2.990544877146870e-02	1.496360883534609e-02	3.000000000000000e-06	3.000000000000000e-06
3.600000e-01	2.989578517255926e-02	1.495985011981655e-02	3.000000000000000e-06	3.000000000000000e-06
4.000000e-01	2.988654179666599e-02	1.495624547923548e-02	3.000000000000000e-06	3.000000000000000e-06
4.500000e-01	2.987555436656909e-02	1.495194749709414e-02	3.000000000000000e-06	3.000000000000000e-06
5.100000e-01	2.986316163840699e-02	1.494708038914236e-02	3.000000000000000e-06	3.000000000000000e-06
5.700000e-01	2.985158707737467e-02	1.494251328658734e-02	3.000000000000000e-06	3.000000000000000e-06
6.400000e-01	2.983905601300787e-02	1.493754164146834e-02	3.000000000000000e-06	3.000000000000000e-06
7.100000e-01	2.982750678661901e-02	1.493293004147065e-02	3.000000000000000e-06	3.000000000000000e-06
