#t[yr]	ecc	inc	eachmass	totalmass
0.000000e+00	5.000000000000000e-02	2.500000000000000e-02	3.000000000000000e-08	3.000000000000000e-05
1.000000e-01	5.000232336463562e-02	2.500095903141926e-02	1.917164746797234e-08	1.917164746797233e-05
1.130000e-01	5.000262584899312e-02	2.500108389191374e-02	1.824116474066849e-08	1.824116474066848e-05
1.260000e-01	5.000292840382618e-02	2.500120878194802e-02	1.752940077625541e-08	1.752940077625540e-05
1.420000e-01	5.000330086612367e-02	2.500136252933842e-02	1.651348847813280e-08	1.651348847813279e-05
1.590000e-01	5.000369670500446e-02	2.500152592701315e-02	1.571201766963275e-08	1.571201766963274e-05
1.780000e-01	5.000413921619789e-02	2.500170859138928e-02	1.480143138190743e-08	1.480143138190743e-05
2.000000e-01	5.000465172011259e-02	2.500192014929702e-02	1.394361790826799e-08	1.394361790826798e-05
2.240000e-01	5.000521094453869e-02	2.500215099457536e-02	1.313551881268908e-08	1.313551881268908e-05
2.520000e-01	5.000586352105022e-02	2.500242037712258e-02	1.225173555454034e-08	1.225173555454034e-05
2.820000e-01	5.000656286273601e-02	2.500270906659898e-02	1.142741495321711e-08	1.142741495321711e-05
3.170000e-01	5.000737893164308e-02	2.500304594433766e-02	1.065855624549590e-08	1.065855624549589e-05
3.550000e-01	5.000826512169575e-02	2.500341177220506e-02	9.842997868599521e-09	9.842997868599520e-06
3.990000e-01	5.000929142565379e-02	2.500383544530887e-02	9.089843390580815e-09	9.089843390580815e-06
4.470000e-01	5.001041121849150e-02	2.500429771791365e-02	8.394317866193119e-09	8.394317866193119e-06
5.020000e-01	5.001169450630421e-02	2.500482749209213e-02	7.752011713612869e-09	7.752011713612866e-06
5.630000e-01	5.001311797989465e-02	2.500541514806928e-02	7.087973027730538e-09	7.087973027730534e-06
6.310000e-01	5.001470498285798e-02	2.500607032604276e-02	6.480816012392384e-09	6.480816012392379e-06
7.080000e-01	5.001650219840767e-02	2.500681230311300e-02	5.925668173702065e-09	5.925668173702062e-06
7.950000e-01	5.001853296712015e-02	2.500765072128650e-02	5.418074396446792e-09	5.418074396446789e-06
8.920000e-01	5.002079727316668e-02	2.500858558099571e-02	4.904912070659340e-09	4.904912070659336e-06
1.001000e+00	5.002334176841765e-02	2.500963615190118e-02	4.440352911484048e-09	4.440352911484044e-06
1.123000e+00	5.002618974433697e-02	2.501081206149333e-02	4.019793564999516e-09	4.019793564999512e-06
1.259000e+00	5.002936446605662e-02	2.501212292895238e-02	3.639066674952862e-09	3.639066674952859e-06
1.413000e+00	5.003295919465499e-02	2.501360728000554e-02	3.294399588092797e-09	3.294399588092794e-06
1.585000e+00	5.003697377408210e-02	2.501526507225839e-02	2.982376970646347e-09	2.982376970646343e-06
1.779000e+00	5.004150135832928e-02	2.501713480051654e-02	2.673175213369223e-09	2.673175213369221e-06
1.996000e+00	5.004656500826851e-02	2.501922602274746e-02	2.396030344823554e-09	2.396030344823553e-06
2.239000e+00	5.005223437729368e-02	2.502156754717281e-02	2.169095014217294e-09	2.169095014217292e-06
2.512000e+00	5.005860232546010e-02	2.502419778028367e-02	1.944211306792582e-09	1.944211306792580e-06
2.819000e+00	5.006576155199179e-02	2.502715508005445e-02	1.742642706144476e-09	1.742642706144476e-06
3.163000e+00	5.007378125087810e-02	2.503046811491783e-02	1.561971988676705e-09	1.561971988676704e-06
