#t[yr]	ecc	inc	eachmass	totalmass
0.000000e+00	1.000000000000000e-02	5.000000000000000e-03	3.000000000000000e-06	3.000000000000000e-06
1.000000e+00	9.791075059884852e-03	4.810992746848158e-03	3.000000000000000e-06	3.000000000000000e-06
2.000000e+00	9.598371626805241e-03	4.630890136372931e-03	3.000000000000000e-06	3.000000000000000e-06
3.000000e+00	9.418987872883314e-03	4.457591693558796e-03	3.000000000000000e-06	3.000000000000000e-06
4.000000e+00	9.252192736181025e-03	4.290905579183021e-03	3.000000000000000e-06	3.000000000000000e-06
5.000000e+00	9.097284057501570e-03	4.130642340437346e-03	3.000000000000000e-06	3.000000000000000e-06
6.000000e+00	8.953588254795105e-03	3.976615459157997e-03	3.000000000000000e-06	3.000000000000000e-06
7.000000e+00	8.820459968855105e-03	3.828641745951468e-03	3.000000000000000e-06	3.000000000000000e-06
8.000000e+00	8.697281688291102e-03	3.686541615964850e-03	3.000000000000000e-06	3.000000000000000e-06
9.000000e+00	8.583463354791175e-03	3.550139274229112e-03	3.000000000000000e-06	3.000000000000000e-06
1.000000e+01	8.478441945286725e-03	3.419262832335364e-03	3.000000000000000e-06	3.000000000000000e-06
1.100000e+01	8.381681025354205e-03	3.293744373293478e-03	3.000000000000000e-06	3.000000000000000e-06
1.200000e+01	8.292670267560830e-03	3.173419977494464e-03	3.000000000000000e-06	3.000000000000000e-06
1.300000e+01	8.210924929031858e-03	3.058129719556208e-03	3.000000000000000e-06	3.000000000000000e-06
1.400000e+01	8.135985283880424e-03	2.947717643328860e-03	3.000000000000000e-06	3.000000000000000e-06
1.500000e+01	8.067416007955670e-03	2.842031720358107e-03	3.000000000000000e-06	3.000000000000000e-06
1.600000e+01	8.004805515354220e-03	2.740923795560847e-03	3.000000000000000e-06	3.000000000000000e-06
1.700000e+01	7.947765248094733e-03	2.644249522684983e-03	3.000000000000000e-06	3.000000000000000e-06
1.800000e+01	7.895928922125935e-03	2.551868291242088e-03	3.000000000000000e-06	3.000000000000000e-06
1.900000e+01	7.848951734329210e-03	2.463643145968023e-03	3.000000000000000e-06	3.000000000000000e-06
2.000000e+01	7.806509536336337e-03	2.379440699439480e-03	3.000000000000000e-06	3.000000000000000e-06
2.100000e+01	7.768297981794790e-03	2.299131038218050e-03	3.000000000000000e-06	3.000000000000000e-06
2.200000e+01	7.734031654188898e-03	2.222587622777212e-03	3.000000000000000e-06	3.000000000000000e-06
2.300000e+01	7.703443182493486e-03	2.149687181465251e-03	3.000000000000000e-06	3.000000000000000e-06
2.400000e+01	7.676282351839554e-03	2.080309598845508e-03	3.000000000000000e-06	3.000000000000000e-06
2.500000e+01	7.652315216056047e-03	2.014337798913871e-03	3.000000000000000e-06	3.000000000000000e-06
