#t[yr]	ecc	inc	eachmass	totalmass
0.000000e+00	1.000000000000000e-02	5.000000000000000e-03	3.000000000000000e-08	3.000000000000000e-05
1.000000e+00	1.040012800622180e-02	5.073412610809559e-03	3.000000000000000e-08	3.000000000000000e-05
2.000000e+00	1.077469183585972e-02	5.144987731745015e-03	3.000000000000000e-08	3.000000000000000e-05
3.000000e+00	1.113058899415074e-02	5.215371603842172e-03	3.000000000000000e-08	3.000000000000000e-05
4.000000e+00	1.147010057838815e-02	5.284521927129263e-03	3.000000000000000e-08	3.000000000000000e-05
5.000000e+00	1.179510050507877e-02	5.352427223054623e-03	3.000000000000000e-08	3.000000000000000e-05
6.000000e+00	1.210714766021024e-02	5.419097634359243e-03	3.000000000000000e-08	3.000000000000000e-05
7.000000e+00	1.240755321682126e-02	5.484558200195979e-03	3.000000000000000e-08	3.000000000000000e-05
8.000000e+00	1.269743078156818e-02	5.548843939700381e-03	3.000000000000000e-08	3.000000000000000e-05
9.000000e+00	1.297773439716551e-02	5.611996260486475e-03	3.000000000000000e-08	3.000000000000000e-05
1.000000e+01	1.324928778363576e-02	5.674060340990398e-03	3.000000000000000e-08	3.000000000000000e-05
1.100000e+01	1.351280714645992e-02	5.735083230996574e-03	3.000000000000000e-08	3.000000000000000e-05
1.200000e+01	1.376891918593987e-02	5.795112483438154e-03	3.000000000000000e-08	3.000000000000000e-05
1.300000e+01	1.401817547564171e-02	5.854195180232449e-03	3.000000000000000e-08	3.000000000000000e-05
1.400000e+01	1.426106405795564e-02	5.912377250921959e-03	3.000000000000000e-08	3.000000000000000e-05
1.500000e+01	1.449801888157752e-02	5.969703009109904e-03	3.000000000000000e-08	3.000000000000000e-05
1.600000e+01	1.472942754738347e-02	6.026214850857566e-03	3.000000000000000e-08	3.000000000000000e-05
1.700000e+01	1.495563771520731e-02	6.081953073306837e-03	3.000000000000000e-08	3.000000000000000e-05
1.800000e+01	1.517696244089770e-02	6.136955782203412e-03	3.000000000000000e-08	3.000000000000000e-05
1.900000e+01	1.539368465163267e-02	6.191258864724945e-03	3.000000000000000e-08	3.000000000000000e-05
2.000000e+01	1.560606092160458e-02	6.244896009784361e-03	3.000000000000000e-08	3.000000000000000e-05
2.100000e+01	1.581432467556188e-02	6.297898762301390e-03	3.000000000000000e-08	3.000000000000000e-05
2.200000e+01	1.601868892129509e-02	6.350296601192640e-03	3.000000000000000e-08	3.000000000000000e-05
2.300000e+01	1.621934859184272e-02	6.402117033297261e-03	3.000000000000000e-08	3.000000000000000e-05
2.400000e+01	1.641648256243032e-02	6.453385697332256e-03	3.000000000000000e-08	3.000000000000000e-05
2.500000e+01	1.661025539482499e-02	6.504126473407036e-03	3.000000000000000e-08	3.000000000000000e-05
2.600000e+01	1.680081885206857e-02	6.554361594729549e-03	3.000000000000000e-08	3.000000000000000e-05
2.700000e+01	1.698831321883756e-02	6.604111758987170e-03	3.000000000000000e-08	3.000000000000000e-05
2.800000e+01	1.717286845651177e-02	6.653396237544612e-03	3.000000000000000e-08	3.000000000000000e-05
2.900000e+01	1.735460521707509e-02	6.702232981112968e-03	3.000000000000000e-08	3.000000000000000e-05
3.000000e+01	1.753363573595977e-02	6.750638720942609e-03	3.000000000000000e-08	3.000000000000000e-05
3.100000e+01	1.771006462068090e-02	6.798629064903122e-03	3.000000000000000e-08	3.000000000000000e-05
3.200000e+01	1.788398954943697e-02	6.846218588055276e-03	3.000000000000000e-08	3.000000000000000e-05
3.300000e+01	1.805550189165667e-02	6.893420917507475e-03	3.000000000000000e-08	3.000000000000000e-05
3.400000e+01	1.822468726065653e-02	6.940248811494043e-03	3.000000000000000e-08	3.000000000000000e-05
3.500000e+01	1.839162600706824e-02	6.986714232723367e-03	3.000000000000000e-08	3.000000000000000e-05
3.600000e+01	1.855639366043771e-02	7.032828416127489e-03	3.000000000000000e-08	3.000000000000000e-05
3.700000e+01	1.871906132534584e-02	7.078601931206418e-03	3.000000000000000e-08	3.000000000000000e-05
3.800000e+01	1.887969603751697e-02	7.124044739204752e-03	3.000000000000000e-08	3.000000000000000e-05
3.900000e+01	1.903836108463404e-02	7.169166245388345e-03	3.000000000000000e-08	3.000000000000000e-05
4.000000e+01	1.919511629594714e-02	7.213975346707811e-03	3.000000000000000e-08	3.000000000000000e-05
4.100000e+01	1.935001830422500e-02	7.258480475145746e-03	3.000000000000000e-08	3.000000000000000e-05
4.200000e+01	1.950312078313981e-02	7.302689637047485e-03	3.000000000000000e-08	3.000000000000000e-05
4.300000e+01	1.965447466278436e-02	7.346610448732797e-03	3.000000000000000e-08	3.000000000000000e-05
4.400000e+01	1.980412832568295e-02	7.390250168679165e-03	3.000000000000000e-08	3.000000000000000e-05
4.500000e+01	1.995212778536846e-02	7.433615726557372e-03	3.000000000000000e-08	3.000000000000000e-05
