#t[yr]	ecc	inc	eachmass	totalmass
0.000000e+00	1.000000000000000e-02	5.000000000000000e-03	3.000000000000000e-06	3.000000000000000e-06
1.100000e-01	9.976522508410066e-03	4.979061376446684e-03	3.000000000000000e-06	3.000000000000000e-06
1.200000e-01	9.974396894873984e-03	4.977162044837725e-03	3.000000000000000e-06	3.000000000000000e-06
1.300000e-01	9.972272728783800e-03	4.975263409060598e-03	3.000000000000000e-06	3.000000000000000e-06
1.500000e-01	9.968028735988245e-03	4.971468224288448e-03	3.000000000000000e-06	3.000000000000000e-06
1.600000e-01	9.965908907806749e-03	4.969571674936604e-03	3.000000000000000e-06	3.000000000000000e-06
1.800000e-01	9.961673584186948e-03	4.965780661408962e-03	3.000000000000000e-06	3.000000000000000e-06
2.000000e-01	9.957444032640378e-03	4.961992426925589e-03	3.000000000000000e-06	3.000000000000000e-06
2.300000e-01	9.951110515053360e-03	4.956315282781896e-03	3.000000000000000e-06	3.000000000000000e-06
2.600000e-01	9.944789951455865e-03	4.950644383445028e-03	3.000000000000000e-06	3.000000000000000e-06
2.900000e-01	9.938482321956363e-03	4.944979724084330e-03	3.000000000000000e-06	3.000000000000000e-06
3.200000e-01	9.932187606673875e-03	4.939321299865399e-03	3.000000000000000e-06	3.000000000000000e-06
3.600000e-01	9.923814707403644e-03	4.931786424986911e-03	3.000000000000000e-06	3.000000000000000e-06
4.000000e-01	9.915464684347255e-03	4.924262614725331e-03	3.000000000000000e-06	3.000000000000000e-06
4.500000e-01	9.905059253549292e-03	4.914873394011561e-03	3.000000000000000e-06	3.000000000000000e-06
5.100000e-01	9.892619692538594e-03	4.903629094598183e-03	3.000000000000000e-06	3.000000000000000e-06
5.700000e-01	9.880231206555620e-03	4.892409593503272e-03	3.000000000000000e-06	3.000000000000000e-06
6.400000e-01	9.865842314929337e-03	4.879351465952214e-03	3.000000000000000e-06	3.000000000000000e-06
7.100000e-01	9.851522475662528e-03	4.866326976801183e-03	3.000000000000000e-06	3.000000000000000e-06
8.000000e-01	9.833212315075984e-03	4.849630533132048e-03	3.000000000000000e-06	3.000000000000000e-06
9.000000e-01	9.813000436372841e-03	4.831143865704505e-03	3.000000000000000e-06	3.000000000000000e-06
1.000000e+00	9.792927584478462e-03	4.812725377372135e-03	3.000000000000000e-06	3.000000000000000e-06
1.130000e+00	9.767039527263087e-03	4.788882971565230e-03	3.000000000000000e-06	3.000000000000000e-06
1.260000e+00	9.741383604858411e-03	4.765155081672426e-03	3.000000000000000e-06	3.000000000000000e-06
1.420000e+00	9.710123407995253e-03	4.736108137926736e-03	3.000000000000000e-06	3.000000000000000e-06
1.590000e+00	9.677288801925026e-03	4.705434327696804e-03	3.000000000000000e-06	3.000000000000000e-06
1.780000e+00	9.641049574427610e-03	4.671380660016581e-03	3.000000000000000e-06	3.000000000000000e-06
2.000000e+00	9.599686466804442e-03	4.632250254576600e-03	3.000000000000000e-06	3.000000000000000e-06
2.240000e+00	9.555286624031611e-03	4.589927719109564e-03	3.000000000000000e-06	3.000000000000000e-06
2.520000e+00	9.504428367034221e-03	4.541029738328275e-03	3.000000000000000e-06	3.000000000000000e-06
2.820000e+00	9.451045913305733e-03	4.489206273570049e-03	3.000000000000000e-06	3.000000000000000e-06
3.170000e+00	9.390191231211695e-03	4.429480704233978e-03	3.000000000000000e-06	3.000000000000000e-06
3.550000e+00	9.325824993578717e-03	4.365523415105158e-03	3.000000000000000e-06	3.000000000000000e-06
3.990000e+00	9.253464756817247e-03	4.292609137657046e-03	3.000000000000000e-06	3.000000000000000e-06
4.470000e+00	9.177116813990317e-03	4.214445899037597e-03	3.000000000000000e-06	3.000000000000000e-06
5.020000e+00	9.092866038756317e-03	4.126628282049557e-03	3.000000000000000e-06	3.000000000000000e-06
5.630000e+00	9.003334485360094e-03	4.031374297046080e-03	3.000000000000000e-06	3.000000000000000e-06
6.310000e+00	8.908204834975895e-03	3.927798513748287e-03	3.000000000000000e-06	3.000000000000000e-06
7.080000e+00	8.806197792996602e-03	3.813766374543227e-03	3.000000000000000e-06	3.000000000000000e-06
7.950000e+00	8.697910976008676e-03	3.688983599480192e-03	3.000000000000000e-06	3.000000000000000e-06
8.920000e+00	8.585440282865422e-03	3.554800362400197e-03	3.000000000000000e-06	3.000000000000000e-06
1.000000e+01	8.469860568932569e-03	3.411348186334702e-03	3.000000000000000e-06	3.000000000000000e-06
1.123000e+01	8.349775049725934e-03	3.255347454370901e-03	3.000000000000000e-06	3.000000000000000e-06
1.259000e+01	8.230221475921739e-03	3.091655498490609e-03	3.000000000000000e-06	3.000000000000000e-06
