#t[yr]	ecc	inc	eachmass	totalmass
0.000000e+00	3.000000000000000e-02	1.500000000000000e-02	3.000000000000000e-06	3.000000000000000e-06
1.100000e-01	2.995840604260235e-02	1.498471489717492e-02	3.000000000000000e-06	3.000000000000000e-06
1.200000e-01	2.995462533775884e-02	1.498332531762810e-02	3.000000000000000e-06	3.000000000000000e-06
1.300000e-01	2.995084472733314e-02	1.498193573406099e-02	3.000000000000000e-06	3.000000000000000e-06
1.500000e-01	2.994328379011929e-02	1.497915655496180e-02	3.000000000000000e-06	3.000000000000000e-06
1.600000e-01	2.993950346352327e-02	1.497776695947769e-02	3.000000000000000e-06	3.000000000000000e-06
1.800000e-01	2.993194309483337e-02	1.497498775676038e-02	3.000000000000000e-06	3.000000000000000e-06
2.000000e-01	2.992438310612026e-02	1.497220853853761e-02	3.000000000000000e-06	3.000000000000000e-06
2.300000e-01	2.991304383718904e-02	1.496803968255085e-02	3.000000000000000e-06	3.000000000000000e-06
2.600000e-01	2.990170542753127e-02	1.496387079275752e-02	3.000000000000000e-06	3.000000000000000e-06
2.900000e-01	2.989036787974349e-02	1.495970186980660e-02	3.000000000000000e-06	3.000000000000000e-06
3.200000e-01	2.987910418237703e-02	1.495555981934687e-02	3.000000000000000e-06	3.000000000000000e-06
3.600000e-01	2.986413591178075e-02	1.495005497638976e-02	3.000000000000000e-06	3.000000000000000e-06
4.000000e-01	2.984916917002930e-02	1.494455008332435e-02	3.000000000000000e-06	3.000000000000000e-06
4.500000e-01	2.983046290189229e-02	1.493766889881102e-02	3.000000000000000e-06	3.000000000000000e-06
5.100000e-01	2.980801856216984e-02	1.492941138126322e-02	3.000000000000000e-06	3.000000000000000e-06
5.700000e-01	2.978557771285596e-02	1.492115376363172e-02	3.000000000000000e-06	3.000000000000000e-06
6.400000e-01	2.975958173563177e-02	1.491158638359871e-02	3.000000000000000e-06	3.000000000000000e-06
7.100000e-01	2.973366274829092e-02	1.490204554530298e-02	3.000000000000000e-06	3.000000000000000e-06
8.000000e-01	2.970034536796530e-02	1.488977860865399e-02	3.000000000000000e-06	3.000000000000000e-06
9.000000e-01	2.966337115308395e-02	1.487616170534146e-02	3.000000000000000e-06	3.000000000000000e-06
1.000000e+00	2.962672849362469e-02	1.486266344160489e-02	3.000000000000000e-06	3.000000000000000e-06
1.130000e+00	2.957910784910446e-02	1.484511553907632e-02	3.000000000000000e-06	3.000000000000000e-06
1.260000e+00	2.953175170899780e-02	1.482765901367077e-02	3.000000000000000e-06	3.000000000000000e-06
1.420000e+00	2.947375169753327e-02	1.480627053264636e-02	3.000000000000000e-06	3.000000000000000e-06
1.590000e+00	2.941250512327527e-02	1.478367478562800e-02	3.000000000000000e-06	3.000000000000000e-06
1.780000e+00	2.934436171944277e-02	1.475852224555761e-02	3.000000000000000e-06	3.000000000000000e-06
