#t[yr]	ecc	inc	eachmass	totalmass
0.000000e+00	3.000000000000000e-02	1.500000000000000e-02	3.000000000000000e-08	3.000000000000000e-05
1.100000e-01	3.000786109103328e-02	1.500259471363843e-02	3.000000000000000e-08	3.000000000000000e-05
1.200000e-01	3.000857546444425e-02	1.500283048995110e-02	3.000000000000000e-08	3.000000000000000e-05
1.300000e-01	3.000928979263587e-02	1.500306624846714e-02	3.000000000000000e-08	3.000000000000000e-05
1.500000e-01	3.001071831334760e-02	1.500353771210406e-02	3.000000000000000e-08	3.000000000000000e-05
1.600000e-01	3.001143250586100e-02	1.500377341722230e-02	3.000000000000000e-08	3.000000000000000e-05
1.800000e-01	3.001286075518605e-02	1.500424477405178e-02	3.000000000000000e-08	3.000000000000000e-05
2.000000e-01	3.001428882355311e-02	1.500471605966313e-02	3.000000000000000e-08	3.000000000000000e-05
2.300000e-01	3.001643058674882e-02	1.500542285452315e-02	3.000000000000000e-08	3.000000000000000e-05
2.600000e-01	3.001857194263844e-02	1.500612948908327e-02	3.000000000000000e-08	3.000000000000000e-05
2.900000e-01	3.002071289113184e-02	1.500683596330809e-02	3.000000000000000e-08	3.000000000000000e-05
3.200000e-01	3.002285343213910e-02	1.500754227716230e-02	3.000000000000000e-08	3.000000000000000e-05
3.600000e-01	3.002570685279298e-02	1.500848377944153e-02	3.000000000000000e-08	3.000000000000000e-05
4.000000e-01	3.002855954865522e-02	1.500942499647129e-02	3.000000000000000e-08	3.000000000000000e-05
4.500000e-01	3.003212439892236e-02	1.501060111649965e-02	3.000000000000000e-08	3.000000000000000e-05
5.100000e-01	3.003640072334336e-02	1.501201187180668e-02	3.000000000000000e-08	3.000000000000000e-05
5.700000e-01	3.004067541520387e-02	1.501342198460233e-02	3.000000000000000e-08	3.000000000000000e-05
6.400000e-01	3.004566049139011e-02	1.501506630376294e-02	3.000000000000000e-08	3.000000000000000e-05
7.100000e-01	3.005064334340126e-02	1.501670974757499e-02	3.000000000000000e-08	3.000000000000000e-05
8.000000e-01	3.005704659745151e-02	1.501882145982997e-02	3.000000000000000e-08	3.000000000000000e-05
9.000000e-01	3.006415700698603e-02	1.502116610769763e-02	3.000000000000000e-08	3.000000000000000e-05
1.000000e+00	3.007126286901839e-02	1.502350896583481e-02	3.000000000000000e-08	3.000000000000000e-05
1.130000e+00	3.008049368592134e-02	1.502655200369918e-02	3.000000000000000e-08	3.000000000000000e-05
1.260000e+00	3.008971680525356e-02	1.502959201205163e-02	3.000000000000000e-08	3.000000000000000e-05
1.420000e+00	3.010105775952861e-02	1.503332939791582e-02	3.000000000000000e-08	3.000000000000000e-05
1.590000e+00	3.011309472178409e-02	1.503729533198796e-02	3.000000000000000e-08	3.000000000000000e-05
1.780000e+00	3.012653217074563e-02	1.504172169625871e-02	3.000000000000000e-08	3.000000000000000e-05
2.000000e+00	3.014207068912412e-02	1.504683883923999e-02	3.000000000000000e-08	3.000000000000000e-05
2.240000e+00	3.015899651101605e-02	1.505241122333210e-02	3.000000000000000e-08	3.000000000000000e-05
2.520000e+00	3.017870989897843e-02	1.505889918985851e-02	3.000000000000000e-08	3.000000000000000e-05
2.820000e+00	3.019979139884171e-02	1.506583484251956e-02	3.000000000000000e-08	3.000000000000000e-05
3.170000e+00	3.022433410258667e-02	1.507390581820060e-02	3.000000000000000e-08	3.000000000000000e-05
3.550000e+00	3.025091647089399e-02	1.508264339815664e-02	3.000000000000000e-08	3.000000000000000e-05
3.990000e+00	3.028161263768750e-02	1.509272775337070e-02	3.000000000000000e-08	3.000000000000000e-05
4.470000e+00	3.031499702988182e-02	1.510368857254070e-02	3.000000000000000e-08	3.000000000000000e-05
5.020000e+00	3.035311837402302e-02	1.511619601538778e-02	3.000000000000000e-08	3.000000000000000e-05
5.630000e+00	3.039523359864458e-02	1.513000298695076e-02	3.000000000000000e-08	3.000000000000000e-05
6.310000e+00	3.044197685300392e-02	1.514531364747508e-02	3.000000000000000e-08	3.000000000000000e-05
7.080000e+00	3.049464524864626e-02	1.516254766586239e-02	3.000000000000000e-08	3.000000000000000e-05
7.950000e+00	3.055381865197195e-02	1.518188775856891e-02	3.000000000000000e-08	3.000000000000000e-05
8.920000e+00	3.061937339318154e-02	1.520328506909723e-02	3.000000000000000e-08	3.000000000000000e-05
1.000000e+01	3.069183970958359e-02	1.522690260300468e-02	3.000000000000000e-08	3.000000000000000e-05
1.123000e+01	3.077369903481795e-02	1.525353488732834e-02	3.000000000000000e-08	3.000000000000000e-05
1.259000e+01	3.086337641218567e-02	1.528265209776602e-02	3.000000000000000e-08	3.000000000000000e-05
1.413000e+01	3.096386566659576e-02	1.531520414574647e-02	3.000000000000000e-08	3.000000000000000e-05
1.585000e+01	3.107477499030729e-02	1.535103475322324e-02	3.000000000000000e-08	3.000000000000000e-05
1.779000e+01	3.119819797251402e-02	1.539078270145225e-02	3.000000000000000e-08	3.000000000000000e-05
1.996000e+01	3.133416640606531e-02	1.543440969014264e-02	3.000000000000000e-08	3.000000000000000e-05
2.239000e+01	3.148383699300546e-02	1.548222605977106e-02	3.000000000000000e-08	3.000000000000000e-05
2.512000e+01	3.164877266902340e-02	1.553465147076358e-02	3.000000000000000e-08	3.000000000000000e-05
2.819000e+01	3.183027739432783e-02	1.559199615710559e-02	3.000000000000000e-08	3.000000000000000e-05
3.163000e+01	3.202881138204752e-02	1.565427397386330e-02	3.000000000000000e-08	3.000000000000000e-05
3.549000e+01	3.224573283910121e-02	1.572174663440231e-02	3.000000000000000e-08	3.000000000000000e-05
3.982000e+01	3.248208822730293e-02	1.579453607106381e-02	3.000000000000000e-08	3.000000000000000e-05
4.467000e+01	3.273865053626613e-02	1.587263951310687e-02	3.000000000000000e-08	3.000000000000000e-05
5.012000e+01	3.301749433470447e-02	1.595641222899183e-02	3.000000000000000e-08	3.000000000000000e-05
5.624000e+01	3.331987643923551e-02	1.604593732576779e-02	3.000000000000000e-08	3.000000000000000e-05
6.310000e+01	3.364688663005538e-02	1.614127154662340e-02	3.000000000000000e-08	3.000000000000000e-05
7.080000e+01	3.400088639329292e-02	1.624292305343538e-02	3.000000000000000e-08	3.000000000000000e-05
7.944000e+01	3.438400419076001e-02	1.635148588589393e-02	3.000000000000000e-08	3.000000000000000e-05
8.913000e+01	3.479855873235425e-02	1.646785639489752e-02	3.000000000000000e-08	3.000000000000000e-05
1.000100e+02	3.524773784966604e-02	1.659350299289276e-02	3.000000000000000e-08	3.000000000000000e-05
1.122100e+02	3.573372003955574e-02	1.672999407118424e-02	3.000000000000000e-08	3.000000000000000e-05
1.259000e+02	3.625952801662927e-02	1.687953037907652e-02	3.000000000000000e-08	3.000000000000000e-05
1.412600e+02	3.682757066242851e-02	1.704450709509624e-02	3.000000000000000e-08	3.000000000000000e-05
1.584900e+02	3.743988004821928e-02	1.722751382450633e-02	3.000000000000000e-08	3.000000000000000e-05
1.778300e+02	3.809864698978001e-02	1.743142050016359e-02	3.000000000000000e-08	3.000000000000000e-05
1.995300e+02	3.880503408251559e-02	1.765894064176193e-02	3.000000000000000e-08	3.000000000000000e-05
2.238800e+02	3.956011836203151e-02	1.791284184660024e-02	3.000000000000000e-08	3.000000000000000e-05
2.511900e+02	4.036415937660643e-02	1.819563945346691e-02	3.000000000000000e-08	3.000000000000000e-05
2.818400e+02	4.121798363192986e-02	1.851002201547118e-02	3.000000000000000e-08	3.000000000000000e-05
3.162300e+02	4.212137889717951e-02	1.885823697625431e-02	3.000000000000000e-08	3.000000000000000e-05
3.548200e+02	4.307415587563568e-02	1.924240389651629e-02	3.000000000000000e-08	3.000000000000000e-05
3.981100e+02	4.407553615857961e-02	1.966421197406748e-02	3.000000000000000e-08	3.000000000000000e-05
4.466900e+02	4.512523527365127e-02	2.012530792774388e-02	3.000000000000000e-08	3.000000000000000e-05
5.011900e+02	4.622220747277851e-02	2.062671187119333e-02	3.000000000000000e-08	3.000000000000000e-05
5.623500e+02	4.736604504508489e-02	2.116938880844627e-02	3.000000000000000e-08	3.000000000000000e-05
6.309600e+02	4.855567161520988e-02	2.175362367069241e-02	3.000000000000000e-08	3.000000000000000e-05
7.079500e+02	4.979088424937684e-02	2.237974757557659e-02	3.000000000000000e-08	3.000000000000000e-05
7.943300e+02	5.107112536464391e-02	2.304755666022013e-02	3.000000000000000e-08	3.000000000000000e-05
8.912600e+02	5.239645638511588e-02	2.375682819344706e-02	3.000000000000000e-08	3.000000000000000e-05
1.000010e+03	5.376678137063848e-02	2.450695693958313e-02	3.000000000000000e-08	3.000000000000000e-05
