#t[yr]	ecc	inc	eachmass	totalmass
0.000000e+00	5.000000000000000e-02	2.500000000000000e-02	3.000000000000000e-06	3.000000000000000e-06
1.100000e-01	4.998345002040189e-02	2.499416481452706e-02	3.000000000000000e-06	3.000000000000000e-06
1.200000e-01	4.998194548878869e-02	2.499363431999771e-02	3.000000000000000e-06	3.000000000000000e-06
1.300000e-01	4.998044095918502e-02	2.499310382161640e-02	3.000000000000000e-06	3.000000000000000e-06
1.500000e-01	4.997743190601706e-02	2.499204281329952e-02	3.000000000000000e-06	3.000000000000000e-06
1.600000e-01	4.997594272944137e-02	2.499151774991704e-02	3.000000000000000e-06	3.000000000000000e-06
1.800000e-01	4.997296438268779e-02	2.499046761193752e-02	3.000000000000000e-06	3.000000000000000e-06
2.000000e-01	4.996998604448219e-02	2.498941745900801e-02	3.000000000000000e-06	3.000000000000000e-06
2.300000e-01	4.996551855324752e-02	2.498784220158963e-02	3.000000000000000e-06	3.000000000000000e-06
2.600000e-01	4.996105108136470e-02	2.498626691055212e-02	3.000000000000000e-06	3.000000000000000e-06
2.900000e-01	4.995658362890510e-02	2.498469158590651e-02	3.000000000000000e-06	3.000000000000000e-06
3.200000e-01	4.995214659785070e-02	2.498312701854314e-02	3.000000000000000e-06	3.000000000000000e-06
3.600000e-01	4.994625085612079e-02	2.498104807171501e-02	3.000000000000000e-06	3.000000000000000e-06
4.000000e-01	4.994035515105662e-02	2.497896906695491e-02	3.000000000000000e-06	3.000000000000000e-06
4.500000e-01	4.993298557153871e-02	2.497637022957683e-02	3.000000000000000e-06	3.000000000000000e-06
5.100000e-01	4.992423249092819e-02	2.497328357496423e-02	3.000000000000000e-06	3.000000000000000e-06
5.700000e-01	4.991547949792109e-02	2.497019679406915e-02	3.000000000000000e-06	3.000000000000000e-06
6.400000e-01	4.990532743554559e-02	2.496661656839763e-02	3.000000000000000e-06	3.000000000000000e-06
7.100000e-01	4.989522023635335e-02	2.496305205876350e-02	3.000000000000000e-06	3.000000000000000e-06
8.000000e-01	4.988229930568291e-02	2.495849509717354e-02	3.000000000000000e-06	3.000000000000000e-06
9.000000e-01	4.986800861843915e-02	2.495345480200387e-02	3.000000000000000e-06	3.000000000000000e-06
1.000000e+00	4.985386450452532e-02	2.494846613439455e-02	3.000000000000000e-06	3.000000000000000e-06
1.130000e+00	4.983559350457958e-02	2.494202156315399e-02	3.000000000000000e-06	3.000000000000000e-06
1.260000e+00	4.981746721358619e-02	2.493562769043878e-02	3.000000000000000e-06	3.000000000000000e-06
1.420000e+00	4.979537102660932e-02	2.492783305509948e-02	3.000000000000000e-06	3.000000000000000e-06
1.590000e+00	4.977214532706888e-02	2.491963947140618e-02	3.000000000000000e-06	3.000000000000000e-06
1.780000e+00	4.974648690793169e-02	2.491058706912927e-02	3.000000000000000e-06	3.000000000000000e-06
2.000000e+00	4.971714733290379e-02	2.490023512160216e-02	3.000000000000000e-06	3.000000000000000e-06
2.240000e+00	4.968564386302450e-02	2.488911886489877e-02	3.000000000000000e-06	3.000000000000000e-06
2.520000e+00	4.964944780706913e-02	2.487634551905037e-02	3.000000000000000e-06	3.000000000000000e-06
2.820000e+00	4.961138218107417e-02	2.486291111855325e-02	3.000000000000000e-06	3.000000000000000e-06
3.170000e+00	4.956782048231318e-02	2.484753521723932e-02	3.000000000000000e-06	3.000000000000000e-06
3.550000e+00	4.952153042652886e-02	2.483119420801535e-02	3.000000000000000e-06	3.000000000000000e-06
3.990000e+00	4.946922767135835e-02	2.481272813967700e-02	3.000000000000000e-06	3.000000000000000e-06
4.470000e+00	4.941361591818968e-02	2.479309065936568e-02	3.000000000000000e-06	3.000000000000000e-06
5.020000e+00	4.935172299250151e-02	2.477123151079321e-02	3.000000000000000e-06	3.000000000000000e-06
5.630000e+00	4.928520468717664e-02	2.474773428477149e-02	3.000000000000000e-06	3.000000000000000e-06
6.310000e+00	4.921357546891626e-02	2.472242643834594e-02	3.000000000000000e-06	3.000000000000000e-06
7.080000e+00	4.913539361120306e-02	2.469479684335212e-02	3.000000000000000e-06	3.000000000000000e-06
7.950000e+00	4.905063468259235e-02	2.466483514475365e-02	3.000000000000000e-06	3.000000000000000e-06
8.920000e+00	4.896023671135331e-02	2.463287072027141e-02	3.000000000000000e-06	3.000000000000000e-06
1.000000e+01	4.886426866517572e-02	2.459892564791200e-02	3.000000000000000e-06	3.000000000000000e-06
1.123000e+01	4.876048642312390e-02	2.456220309883819e-02	3.000000000000000e-06	3.000000000000000e-06
1.259000e+01	4.865191169870971e-02	2.452376866421776e-02	3.000000000000000e-06	3.000000000000000e-06
1.413000e+01	4.853612939784167e-02	2.448276363153357e-02	3.000000000000000e-06	3.000000000000000e-06
1.585000e+01	4.841482035126572e-02	2.443977803465689e-02	3.000000000000000e-06	3.000000000000000e-06
1.779000e+01	4.828705369335356e-02	2.439447611478600e-02	3.000000000000000e-06	3.000000000000000e-06
1.996000e+01	4.815423957486224e-02	2.434735080652005e-02	3.000000000000000e-06	3.000000000000000e-06
2.239000e+01	4.801666126126385e-02	2.429849454028421e-02	3.000000000000000e-06	3.000000000000000e-06
2.512000e+01	4.787441515973832e-02	2.424793172247011e-02	3.000000000000000e-06	3.000000000000000e-06
2.819000e+01	4.772792434428882e-02	2.419580039531075e-02	3.000000000000000e-06	3.000000000000000e-06
3.163000e+01	4.757851233386075e-02	2.414255762003690e-02	3.000000000000000e-06	3.000000000000000e-06
3.549000e+01	4.742672452502595e-02	2.408838103415808e-02	3.000000000000000e-06	3.000000000000000e-06
3.982000e+01	4.727358862451328e-02	2.403361793126538e-02	3.000000000000000e-06	3.000000000000000e-06
4.467000e+01	4.712024871031226e-02	2.397865444114757e-02	3.000000000000000e-06	3.000000000000000e-06
5.012000e+01	4.696738692624181e-02	2.392370804670495e-02	3.000000000000000e-06	3.000000000000000e-06
5.624000e+01	4.681636426726113e-02	2.386923581738672e-02	3.000000000000000e-06	3.000000000000000e-06
6.310000e+01	4.666876158343435e-02	2.381577149285035e-02	3.000000000000000e-06	3.000000000000000e-06
7.080000e+01	4.652591189596512e-02	2.376375606127238e-02	3.000000000000000e-06	3.000000000000000e-06
7.944000e+01	4.638940674310422e-02	2.371372109183141e-02	3.000000000000000e-06	3.000000000000000e-06
8.913000e+01	4.626103978553280e-02	2.366626975086841e-02	3.000000000000000e-06	3.000000000000000e-06
1.000100e+02	4.614254599906787e-02	2.362198145715315e-02	3.000000000000000e-06	3.000000000000000e-06
1.122100e+02	4.603612636537415e-02	2.358160863730262e-02	3.000000000000000e-06	3.000000000000000e-06
1.259000e+02	4.594383323418139e-02	2.354585107050997e-02	3.000000000000000e-06	3.000000000000000e-06
1.412600e+02	4.586802831680929e-02	2.351552963639814e-02	3.000000000000000e-06	3.000000000000000e-06
1.584900e+02	4.581124133957546e-02	2.349153944820110e-02	3.000000000000000e-06	3.000000000000000e-06
1.778300e+02	4.577612083026500e-02	2.347483495350672e-02	3.000000000000000e-06	3.000000000000000e-06
1.995300e+02	4.576553262283868e-02	2.346648053048545e-02	3.000000000000000e-06	3.000000000000000e-06
2.238800e+02	4.578247775566853e-02	2.346762563768049e-02	3.000000000000000e-06	3.000000000000000e-06
2.511900e+02	4.583015492290975e-02	2.347954447174944e-02	3.000000000000000e-06	3.000000000000000e-06
2.818400e+02	4.591184724476801e-02	2.350359983128141e-02	3.000000000000000e-06	3.000000000000000e-06
3.162300e+02	4.603097388141746e-02	2.354128927394783e-02	3.000000000000000e-06	3.000000000000000e-06
