#t[yr]	ecc	inc	eachmass	totalmass
0.000000e+00	5.000000000000000e-02	2.500000000000000e-02	3.000000000000000e-08	3.000000000000000e-05
1.100000e-01	5.000265361242127e-02	2.500115009775339e-02	3.000000000000000e-08	3.000000000000000e-05
1.200000e-01	5.000289482817891e-02	2.500125464459594e-02	3.000000000000000e-08	3.000000000000000e-05
1.300000e-01	5.000313604031334e-02	2.500135919018851e-02	3.000000000000000e-08	3.000000000000000e-05
1.500000e-01	5.000361845371203e-02	2.500156827762350e-02	2.970297029702970e-08	2.970297029702970e-05
1.600000e-01	5.000385950138243e-02	2.500167266639317e-02	2.970297029702970e-08	2.970297029702970e-05
1.800000e-01	5.000434158589348e-02	2.500188144020141e-02	2.970297029702970e-08	2.970297029702970e-05
2.000000e-01	5.000482365596386e-02	2.500209020903452e-02	2.970297029702970e-08	2.970297029702970e-05
2.300000e-01	5.000554673399056e-02	2.500240335295502e-02	2.970297029702970e-08	2.970297029702970e-05
2.600000e-01	5.000626977951909e-02	2.500271648567939e-02	2.970297029702970e-08	2.970297029702970e-05
2.900000e-01	5.000699279254544e-02	2.500302960720637e-02	2.970297029702970e-08	2.970297029702970e-05
3.200000e-01	5.000771547210008e-02	2.500334241716278e-02	2.940888148220763e-08	2.940888148220763e-05
3.600000e-01	5.000867879378920e-02	2.500375927951123e-02	2.940888148220763e-08	2.940888148220763e-05
4.000000e-01	5.000964205789366e-02	2.500417612204824e-02	2.940888148220763e-08	2.940888148220763e-05
4.500000e-01	5.001084605703180e-02	2.500469714735523e-02	2.911770443782933e-08	2.911770443782933e-05
5.100000e-01	5.001228985270915e-02	2.500532145278921e-02	2.911770443782933e-08	2.911770443782933e-05
5.700000e-01	5.001373351923418e-02	2.500594571385035e-02	2.911770443782933e-08	2.911770443782933e-05
6.400000e-01	5.001541705579934e-02	2.500667338403914e-02	2.882941033448449e-08	2.882941033448449e-05
7.100000e-01	5.001709998367388e-02	2.500740056032767e-02	2.882941033448449e-08	2.882941033448449e-05
8.000000e-01	5.001926278298289e-02	2.500833470369511e-02	2.854397062820246e-08	2.854397062820246e-05
9.000000e-01	5.002166492546080e-02	2.500937189419524e-02	2.826135705762620e-08	2.826135705762620e-05
1.000000e+00	5.002406532520824e-02	2.501040757099063e-02	2.826135705762620e-08	2.826135705762620e-05
1.130000e+00	5.002718422698623e-02	2.501175267673844e-02	2.798154164121406e-08	2.798154164121406e-05
1.260000e+00	5.003030118514334e-02	2.501309622520421e-02	2.770449667446937e-08	2.770449667446937e-05
1.420000e+00	5.003413465900294e-02	2.501474756712037e-02	2.743019472719739e-08	2.743019472719739e-05
1.590000e+00	5.003820444617339e-02	2.501649947095506e-02	2.715860864078950e-08	2.715860864078950e-05
