#t[yr]	ecc	inc	eachmass	totalmass
0.000000e+00	5.000000000000000e-02	2.500000000000000e-02	3.000000000000000e-06	3.000000000000000e-06
1.100000e-01	4.998344998749574e-02	2.499416479979159e-02	3.000000000000000e-06	3.000000000000000e-06
1.200000e-01	4.998194544930080e-02	2.499363430231486e-02	3.000000000000000e-06	3.000000000000000e-06
1.300000e-01	4.998044091251690e-02	2.499310380071814e-02	3.000000000000000e-06	3.000000000000000e-06
1.500000e-01	4.997743184319296e-02	2.499204278516634e-02	3.000000000000000e-06	3.000000000000000e-06
1.600000e-01	4.997594265772979e-02	2.499151771780394e-02	3.000000000000000e-06	3.000000000000000e-06
1.800000e-01	4.997296429145605e-02	2.499046757108290e-02	3.000000000000000e-06	3.000000000000000e-06
2.000000e-01	4.996998593140325e-02	2.498941740836955e-02	3.000000000000000e-06	3.000000000000000e-06
2.300000e-01	4.996551840303413e-02	2.498784213432085e-02	3.000000000000000e-06	3.000000000000000e-06
2.600000e-01	4.996105088877999e-02	2.498626682430723e-02	3.000000000000000e-06	3.000000000000000e-06
2.900000e-01	4.995658338871160e-02	2.498469147833940e-02	3.000000000000000e-06	3.000000000000000e-06
3.200000e-01	4.995214630517342e-02	2.498312688747025e-02	3.000000000000000e-06	3.000000000000000e-06
3.600000e-01	4.994625048575471e-02	2.498104790584683e-02	3.000000000000000e-06	3.000000000000000e-06
4.000000e-01	4.994035469394943e-02	2.497896886223564e-02	3.000000000000000e-06	3.000000000000000e-06
4.500000e-01	4.993298499327328e-02	2.497636997058907e-02	3.000000000000000e-06	3.000000000000000e-06
5.100000e-01	4.992423175036612e-02	2.497328324327936e-02	3.000000000000000e-06	3.000000000000000e-06
5.700000e-01	4.991547857525725e-02	2.497019638081141e-02	3.000000000000000e-06	3.000000000000000e-06
6.400000e-01	4.990532627682105e-02	2.496661604939124e-02	3.000000000000000e-06	3.000000000000000e-06
7.100000e-01	4.989521881626667e-02	2.496305142266754e-02	3.000000000000000e-06	3.000000000000000e-06
8.000000e-01	4.988229751323468e-02	2.495849429425062e-02	3.000000000000000e-06	3.000000000000000e-06
9.000000e-01	4.986800636449596e-02	2.495345379230413e-02	3.000000000000000e-06	3.000000000000000e-06
1.000000e+00	4.985386174253997e-02	2.494846489704616e-02	3.000000000000000e-06	3.000000000000000e-06
1.130000e+00	4.983559001133387e-02	2.494201999810549e-02	3.000000000000000e-06	3.000000000000000e-06
1.260000e+00	4.981746291177623e-02	2.493562576301162e-02	3.000000000000000e-06	3.000000000000000e-06
1.420000e+00	4.979536562784869e-02	2.492783063599168e-02	3.000000000000000e-06	3.000000000000000e-06
1.590000e+00	4.977213864431008e-02	2.491963647670671e-02	3.000000000000000e-06	3.000000000000000e-06
1.780000e+00	4.974647865176585e-02	2.491058336900612e-02	3.000000000000000e-06	3.000000000000000e-06
2.000000e+00	4.971713707995767e-02	2.490023052610101e-02	3.000000000000000e-06	3.000000000000000e-06
2.240000e+00	4.968563123315659e-02	2.488911320337913e-02	3.000000000000000e-06	3.000000000000000e-06
2.520000e+00	4.964943215177090e-02	2.487633850040038e-02	3.000000000000000e-06	3.000000000000000e-06
2.820000e+00	4.961136300778454e-02	2.486290252148610e-02	3.000000000000000e-06	3.000000000000000e-06
3.170000e+00	4.956779686523971e-02	2.484752462590223e-02	3.000000000000000e-06	3.000000000000000e-06
3.550000e+00	4.952150160472227e-02	2.483118128028819e-02	3.000000000000000e-06	3.000000000000000e-06
3.990000e+00	4.946919237840808e-02	2.481271230620873e-02	3.000000000000000e-06	3.000000000000000e-06
4.470000e+00	4.941357306839735e-02	2.479307143151604e-02	3.000000000000000e-06	3.000000000000000e-06
5.020000e+00	4.935167092544498e-02	2.477120814120575e-02	3.000000000000000e-06	3.000000000000000e-06
5.630000e+00	4.928514178290459e-02	2.474770604351378e-02	3.000000000000000e-06	3.000000000000000e-06
6.310000e+00	4.921349983550909e-02	2.472239247232417e-02	3.000000000000000e-06	3.000000000000000e-06
7.080000e+00	4.913530285545247e-02	2.469475607276980e-02	3.000000000000000e-06	3.000000000000000e-06
7.950000e+00	4.905052611199245e-02	2.466478635345197e-02	3.000000000000000e-06	3.000000000000000e-06
8.920000e+00	4.896009779902150e-02	2.463280917283618e-02	3.000000000000000e-06	3.000000000000000e-06
1.000000e+01	4.886410612904654e-02	2.459885344754251e-02	3.000000000000000e-06	3.000000000000000e-06
1.123000e+01	4.876028741735183e-02	2.456211527980525e-02	3.000000000000000e-06	3.000000000000000e-06
1.259000e+01	4.865168171134585e-02	2.452366684774520e-02	3.000000000000000e-06	3.000000000000000e-06
1.413000e+01	4.853584787460803e-02	2.448264003230262e-02	3.000000000000000e-06	3.000000000000000e-06
1.585000e+01	4.841448355947676e-02	2.443963088150219e-02	3.000000000000000e-06	3.000000000000000e-06
1.779000e+01	4.828666516044382e-02	2.439430616867907e-02	3.000000000000000e-06	3.000000000000000e-06
1.996000e+01	4.815378797598285e-02	2.434715351639670e-02	3.000000000000000e-06	3.000000000000000e-06
2.239000e+01	4.801613600439925e-02	2.429826558067284e-02	3.000000000000000e-06	3.000000000000000e-06
2.512000e+01	4.787380633773713e-02	2.424766696615165e-02	3.000000000000000e-06	3.000000000000000e-06
2.819000e+01	4.772722844313095e-02	2.419549797356375e-02	3.000000000000000e-06	3.000000000000000e-06
3.163000e+01	4.757772110359967e-02	2.414221396911639e-02	3.000000000000000e-06	3.000000000000000e-06
3.549000e+01	4.742582545812848e-02	2.408799102307439e-02	3.000000000000000e-06	3.000000000000000e-06
3.982000e+01	4.727257536934059e-02	2.403317862388647e-02	3.000000000000000e-06	3.000000000000000e-06
4.467000e+01	4.711911585802248e-02	2.397816323170694e-02	3.000000000000000e-06	3.000000000000000e-06
5.012000e+01	4.696612249627031e-02	2.392315991451657e-02	3.000000000000000e-06	3.000000000000000e-06
5.624000e+01	4.681496866051028e-02	2.386863018916776e-02	3.000000000000000e-06	3.000000000000000e-06
6.310000e+01	4.666722943724708e-02	2.381510571494693e-02	3.000000000000000e-06	3.000000000000000e-06
7.080000e+01	4.652423641863257e-02	2.376302692320803e-02	3.000000000000000e-06	3.000000000000000e-06
7.944000e+01	4.638758137426186e-02	2.371292544028031e-02	3.000000000000000e-06	3.000000000000000e-06
8.913000e+01	4.625906023784414e-02	2.366540521674365e-02	3.000000000000000e-06	3.000000000000000e-06
1.000100e+02	4.614040620612500e-02	2.362104496225016e-02	3.000000000000000e-06	3.000000000000000e-06
1.122100e+02	4.603383609144196e-02	2.358060281818776e-02	3.000000000000000e-06	3.000000000000000e-06
1.259000e+02	4.594138313536487e-02	2.354477157239199e-02	3.000000000000000e-06	3.000000000000000e-06
1.412600e+02	4.586542500451009e-02	2.351437782748647e-02	3.000000000000000e-06	3.000000000000000e-06
1.584900e+02	4.580848685617202e-02	2.349031499156684e-02	3.000000000000000e-06	3.000000000000000e-06
1.778300e+02	4.577322532156864e-02	2.347354038092561e-02	3.000000000000000e-06	3.000000000000000e-06
1.995300e+02	4.576250085012626e-02	2.346511637942366e-02	3.000000000000000e-06	3.000000000000000e-06
2.238800e+02	4.577931515235780e-02	2.346619264458229e-02	3.000000000000000e-06	3.000000000000000e-06
2.511900e+02	4.582687935509860e-02	2.347804789845905e-02	3.000000000000000e-06	3.000000000000000e-06
2.818400e+02	4.590846502127978e-02	2.350204072904332e-02	3.000000000000000e-06	3.000000000000000e-06
3.162300e+02	4.602750235675178e-02	2.353967278623401e-02	3.000000000000000e-06	3.000000000000000e-06
3.548200e+02	4.618751690445497e-02	2.359257677415228e-02	3.000000000000000e-06	3.000000000000000e-06
3.981100e+02	4.639199659009951e-02	2.366249045709859e-02	3.000000000000000e-06	3.000000000000000e-06
4.466900e+02	4.664454360179494e-02	2.375132556665661e-02	3.000000000000000e-06	3.000000000000000e-06
