#t[yr]	ecc	inc	eachmass	totalmass
0.000000e+00	5.000000000000000e-02	2.500000000000000e-02	3.000000000000000e-08	3.000000000000000e-05
1.100000e-01	5.000255094049984e-02	2.500105297257449e-02	3.000000000000000e-08	3.000000000000000e-05
1.200000e-01	5.000278282393479e-02	2.500114869080554e-02	3.000000000000000e-08	3.000000000000000e-05
1.300000e-01	5.000301470399457e-02	2.500124440794496e-02	3.000000000000000e-08	3.000000000000000e-05
1.500000e-01	5.000347845398796e-02	2.500143583894871e-02	2.970297029702970e-08	2.970297029702970e-05
1.600000e-01	5.000371034475931e-02	2.500153156140409e-02	2.970297029702970e-08	2.970297029702970e-05
1.800000e-01	5.000417411620228e-02	2.500172300304955e-02	2.970297029702970e-08	2.970297029702970e-05
2.000000e-01	5.000463787417787e-02	2.500191444034097e-02	2.970297029702970e-08	2.970297029702970e-05
2.300000e-01	5.000533348588723e-02	2.500220158811337e-02	2.970297029702970e-08	2.970297029702970e-05
2.600000e-01	5.000602906728795e-02	2.500248872608689e-02	2.970297029702970e-08	2.970297029702970e-05
2.900000e-01	5.000672461837581e-02	2.500277585426018e-02	2.970297029702970e-08	2.970297029702970e-05
3.200000e-01	5.000742018043764e-02	2.500306298965416e-02	2.940888148220763e-08	2.940888148220763e-05
3.600000e-01	5.000834757699094e-02	2.500344583298586e-02	2.940888148220763e-08	2.940888148220763e-05
4.000000e-01	5.000927491977750e-02	2.500382865894138e-02	2.940888148220763e-08	2.940888148220763e-05
4.500000e-01	5.001043402263634e-02	2.500430716694573e-02	2.911770443782933e-08	2.911770443782933e-05
5.100000e-01	5.001182495793663e-02	2.500488139131882e-02	2.911770443782933e-08	2.911770443782933e-05
5.700000e-01	5.001321577250960e-02	2.500545557669068e-02	2.911770443782933e-08	2.911770443782933e-05
6.400000e-01	5.001483831794479e-02	2.500612544373049e-02	2.882941033448449e-08	2.882941033448449e-05
7.100000e-01	5.001646076010906e-02	2.500679528284361e-02	2.882941033448449e-08	2.882941033448449e-05
8.000000e-01	5.001854661654921e-02	2.500765646810561e-02	2.854397062820246e-08	2.854397062820246e-05
9.000000e-01	5.002086400660044e-02	2.500861327491514e-02	2.826135705762620e-08	2.826135705762620e-05
1.000000e+00	5.002318126164748e-02	2.500957005592112e-02	2.826135705762620e-08	2.826135705762620e-05
1.130000e+00	5.002619335253347e-02	2.501081377539797e-02	2.798154164121406e-08	2.798154164121406e-05
1.260000e+00	5.002920507710466e-02	2.501205739426170e-02	2.770449667446937e-08	2.770449667446937e-05
1.420000e+00	5.003291133314584e-02	2.501358787257301e-02	2.743019472719739e-08	2.743019472719739e-05
1.590000e+00	5.003684864098372e-02	2.501521384641034e-02	2.715860864078950e-08	2.715860864078950e-05
1.780000e+00	5.004124843618118e-02	2.501703091403058e-02	2.688971152553416e-08	2.688971152553416e-05
2.000000e+00	5.004634194892137e-02	2.501913461425764e-02	2.662347675795461e-08	2.662347675795461e-05
2.240000e+00	5.005189737348115e-02	2.502142925603885e-02	2.609888908729988e-08	2.609888908729988e-05
2.520000e+00	5.005837706892920e-02	2.502410588074554e-02	2.558463786618947e-08	2.558463786618947e-05
2.820000e+00	5.006531772397094e-02	2.502697317729588e-02	2.533132461998958e-08	2.533132461998958e-05
3.170000e+00	5.007341259637257e-02	2.503031763827338e-02	2.483219745122005e-08	2.483219745122005e-05
3.550000e+00	5.008219817389704e-02	2.503394788193109e-02	2.434290505952363e-08	2.434290505952362e-05
3.990000e+00	5.009236687212359e-02	2.503815017333338e-02	2.362698382271164e-08	2.362698382271164e-05
4.470000e+00	5.010345485155006e-02	2.504273301915376e-02	2.316143890080545e-08	2.316143890080545e-05
5.020000e+00	5.011615323852286e-02	2.504798231115334e-02	2.248026440894986e-08	2.248026440894986e-05
5.630000e+00	5.013022852256650e-02	2.505380183320255e-02	2.181912315813521e-08	2.181912315813521e-05
6.310000e+00	5.014590854357940e-02	2.506028613693962e-02	2.096774848881777e-08	2.096774848881776e-05
7.080000e+00	5.016365028040478e-02	2.506762468205788e-02	2.035109010747128e-08	2.035109010747127e-05
7.950000e+00	5.018367872019477e-02	2.507591117117895e-02	1.955699758207858e-08	1.955699758207858e-05
8.920000e+00	5.020598718913832e-02	2.508514359874250e-02	1.860781215195592e-08	1.860781215195592e-05
1.000000e+01	5.023079784230847e-02	2.509541478701850e-02	1.788174173185814e-08	1.788174173185813e-05
1.123000e+01	5.025901863436399e-02	2.510710183678289e-02	1.701386369250870e-08	1.701386369250869e-05
1.259000e+01	5.029017738927851e-02	2.512001067104854e-02	1.618810751704029e-08	1.618810751704028e-05
1.413000e+01	5.032540313456555e-02	2.513461084957691e-02	1.524992955421061e-08	1.524992955421060e-05
1.585000e+01	5.036467425238727e-02	2.515089575242032e-02	1.436612347450642e-08	1.436612347450641e-05
1.779000e+01	5.040887710100472e-02	2.516923583551115e-02	1.353353816823238e-08	1.353353816823237e-05
1.996000e+01	5.045820562323166e-02	2.518971519560350e-02	1.262297539357847e-08	1.262297539357847e-05
2.239000e+01	5.051330055575658e-02	2.521260422722719e-02	1.177367705371455e-08	1.177367705371454e-05
2.512000e+01	5.057501636975485e-02	2.523826347549024e-02	1.098152115829067e-08	1.098152115829066e-05
2.819000e+01	5.064419046699429e-02	2.526704815091204e-02	1.024266305248612e-08	1.024266305248612e-05
3.163000e+01	5.072141661508043e-02	2.529921398560844e-02	9.458927482510393e-09	9.458927482510393e-06
3.549000e+01	5.080771570760180e-02	2.533519683557447e-02	8.648674091856637e-09	8.648674091856637e-06
3.982000e+01	5.090407929242214e-02	2.537542334642584e-02	7.986905420547053e-09	7.986905420547051e-06
4.467000e+01	5.101146492417500e-02	2.542030940982781e-02	7.302745698443800e-09	7.302745698443797e-06
5.012000e+01	5.113145069885384e-02	2.547053474756533e-02	6.677191218383885e-09	6.677191218383882e-06
5.624000e+01	5.126533665171838e-02	2.552666854116644e-02	6.105221845033412e-09	6.105221845033409e-06
6.310000e+01	5.141436060119310e-02	2.558926008028897e-02	5.582247468733527e-09	5.582247468733523e-06
7.080000e+01	5.158033515642023e-02	2.565910769001495e-02	5.053535811312388e-09	5.053535811312384e-06
7.944000e+01	5.176497315992559e-02	2.573697749525878e-02	4.574900045054927e-09	4.574900045054922e-06
8.913000e+01	5.197008674547645e-02	2.582368854419117e-02	4.141597329812567e-09	4.141597329812561e-06
1.000100e+02	5.219798086663293e-02	2.592028176711436e-02	3.712211915119415e-09	3.712211915119411e-06
1.122100e+02	5.245057987413392e-02	2.602765278606329e-02	3.360617019813462e-09	3.360617019813459e-06
1.259000e+02	5.273043867732232e-02	2.614698322274314e-02	3.012200740352810e-09	3.012200740352807e-06
1.412600e+02	5.304006977130014e-02	2.627945868211760e-02	2.699906965502916e-09	2.699906965502913e-06
1.584900e+02	5.338210376699946e-02	2.642633989078224e-02	2.419990648271790e-09	2.419990648271788e-06
1.778300e+02	5.375962272739093e-02	2.658911007763850e-02	2.169095014217294e-09	2.169095014217292e-06
1.995300e+02	5.417549751108608e-02	2.676919410010464e-02	1.944211306792582e-09	1.944211306792580e-06
2.238800e+02	5.463290232550667e-02	2.696818342090255e-02	1.725388817964828e-09	1.725388817964827e-06
2.511900e+02	5.513484966127337e-02	2.718763783254259e-02	1.546506919481886e-09	1.546506919481886e-06
2.818400e+02	5.568501401157638e-02	2.742944877511937e-02	1.372446367561399e-09	1.372446367561399e-06
3.162300e+02	5.628669493013237e-02	2.769538953499012e-02	1.217976465610338e-09	1.217976465610338e-06
3.548200e+02	5.694342658863742e-02	2.798738375576699e-02	1.080892270797084e-09	1.080892270797084e-06
3.981100e+02	5.765850060964058e-02	2.830729493581043e-02	9.592370083139650e-10	9.592370083139651e-07
4.466900e+02	5.843565671589898e-02	2.865723450578642e-02	8.512741398738918e-10	8.512741398738920e-07
5.011900e+02	5.927810350102221e-02	2.903912161996509e-02	7.479827484349954e-10	7.479827484349955e-07
5.623500e+02	6.018946886475063e-02	2.945510762805224e-02	6.637967106103370e-10	6.637967106103369e-07
6.309600e+02	6.117270479553329e-02	2.990707359884245e-02	5.832533431333673e-10	5.832533431333672e-07
7.079500e+02	6.223123817659486e-02	3.039714877928383e-02	5.124828985118986e-10	5.124828985118984e-07
7.943300e+02	6.336790089781759e-02	3.092721147382237e-02	4.548025512460247e-10	4.548025512460247e-07
8.912600e+02	6.458569657008183e-02	3.149923326218935e-02	3.956613780530340e-10	3.956613780530340e-07
1.000010e+03	6.588706879816167e-02	3.211492659895015e-02	3.476528548717901e-10	3.476528548717901e-07
