#t[yr]	ecc	inc	eachmass	totalmass
0.000000e+00	5.000000000000000e-02	2.500000000000000e-02	3.000000000000000e-08	3.000000000000000e-05
1.100000e-01	5.000255093896833e-02	2.500105297184295e-02	3.000000000000000e-08	3.000000000000000e-05
1.200000e-01	5.000278282209625e-02	2.500114868992747e-02	3.000000000000000e-08	3.000000000000000e-05
1.300000e-01	5.000301470182091e-02	2.500124440690698e-02	3.000000000000000e-08	3.000000000000000e-05
1.500000e-01	5.000347845105959e-02	2.500143583755072e-02	2.970297029702970e-08	2.970297029702970e-05
1.600000e-01	5.000371034141178e-02	2.500153155980616e-02	2.970297029702970e-08	2.970297029702970e-05
1.800000e-01	5.000417411193179e-02	2.500172300101153e-02	2.970297029702970e-08	2.970297029702970e-05
2.000000e-01	5.000463786887135e-02	2.500191443780913e-02	2.970297029702970e-08	2.970297029702970e-05
2.300000e-01	5.000533347881406e-02	2.500220158473991e-02	2.970297029702970e-08	2.970297029702970e-05
2.600000e-01	5.000602905819226e-02	2.500248872175051e-02	2.970297029702970e-08	2.970297029702970e-05
2.900000e-01	5.000672460700083e-02	2.500277584883928e-02	2.970297029702970e-08	2.970297029702970e-05
3.200000e-01	5.000742016652771e-02	2.500306298302764e-02	2.940888148220763e-08	2.940888148220763e-05
3.600000e-01	5.000834755930054e-02	2.500344582456249e-02	2.940888148220763e-08	2.940888148220763e-05
4.000000e-01	5.000927489784555e-02	2.500382864850362e-02	2.940888148220763e-08	2.940888148220763e-05
4.500000e-01	5.001043399475097e-02	2.500430715368311e-02	2.911770443782933e-08	2.911770443782933e-05
5.100000e-01	5.001182492195540e-02	2.500488137421817e-02	2.911770443782933e-08	2.911770443782933e-05
5.700000e-01	5.001321572737911e-02	2.500545555525770e-02	2.911770443782933e-08	2.911770443782933e-05
6.400000e-01	5.001483826080733e-02	2.500612541661850e-02	2.882941033448449e-08	2.882941033448449e-05
7.100000e-01	5.001646068951778e-02	2.500679524937636e-02	2.882941033448449e-08	2.882941033448449e-05
8.000000e-01	5.001854652652079e-02	2.500765642546977e-02	2.854397062820246e-08	2.854397062820246e-05
9.000000e-01	5.002086389212411e-02	2.500861322076687e-02	2.826135705762620e-08	2.826135705762620e-05
1.000000e+00	5.002318111971088e-02	2.500956998886361e-02	2.826135705762620e-08	2.826135705762620e-05
1.130000e+00	5.002619317033224e-02	2.501081368944991e-02	2.798154164121406e-08	2.798154164121406e-05
1.260000e+00	5.002920484942473e-02	2.501205728702428e-02	2.770449667446937e-08	2.770449667446937e-05
1.420000e+00	5.003291104225231e-02	2.501358773581639e-02	2.743019472719739e-08	2.743019472719739e-05
1.590000e+00	5.003684827405910e-02	2.501521367424578e-02	2.715860864078950e-08	2.715860864078950e-05
1.780000e+00	5.004124797331531e-02	2.501703069731639e-02	2.688971152553416e-08	2.688971152553416e-05
2.000000e+00	5.004634136027365e-02	2.501913433932878e-02	2.662347675795461e-08	2.662347675795461e-05
2.240000e+00	5.005189662935614e-02	2.502142890940773e-02	2.609888908729988e-08	2.609888908729988e-05
2.520000e+00	5.005837611883974e-02	2.502410543950548e-02	2.558463786618947e-08	2.558463786618947e-05
2.820000e+00	5.006531652328201e-02	2.502697262143607e-02	2.533132461998958e-08	2.533132461998958e-05
3.170000e+00	5.007341106330031e-02	2.503031693109812e-02	2.483219745122005e-08	2.483219745122005e-05
3.550000e+00	5.008219623001401e-02	2.503394698868588e-02	2.434290505952363e-08	2.434290505952362e-05
3.990000e+00	5.009236438598505e-02	2.503814903583301e-02	2.362698382271164e-08	2.362698382271164e-05
4.470000e+00	5.010345169009846e-02	2.504273157927078e-02	2.316143890080545e-08	2.316143890080545e-05
