#t[yr]	ecc	inc	eachmass	totalmass
0.000000e+00	5.000000000000000e-02	2.500000000000000e-02	3.000000000000000e-06	3.000000000000000e-06
1.100000e-01	4.998345002040189e-02	2.499416481452706e-02	3.000000000000000e-06	3.000000000000000e-06
1.200000e-01	4.998194548878869e-02	2.499363431999771e-02	3.000000000000000e-06	3.000000000000000e-06
1.300000e-01	4.998044095918502e-02	2.499310382161640e-02	3.000000000000000e-06	3.000000000000000e-06
1.500000e-01	4.997743190601706e-02	2.499204281329952e-02	3.000000000000000e-06	3.000000000000000e-06
1.600000e-01	4.997592738245821e-02	2.499151230336481e-02	3.000000000000000e-06	3.000000000000000e-06
1.800000e-01	4.997291834140435e-02	2.499045127194490e-02	3.000000000000000e-06	3.000000000000000e-06
2.000000e-01	4.996990930845367e-02	2.498939022512717e-02	3.000000000000000e-06	3.000000000000000e-06
2.300000e-01	4.996539577426862e-02	2.498779862603696e-02	3.000000000000000e-06	3.000000000000000e-06
2.600000e-01	4.996088225843787e-02	2.498620699232051e-02	3.000000000000000e-06	3.000000000000000e-06
2.900000e-01	4.995636876103475e-02	2.498461532398913e-02	3.000000000000000e-06	3.000000000000000e-06
3.200000e-01	4.995185528213257e-02	2.498302362105414e-02	3.000000000000000e-06	3.000000000000000e-06
3.600000e-01	4.994583733916903e-02	2.498090129666593e-02	3.000000000000000e-06	3.000000000000000e-06
4.000000e-01	4.993981942940039e-02	2.497877891080723e-02	3.000000000000000e-06	3.000000000000000e-06
4.500000e-01	4.993229708913496e-02	2.497612584208196e-02	3.000000000000000e-06	3.000000000000000e-06
5.100000e-01	4.992327035011841e-02	2.497294203295823e-02	3.000000000000000e-06	3.000000000000000e-06
5.700000e-01	4.991424368725911e-02	2.496975808575298e-02	3.000000000000000e-06	3.000000000000000e-06
6.400000e-01	4.990371267762875e-02	2.496604330628180e-02	3.000000000000000e-06	3.000000000000000e-06
7.100000e-01	4.989318177339164e-02	2.496232833913466e-02	3.000000000000000e-06	3.000000000000000e-06
8.000000e-01	4.987964219574074e-02	2.495755167726669e-02	3.000000000000000e-06	3.000000000000000e-06
9.000000e-01	4.986459842913833e-02	2.495224391198447e-02	3.000000000000000e-06	3.000000000000000e-06
1.000000e+00	4.984955488471751e-02	2.494693576478807e-02	3.000000000000000e-06	3.000000000000000e-06
1.130000e+00	4.982999861362603e-02	2.494003460316718e-02	3.000000000000000e-06	3.000000000000000e-06
1.260000e+00	4.981044272864967e-02	2.493313279775800e-02	3.000000000000000e-06	3.000000000000000e-06
1.420000e+00	4.978637448608780e-02	2.492463738562252e-02	3.000000000000000e-06	3.000000000000000e-06
1.590000e+00	4.976080264177690e-02	2.491560994518985e-02	3.000000000000000e-06	3.000000000000000e-06
1.780000e+00	4.973222317034078e-02	2.490551915691898e-02	3.000000000000000e-06	3.000000000000000e-06
2.000000e+00	4.969913226290355e-02	2.489383338093328e-02	3.000000000000000e-06	3.000000000000000e-06
2.240000e+00	4.966303448529482e-02	2.488108317953518e-02	3.000000000000000e-06	3.000000000000000e-06
2.520000e+00	4.962092229966621e-02	2.486620520627551e-02	3.000000000000000e-06	3.000000000000000e-06
2.820000e+00	4.957580442317284e-02	2.485026125847964e-02	3.000000000000000e-06	3.000000000000000e-06
3.170000e+00	4.952317003493970e-02	2.483165573612980e-02	3.000000000000000e-06	3.000000000000000e-06
3.550000e+00	4.946602808211278e-02	2.481145029331257e-02	3.000000000000000e-06	3.000000000000000e-06
3.990000e+00	4.939986905546296e-02	2.478804783495283e-02	3.000000000000000e-06	3.000000000000000e-06
4.470000e+00	4.932770237565600e-02	2.476250974338240e-02	3.000000000000000e-06	3.000000000000000e-06
5.020000e+00	4.924502050718474e-02	2.473323696962541e-02	3.000000000000000e-06	3.000000000000000e-06
5.630000e+00	4.915333073542562e-02	2.470075792644752e-02	3.000000000000000e-06	3.000000000000000e-06
6.310000e+00	4.905113474901377e-02	2.466453593825477e-02	3.000000000000000e-06	3.000000000000000e-06
7.080000e+00	4.893543372657656e-02	2.462349987298172e-02	3.000000000000000e-06	3.000000000000000e-06
7.950000e+00	4.880473489677736e-02	2.457710915348958e-02	3.000000000000000e-06	3.000000000000000e-06
8.920000e+00	4.865905086154045e-02	2.452535488238653e-02	3.000000000000000e-06	3.000000000000000e-06
1.000000e+01	4.849689580326240e-02	2.446769326284108e-02	3.000000000000000e-06	3.000000000000000e-06
1.123000e+01	4.831228775220654e-02	2.440197465495236e-02	3.000000000000000e-06	3.000000000000000e-06
1.259000e+01	4.810825965902238e-02	2.432925116664167e-02	3.000000000000000e-06	3.000000000000000e-06
1.413000e+01	4.787735293892254e-02	2.424682918078733e-02	3.000000000000000e-06	3.000000000000000e-06
1.585000e+01	4.761962730013808e-02	2.415468351624355e-02	3.000000000000000e-06	3.000000000000000e-06
1.779000e+01	4.732917119668826e-02	2.405064097757586e-02	3.000000000000000e-06	3.000000000000000e-06
1.996000e+01	4.700460111627792e-02	2.393412876721988e-02	3.000000000000000e-06	3.000000000000000e-06
2.239000e+01	4.664158408826617e-02	2.380349409870114e-02	3.000000000000000e-06	3.000000000000000e-06
2.512000e+01	4.623436220688166e-02	2.365653620378743e-02	3.000000000000000e-06	3.000000000000000e-06
2.819000e+01	4.577727793827454e-02	2.349104226695256e-02	3.000000000000000e-06	3.000000000000000e-06
3.163000e+01	4.526629481148700e-02	2.330532868089860e-02	3.000000000000000e-06	3.000000000000000e-06
3.549000e+01	4.469458752508393e-02	2.309662453758779e-02	3.000000000000000e-06	3.000000000000000e-06
3.982000e+01	4.405560206355897e-02	2.286215224099420e-02	3.000000000000000e-06	3.000000000000000e-06
4.467000e+01	4.334315603299274e-02	2.259913610359699e-02	3.000000000000000e-06	3.000000000000000e-06
5.012000e+01	4.254720582531989e-02	2.230318643953804e-02	3.000000000000000e-06	3.000000000000000e-06
5.624000e+01	4.165997770977928e-02	2.197048925072610e-02	3.000000000000000e-06	3.000000000000000e-06
6.310000e+01	4.067478777538848e-02	2.159730370303823e-02	3.000000000000000e-06	3.000000000000000e-06
7.080000e+01	3.958221141777148e-02	2.117838867319042e-02	3.000000000000000e-06	3.000000000000000e-06
7.944000e+01	3.837512042124704e-02	2.070872902679585e-02	3.000000000000000e-06	3.000000000000000e-06
8.913000e+01	3.704817845646793e-02	2.018314079011261e-02	3.000000000000000e-06	3.000000000000000e-06
1.000100e+02	3.559649760971164e-02	1.959542076952026e-02	3.000000000000000e-06	3.000000000000000e-06
1.122100e+02	3.402287568510497e-02	1.894086720558627e-02	3.000000000000000e-06	3.000000000000000e-06
1.259000e+02	3.233351606637698e-02	1.821411392882237e-02	3.000000000000000e-06	3.000000000000000e-06
1.412600e+02	3.054504665879907e-02	1.741154277433532e-02	3.000000000000000e-06	3.000000000000000e-06
1.584900e+02	2.868652820381035e-02	1.653186531044200e-02	3.000000000000000e-06	3.000000000000000e-06
1.778300e+02	2.680070002586217e-02	1.557666425827545e-02	3.000000000000000e-06	3.000000000000000e-06
1.995300e+02	2.494923636815309e-02	1.455387011465099e-02	3.000000000000000e-06	3.000000000000000e-06
2.238800e+02	2.320858029181308e-02	1.347833122980912e-02	3.000000000000000e-06	3.000000000000000e-06
2.511900e+02	2.166486435707929e-02	1.237416981564353e-02	3.000000000000000e-06	3.000000000000000e-06
2.818400e+02	2.039692660858284e-02	1.127240005445495e-02	3.000000000000000e-06	3.000000000000000e-06
3.162300e+02	1.945947019919875e-02	1.021001045189751e-02	3.000000000000000e-06	3.000000000000000e-06
