#t[yr]	ecc	inc	eachmass	totalmass
0.000000e+00	5.000000000000000e-02	2.500000000000000e-02	3.000000000000000e-08	3.000000000000000e-05
1.100000e-01	5.000265361242127e-02	2.500115009775339e-02	3.000000000000000e-08	3.000000000000000e-05
1.200000e-01	5.000289482817891e-02	2.500125464459594e-02	3.000000000000000e-08	3.000000000000000e-05
1.300000e-01	5.000313604031334e-02	2.500135919018851e-02	3.000000000000000e-08	3.000000000000000e-05
1.500000e-01	5.000361845371203e-02	2.500156827762350e-02	3.000000000000000e-08	3.000000000000000e-05
1.600000e-01	5.000385965497597e-02	2.500167281946582e-02	3.000000000000000e-08	3.000000000000000e-05
1.800000e-01	5.000434204663230e-02	2.500188189939989e-02	3.000000000000000e-08	3.000000000000000e-05
2.000000e-01	5.000482442379219e-02	2.500209097433286e-02	3.000000000000000e-08	3.000000000000000e-05
2.300000e-01	5.000554796234857e-02	2.500240457735442e-02	3.000000000000000e-08	3.000000000000000e-05
2.600000e-01	5.000627146828115e-02	2.500271816912135e-02	3.000000000000000e-08	3.000000000000000e-05
2.900000e-01	5.000699494158580e-02	2.500303174963234e-02	3.000000000000000e-08	3.000000000000000e-05
3.200000e-01	5.000771838225844e-02	2.500334531888611e-02	3.000000000000000e-08	3.000000000000000e-05
3.600000e-01	5.000868291905394e-02	2.500376339371098e-02	3.000000000000000e-08	3.000000000000000e-05
4.000000e-01	5.000964739781992e-02	2.500418144851761e-02	3.000000000000000e-08	3.000000000000000e-05
4.500000e-01	5.001085291465859e-02	2.500470398887056e-02	3.000000000000000e-08	3.000000000000000e-05
5.100000e-01	5.001229941513229e-02	2.500533099599167e-02	3.000000000000000e-08	3.000000000000000e-05
5.700000e-01	5.001374578495752e-02	2.500595795804579e-02	3.000000000000000e-08	3.000000000000000e-05
6.400000e-01	5.001543305125134e-02	2.500668935680206e-02	3.000000000000000e-08	3.000000000000000e-05
7.100000e-01	5.001712013962129e-02	2.500742069418650e-02	3.000000000000000e-08	3.000000000000000e-05
8.000000e-01	5.001928899171680e-02	2.500836089490382e-02	3.000000000000000e-08	3.000000000000000e-05
9.000000e-01	5.002169848218840e-02	2.500940544330674e-02	3.000000000000000e-08	3.000000000000000e-05
1.000000e+00	5.002410760915531e-02	2.501044986633610e-02	3.000000000000000e-08	3.000000000000000e-05
1.130000e+00	5.002723893052320e-02	2.501180742876174e-02	3.000000000000000e-08	3.000000000000000e-05
1.260000e+00	5.003036963697845e-02	2.501316477911929e-02	3.000000000000000e-08	3.000000000000000e-05
1.420000e+00	5.003422196952126e-02	2.501483507289566e-02	3.000000000000000e-08	3.000000000000000e-05
1.590000e+00	5.003831405099134e-02	2.501660940765506e-02	3.000000000000000e-08	3.000000000000000e-05
