#t[yr]	ecc	inc	eachmass	totalmass
0.000000e+00	5.000000000000000e-02	2.500000000000000e-02	3.000000000000000e-06	3.000000000000000e-06
1.100000e-01	4.998264073851179e-02	2.499382558021727e-02	3.000000000000000e-06	3.000000000000000e-06
1.200000e-01	4.998106258765272e-02	2.499326423883505e-02	3.000000000000000e-06	3.000000000000000e-06
1.300000e-01	4.997948443077339e-02	2.499270289237250e-02	3.000000000000000e-06	3.000000000000000e-06
1.500000e-01	4.997632809896263e-02	2.499158018420806e-02	3.000000000000000e-06	3.000000000000000e-06
1.600000e-01	4.997474992403558e-02	2.499101882250702e-02	3.000000000000000e-06	3.000000000000000e-06
1.800000e-01	4.997159355614904e-02	2.498989608386938e-02	3.000000000000000e-06	3.000000000000000e-06
2.000000e-01	4.996843716423380e-02	2.498877332492046e-02	3.000000000000000e-06	3.000000000000000e-06
2.300000e-01	4.996370253134533e-02	2.498708914842074e-02	3.000000000000000e-06	3.000000000000000e-06
2.600000e-01	4.995896784449059e-02	2.498540492623949e-02	3.000000000000000e-06	3.000000000000000e-06
2.900000e-01	4.995423310372852e-02	2.498372065838803e-02	3.000000000000000e-06	3.000000000000000e-06
3.200000e-01	4.994949830911815e-02	2.498203634487768e-02	3.000000000000000e-06	3.000000000000000e-06
3.600000e-01	4.994318516597566e-02	2.497979052252522e-02	3.000000000000000e-06	3.000000000000000e-06
4.000000e-01	4.993687192734776e-02	2.497754461904844e-02	3.000000000000000e-06	3.000000000000000e-06
4.500000e-01	4.992898024499988e-02	2.497473712566235e-02	3.000000000000000e-06	3.000000000000000e-06
5.100000e-01	4.991951002991789e-02	2.497136796640962e-02	3.000000000000000e-06	3.000000000000000e-06
5.700000e-01	4.991003960117600e-02	2.496799862485428e-02	3.000000000000000e-06	3.000000000000000e-06
6.400000e-01	4.989899049823307e-02	2.496406749608422e-02	3.000000000000000e-06	3.000000000000000e-06
7.100000e-01	4.988794110587205e-02	2.496013611944853e-02	3.000000000000000e-06	3.000000000000000e-06
8.000000e-01	4.987373432020940e-02	2.495508112836782e-02	3.000000000000000e-06	3.000000000000000e-06
9.000000e-01	4.985794844509769e-02	2.494946399171119e-02	3.000000000000000e-06	3.000000000000000e-06
1.000000e+00	4.984216198505022e-02	2.494384635030550e-02	3.000000000000000e-06	3.000000000000000e-06
1.130000e+00	4.982163871613069e-02	2.493654266257548e-02	3.000000000000000e-06	3.000000000000000e-06
1.260000e+00	4.980111446723437e-02	2.492923812346899e-02	3.000000000000000e-06	3.000000000000000e-06
1.420000e+00	4.977585251508576e-02	2.492024675412044e-02	3.000000000000000e-06	3.000000000000000e-06
1.590000e+00	4.974901008258011e-02	2.491069201460967e-02	3.000000000000000e-06	3.000000000000000e-06
1.780000e+00	4.971900776899103e-02	2.490001147200239e-02	3.000000000000000e-06	3.000000000000000e-06
2.000000e+00	4.968426569869607e-02	2.488764226863142e-02	3.000000000000000e-06	3.000000000000000e-06
2.240000e+00	4.964636216477895e-02	2.487414583210844e-02	3.000000000000000e-06	3.000000000000000e-06
2.520000e+00	4.960213733530237e-02	2.485839635709283e-02	3.000000000000000e-06	3.000000000000000e-06
2.820000e+00	4.955474881471336e-02	2.484151758895600e-02	3.000000000000000e-06	3.000000000000000e-06
3.170000e+00	4.949945604367050e-02	2.482182004598189e-02	3.000000000000000e-06	3.000000000000000e-06
3.550000e+00	4.943941648384387e-02	2.480042727761831e-02	3.000000000000000e-06	3.000000000000000e-06
3.990000e+00	4.936988751682841e-02	2.477564780627804e-02	3.000000000000000e-06	3.000000000000000e-06
4.470000e+00	4.929402635291851e-02	2.474860480806215e-02	3.000000000000000e-06	3.000000000000000e-06
5.020000e+00	4.920708781844670e-02	2.471760418534684e-02	3.000000000000000e-06	3.000000000000000e-06
5.630000e+00	4.911064768202242e-02	2.468320445878415e-02	3.000000000000000e-06	3.000000000000000e-06
6.310000e+00	4.900311969745211e-02	2.464483599988849e-02	3.000000000000000e-06	3.000000000000000e-06
7.080000e+00	4.888133429720484e-02	2.460136252556775e-02	3.000000000000000e-06	3.000000000000000e-06
7.950000e+00	4.874370097044388e-02	2.455220910474981e-02	3.000000000000000e-06	3.000000000000000e-06
8.920000e+00	4.859020997515391e-02	2.449736364650758e-02	3.000000000000000e-06	3.000000000000000e-06
1.000000e+01	4.841926853084607e-02	2.443624673914020e-02	3.000000000000000e-06	3.000000000000000e-06
1.123000e+01	4.822453216976887e-02	2.436657556412686e-02	3.000000000000000e-06	3.000000000000000e-06
1.259000e+01	4.800915340282565e-02	2.428946023834571e-02	3.000000000000000e-06	3.000000000000000e-06
1.413000e+01	4.776519948853110e-02	2.420203789828503e-02	3.000000000000000e-06	3.000000000000000e-06
1.585000e+01	4.749265549431959e-02	2.410427328038640e-02	3.000000000000000e-06	3.000000000000000e-06
1.779000e+01	4.718517065690102e-02	2.399384995384747e-02	3.000000000000000e-06	3.000000000000000e-06
1.996000e+01	4.684115266739554e-02	2.387014645897927e-02	3.000000000000000e-06	3.000000000000000e-06
2.239000e+01	4.645584935653697e-02	2.373139144719476e-02	3.000000000000000e-06	3.000000000000000e-06
2.512000e+01	4.602294018046458e-02	2.357522614369194e-02	3.000000000000000e-06	3.000000000000000e-06
2.819000e+01	4.553613537619378e-02	2.339927189422293e-02	3.000000000000000e-06	3.000000000000000e-06
3.163000e+01	4.499078251891971e-02	2.320170484717219e-02	3.000000000000000e-06	3.000000000000000e-06
3.549000e+01	4.437914077612992e-02	2.297953511813218e-02	3.000000000000000e-06	3.000000000000000e-06
3.982000e+01	4.369360044168378e-02	2.272975295613503e-02	3.000000000000000e-06	3.000000000000000e-06
4.467000e+01	4.292675191446231e-02	2.244933592753436e-02	3.000000000000000e-06	3.000000000000000e-06
5.012000e+01	4.206675463131831e-02	2.213352174754085e-02	3.000000000000000e-06	3.000000000000000e-06
5.624000e+01	4.110383413087617e-02	2.177813753391621e-02	3.000000000000000e-06	3.000000000000000e-06
6.310000e+01	4.002892619073192e-02	2.137906210387206e-02	3.000000000000000e-06	3.000000000000000e-06
7.080000e+01	3.882933408538179e-02	2.093053803830199e-02	3.000000000000000e-06	3.000000000000000e-06
7.944000e+01	3.749398146571190e-02	2.042701026171273e-02	3.000000000000000e-06	3.000000000000000e-06
8.913000e+01	3.601259621006259e-02	1.986269955368712e-02	3.000000000000000e-06	3.000000000000000e-06
1.000100e+02	3.437378406239098e-02	1.923068096002899e-02	3.000000000000000e-06	3.000000000000000e-06
1.122100e+02	3.257263764577353e-02	1.852558197632408e-02	3.000000000000000e-06	3.000000000000000e-06
1.259000e+02	3.060528161536175e-02	1.774123319970622e-02	3.000000000000000e-06	3.000000000000000e-06
1.412600e+02	2.847610311174507e-02	1.687321437636487e-02	3.000000000000000e-06	3.000000000000000e-06
1.584900e+02	2.619945383757395e-02	1.591937207285644e-02	3.000000000000000e-06	3.000000000000000e-06
1.778300e+02	2.380063670499441e-02	1.488016752546092e-02	3.000000000000000e-06	3.000000000000000e-06
1.995300e+02	2.132304377431852e-02	1.376204847295000e-02	3.000000000000000e-06	3.000000000000000e-06
2.238800e+02	1.882610194962566e-02	1.257758416646660e-02	3.000000000000000e-06	3.000000000000000e-06
2.511900e+02	1.638657927588155e-02	1.134787174087074e-02	3.000000000000000e-06	3.000000000000000e-06
2.818400e+02	1.408969976824922e-02	1.010081764723631e-02	3.000000000000000e-06	3.000000000000000e-06
3.162300e+02	1.202573980739759e-02	8.872670560046940e-03	3.000000000000000e-06	3.000000000000000e-06
3.548200e+02	1.027487500143117e-02	7.703898184967455e-03	3.000000000000000e-06	3.000000000000000e-06
3.981100e+02	8.893630690726380e-03	6.636143098505860e-03	3.000000000000000e-06	3.000000000000000e-06
4.466900e+02	7.897825698905086e-03	5.706412579227164e-03	3.000000000000000e-06	3.000000000000000e-06
5.011900e+02	7.255743192780053e-03	4.943409481196737e-03	3.000000000000000e-06	3.000000000000000e-06
5.623500e+02	6.895375910336050e-03	4.361118840468582e-03	3.000000000000000e-06	3.000000000000000e-06
6.309600e+02	6.730508908758890e-03	3.955494792660769e-03	3.000000000000000e-06	3.000000000000000e-06
7.079500e+02	6.685647839260929e-03	3.703542822634969e-03	3.000000000000000e-06	3.000000000000000e-06
7.943300e+02	6.708015376637506e-03	3.570254059673361e-03	3.000000000000000e-06	3.000000000000000e-06
8.912600e+02	6.766264747764682e-03	3.518720450841886e-03	3.000000000000000e-06	3.000000000000000e-06
1.000010e+03	6.844056851229613e-03	3.518504900531302e-03	3.000000000000000e-06	3.000000000000000e-06
