#t[yr]	ecc	inc	eachmass	totalmass
0.000000e+00	1.000000000000000e-02	5.000000000000000e-03	3.000000000000000e-08	3.000000000000000e-05
1.100000e-01	1.003471556400063e-02	5.004171619069830e-03	3.000000000000000e-08	3.000000000000000e-05
1.200000e-01	1.003786390694424e-02	5.004549536294168e-03	3.000000000000000e-08	3.000000000000000e-05
1.300000e-01	1.004101098632783e-02	5.004927234181718e-03	3.000000000000000e-08	3.000000000000000e-05
1.500000e-01	1.004730135992798e-02	5.005681972691215e-03	3.000000000000000e-08	3.000000000000000e-05
1.600000e-01	1.005044465689537e-02	5.006059013685256e-03	3.000000000000000e-08	3.000000000000000e-05
1.800000e-01	1.005672747802467e-02	5.006812440081287e-03	3.000000000000000e-08	3.000000000000000e-05
2.000000e-01	1.006300527786670e-02	5.007564993592391e-03	3.000000000000000e-08	3.000000000000000e-05
2.300000e-01	1.007241258657687e-02	5.008692190445016e-03	3.000000000000000e-08	3.000000000000000e-05
2.600000e-01	1.008180865861182e-02	5.009817431644433e-03	3.000000000000000e-08	3.000000000000000e-05
2.900000e-01	1.009119353046693e-02	5.010940722181142e-03	3.000000000000000e-08	3.000000000000000e-05
3.200000e-01	1.010056723845734e-02	5.012062067036269e-03	3.000000000000000e-08	3.000000000000000e-05
3.600000e-01	1.011304821219783e-02	5.013554175485769e-03	3.000000000000000e-08	3.000000000000000e-05
4.000000e-01	1.012550948845353e-02	5.015042845542295e-03	3.000000000000000e-08	3.000000000000000e-05
4.500000e-01	1.014105851302640e-02	5.016898865738764e-03	3.000000000000000e-08	3.000000000000000e-05
5.100000e-01	1.015967712176996e-02	5.019119054636073e-03	3.000000000000000e-08	3.000000000000000e-05
5.700000e-01	1.017825211854651e-02	5.021331605762847e-03	3.000000000000000e-08	3.000000000000000e-05
6.400000e-01	1.019986819843017e-02	5.023903314385527e-03	3.000000000000000e-08	3.000000000000000e-05
7.100000e-01	1.022142573326201e-02	5.026464742446756e-03	3.000000000000000e-08	3.000000000000000e-05
8.000000e-01	1.024905723341247e-02	5.029743000204655e-03	3.000000000000000e-08	3.000000000000000e-05
9.000000e-01	1.027964733462523e-02	5.033365855291426e-03	3.000000000000000e-08	3.000000000000000e-05
1.000000e+00	1.031012118232046e-02	5.036968194291896e-03	3.000000000000000e-08	3.000000000000000e-05
1.130000e+00	1.034956536617661e-02	5.041620853769076e-03	3.000000000000000e-08	3.000000000000000e-05
1.260000e+00	1.038881771965366e-02	5.046239524561498e-03	3.000000000000000e-08	3.000000000000000e-05
1.420000e+00	1.043687155223880e-02	5.051878749022688e-03	2.970297029702970e-08	2.970297029702970e-05
1.590000e+00	1.048762150903171e-02	5.057816244878673e-03	2.970297029702970e-08	2.970297029702970e-05
1.780000e+00	1.054397239197563e-02	5.064386824720587e-03	2.970297029702970e-08	2.970297029702970e-05
2.000000e+00	1.060874264048576e-02	5.071910002489971e-03	2.970297029702970e-08	2.970297029702970e-05
2.240000e+00	1.067882827892045e-02	5.080015187608746e-03	2.970297029702970e-08	2.970297029702970e-05
2.520000e+00	1.075985739716996e-02	5.089339701990689e-03	2.970297029702970e-08	2.970297029702970e-05
2.820000e+00	1.084582254213091e-02	5.099178914073139e-03	2.940888148220763e-08	2.940888148220763e-05
3.170000e+00	1.094502803060999e-02	5.110464851496977e-03	2.940888148220763e-08	2.940888148220763e-05
3.550000e+00	1.105145169691963e-02	5.122489374359485e-03	2.940888148220763e-08	2.940888148220763e-05
3.990000e+00	1.117307153206267e-02	5.136126704648350e-03	2.911770443782933e-08	2.911770443782933e-05
4.470000e+00	1.130385663528594e-02	5.150669516456557e-03	2.911770443782933e-08	2.911770443782933e-05
5.020000e+00	1.145138588997179e-02	5.166921918355016e-03	2.882941033448449e-08	2.882941033448449e-05
5.630000e+00	1.161224550918409e-02	5.184463683242191e-03	2.882941033448449e-08	2.882941033448449e-05
6.310000e+00	1.178830117121192e-02	5.203451108888813e-03	2.854397062820246e-08	2.854397062820246e-05
7.080000e+00	1.198373818660711e-02	5.224279318377658e-03	2.854397062820246e-08	2.854397062820246e-05
7.950000e+00	1.219984496175574e-02	5.247016769271069e-03	2.826135705762620e-08	2.826135705762620e-05
8.920000e+00	1.243527403638559e-02	5.271455518402601e-03	2.798154164121406e-08	2.798154164121406e-05
1.000000e+01	1.269103043883412e-02	5.297641300429694e-03	2.770449667446937e-08	2.770449667446937e-05
1.123000e+01	1.297473747612105e-02	5.326289378362303e-03	2.743019472719739e-08	2.743019472719739e-05
1.259000e+01	1.327978122405948e-02	5.356683378553906e-03	2.715860864078950e-08	2.715860864078950e-05
1.413000e+01	1.361515753339917e-02	5.389697586661369e-03	2.662347675795461e-08	2.662347675795461e-05
1.585000e+01	1.397823123340683e-02	5.425079206370980e-03	2.609888908729988e-08	2.609888908729988e-05
1.779000e+01	1.437453871556951e-02	5.463432909091387e-03	2.558463786618947e-08	2.558463786618947e-05
1.996000e+01	1.480285563100926e-02	5.504780249410686e-03	2.508051942573225e-08	2.508051942573225e-05
2.239000e+01	1.526561602273532e-02	5.549598552303738e-03	2.458633411011887e-08	2.458633411011886e-05
2.512000e+01	1.576646263917527e-02	5.598615301887066e-03	2.386325366093876e-08	2.386325366093876e-05
2.819000e+01	1.630819424182263e-02	5.652650080235086e-03	2.316143890080545e-08	2.316143890080545e-05
3.163000e+01	1.689115998730104e-02	5.712487551906276e-03	2.225768753361373e-08	2.225768753361372e-05
3.549000e+01	1.751841169838789e-02	5.779429164838398e-03	2.138920023344301e-08	2.138920023344300e-05
3.982000e+01	1.819202794929946e-02	5.854972813757585e-03	2.035109010747128e-08	2.035109010747127e-05
4.467000e+01	1.891315473323220e-02	5.940835143622285e-03	1.936336394265206e-08	1.936336394265206e-05
5.012000e+01	1.968622120283473e-02	6.039513430577468e-03	1.824116474066849e-08	1.824116474066848e-05
5.624000e+01	2.051270241886246e-02	6.153609868071649e-03	1.701386369250870e-08	1.701386369250869e-05
6.310000e+01	2.139277909362257e-02	6.286009508628997e-03	1.586913784632907e-08	1.586913784632906e-05
7.080000e+01	2.232894372999174e-02	6.440479683217208e-03	1.465488255634399e-08	1.465488255634399e-05
7.944000e+01	2.332172234767363e-02	6.621138113983959e-03	1.353353816823238e-08	1.353353816823237e-05
