#t[yr]	ecc	inc	eachmass	totalmass
0.000000e+00	1.000000000000000e-02	5.000000000000000e-03	3.000000000000000e-08	3.000000000000000e-05
1.100000e-01	1.003472262732032e-02	5.004172402634951e-03	3.000000000000000e-08	3.000000000000000e-05
1.200000e-01	1.003787237833180e-02	5.004550476420317e-03	3.000000000000000e-08	3.000000000000000e-05
1.300000e-01	1.004102099254073e-02	5.004928345059986e-03	3.000000000000000e-08	3.000000000000000e-05
1.500000e-01	1.004731481523831e-02	5.005683467618784e-03	3.000000000000000e-08	3.000000000000000e-05
1.600000e-01	1.005046002606581e-02	5.006060721895852e-03	3.000000000000000e-08	3.000000000000000e-05
1.800000e-01	1.005674705251094e-02	5.006814617339145e-03	3.000000000000000e-08	3.000000000000000e-05
2.000000e-01	1.006302955976423e-02	5.007567696491499e-03	3.000000000000000e-08	3.000000000000000e-05
2.300000e-01	1.007244486744874e-02	5.008695787793995e-03	3.000000000000000e-08	3.000000000000000e-05
2.600000e-01	1.008185005901026e-02	5.009822050455258e-03	3.000000000000000e-08	3.000000000000000e-05
2.900000e-01	1.009124516548436e-02	5.010946489269003e-03	3.000000000000000e-08	3.000000000000000e-05
3.200000e-01	1.010063021775486e-02	5.012069109018004e-03	3.000000000000000e-08	3.000000000000000e-05
3.600000e-01	1.011312803400742e-02	5.013563113939805e-03	3.000000000000000e-08	3.000000000000000e-05
4.000000e-01	1.012560810317530e-02	5.015053904731664e-03	3.000000000000000e-08	3.000000000000000e-05
4.500000e-01	1.014118334238973e-02	5.016912890481357e-03	3.000000000000000e-08	3.000000000000000e-05
5.100000e-01	1.015983737086438e-02	5.019137098246556e-03	3.000000000000000e-08	3.000000000000000e-05
5.700000e-01	1.017845207014751e-02	5.021354168706432e-03	3.000000000000000e-08	3.000000000000000e-05
6.400000e-01	1.020011982723765e-02	5.023931780162116e-03	3.000000000000000e-08	3.000000000000000e-05
7.100000e-01	1.022173474698369e-02	5.026499787226486e-03	3.000000000000000e-08	3.000000000000000e-05
8.000000e-01	1.024944831104779e-02	5.029787492818934e-03	3.000000000000000e-08	3.000000000000000e-05
9.000000e-01	1.028014037150090e-02	5.033422143859950e-03	3.000000000000000e-08	3.000000000000000e-05
1.000000e+00	1.031072734672522e-02	5.037037637492445e-03	3.000000000000000e-08	3.000000000000000e-05
1.130000e+00	1.035033499875555e-02	5.041709415345515e-03	3.000000000000000e-08	3.000000000000000e-05
1.260000e+00	1.038976900638296e-02	5.046349467608583e-03	3.000000000000000e-08	3.000000000000000e-05
1.420000e+00	1.043806800060120e-02	5.052017284657702e-03	3.000000000000000e-08	3.000000000000000e-05
1.590000e+00	1.048910550157303e-02	5.057988032515255e-03	3.000000000000000e-08	3.000000000000000e-05
1.780000e+00	1.054581138556452e-02	5.064599618884900e-03	3.000000000000000e-08	3.000000000000000e-05
2.000000e+00	1.061103568791213e-02	5.072175288096203e-03	3.000000000000000e-08	3.000000000000000e-05
2.240000e+00	1.068166750184182e-02	5.080343788470682e-03	3.000000000000000e-08	3.000000000000000e-05
2.520000e+00	1.076339829739770e-02	5.089750028274146e-03	3.000000000000000e-08	3.000000000000000e-05
2.820000e+00	1.085018239646302e-02	5.099683915488471e-03	3.000000000000000e-08	3.000000000000000e-05
3.170000e+00	1.095043259171289e-02	5.111090057784462e-03	3.000000000000000e-08	3.000000000000000e-05
3.550000e+00	1.105809487571122e-02	5.123257067703934e-03	3.000000000000000e-08	3.000000000000000e-05
