#t[yr]	ecc	inc	eachmass	totalmass
0.000000e+00	3.000000000000000e-02	1.500000000000000e-02	3.000000000000000e-06	3.000000000000000e-06
1.100000e-01	2.996180504476564e-02	1.498540009625161e-02	3.000000000000000e-06	3.000000000000000e-06
1.200000e-01	2.995833385085761e-02	1.498407285214625e-02	3.000000000000000e-06	3.000000000000000e-06
1.300000e-01	2.995486283650669e-02	1.498274561145143e-02	3.000000000000000e-06	3.000000000000000e-06
1.500000e-01	2.994792134687515e-02	1.498009114038444e-02	3.000000000000000e-06	3.000000000000000e-06
1.600000e-01	2.994445087179401e-02	1.497876391005781e-02	3.000000000000000e-06	3.000000000000000e-06
1.800000e-01	2.993751046159974e-02	1.497610945993219e-02	3.000000000000000e-06	3.000000000000000e-06
2.000000e-01	2.993057077202781e-02	1.497345502399531e-02	3.000000000000000e-06	3.000000000000000e-06
2.300000e-01	2.992016259058257e-02	1.496947339709283e-02	3.000000000000000e-06	3.000000000000000e-06
2.600000e-01	2.990975603502679e-02	1.496549180314114e-02	3.000000000000000e-06	3.000000000000000e-06
2.900000e-01	2.989935110805424e-02	1.496151024275643e-02	3.000000000000000e-06	3.000000000000000e-06
3.200000e-01	2.988902079654961e-02	1.495755561748542e-02	3.000000000000000e-06	3.000000000000000e-06
3.600000e-01	2.987529822029928e-02	1.495230077427892e-02	3.000000000000000e-06	3.000000000000000e-06
4.000000e-01	2.986157852057797e-02	1.494704599742636e-02	3.000000000000000e-06	3.000000000000000e-06
4.500000e-01	2.984443295048766e-02	1.494047762183703e-02	3.000000000000000e-06	3.000000000000000e-06
5.100000e-01	2.982386422905005e-02	1.493259571483112e-02	3.000000000000000e-06	3.000000000000000e-06
5.700000e-01	2.980330203210404e-02	1.492471396913173e-02	3.000000000000000e-06	3.000000000000000e-06
6.400000e-01	2.977950164074365e-02	1.491558541635185e-02	3.000000000000000e-06	3.000000000000000e-06
7.100000e-01	2.975578232540728e-02	1.490648374730114e-02	3.000000000000000e-06	3.000000000000000e-06
8.000000e-01	2.972529909689936e-02	1.489478196922402e-02	3.000000000000000e-06	3.000000000000000e-06
9.000000e-01	2.969148186157819e-02	1.488179368941849e-02	3.000000000000000e-06	3.000000000000000e-06
1.000000e+00	2.965800447108159e-02	1.486892470224399e-02	3.000000000000000e-06	3.000000000000000e-06
1.130000e+00	2.961451100640435e-02	1.485219590062264e-02	3.000000000000000e-06	3.000000000000000e-06
1.260000e+00	2.957129597427368e-02	1.483555959749778e-02	3.000000000000000e-06	3.000000000000000e-06
1.420000e+00	2.951841166828950e-02	1.481518215264674e-02	3.000000000000000e-06	3.000000000000000e-06
1.590000e+00	2.946262339624686e-02	1.479366244555037e-02	3.000000000000000e-06	3.000000000000000e-06
1.780000e+00	2.940060809147004e-02	1.476971475434432e-02	3.000000000000000e-06	3.000000000000000e-06
2.000000e+00	2.932961087772940e-02	1.474225845069261e-02	3.000000000000000e-06	3.000000000000000e-06
2.240000e+00	2.925277819402273e-02	1.471250232918060e-02	3.000000000000000e-06	3.000000000000000e-06
2.520000e+00	2.916404658943770e-02	1.467807956006897e-02	3.000000000000000e-06	3.000000000000000e-06
2.820000e+00	2.907009017586670e-02	1.464155953429695e-02	3.000000000000000e-06	3.000000000000000e-06
3.170000e+00	2.896189821823645e-02	1.459941480791269e-02	3.000000000000000e-06	3.000000000000000e-06
3.550000e+00	2.884610520780921e-02	1.455419868980159e-02	3.000000000000000e-06	3.000000000000000e-06
3.990000e+00	2.871409153790284e-02	1.450250678667027e-02	3.000000000000000e-06	3.000000000000000e-06
4.470000e+00	2.857290089760591e-02	1.444704193668976e-02	3.000000000000000e-06	3.000000000000000e-06
5.020000e+00	2.841414338604737e-02	1.438445746969257e-02	3.000000000000000e-06	3.000000000000000e-06
5.630000e+00	2.824213001553477e-02	1.431636765681292e-02	3.000000000000000e-06	3.000000000000000e-06
6.310000e+00	2.805509468888904e-02	1.424199090894439e-02	3.000000000000000e-06	3.000000000000000e-06
7.080000e+00	2.784910654450529e-02	1.415964720853349e-02	3.000000000000000e-06	3.000000000000000e-06
7.950000e+00	2.762366021534028e-02	1.406897643546699e-02	3.000000000000000e-06	3.000000000000000e-06
8.920000e+00	2.738077412181618e-02	1.397061921207364e-02	3.000000000000000e-06	3.000000000000000e-06
1.000000e+01	2.712054645604166e-02	1.386440946408844e-02	3.000000000000000e-06	3.000000000000000e-06
1.123000e+01	2.683676654203046e-02	1.374752997595558e-02	3.000000000000000e-06	3.000000000000000e-06
1.259000e+01	2.653755018892225e-02	1.362300570623592e-02	3.000000000000000e-06	3.000000000000000e-06
1.413000e+01	2.621623677628285e-02	1.348767114017222e-02	3.000000000000000e-06	3.000000000000000e-06
1.585000e+01	2.587790687195592e-02	1.334317403901933e-02	3.000000000000000e-06	3.000000000000000e-06
1.779000e+01	2.552046893946346e-02	1.318803121580064e-02	3.000000000000000e-06	3.000000000000000e-06
1.996000e+01	2.514906359816525e-02	1.302373952051884e-02	3.000000000000000e-06	3.000000000000000e-06
2.239000e+01	2.476553388587571e-02	1.285030082065500e-02	3.000000000000000e-06	3.000000000000000e-06
2.512000e+01	2.437203687686783e-02	1.266765967712428e-02	3.000000000000000e-06	3.000000000000000e-06
2.819000e+01	2.397221751233055e-02	1.247625932081044e-02	3.000000000000000e-06	3.000000000000000e-06
3.163000e+01	2.357259249055286e-02	1.227773092230501e-02	3.000000000000000e-06	3.000000000000000e-06
3.549000e+01	2.317812906691372e-02	1.207283530090638e-02	3.000000000000000e-06	3.000000000000000e-06
3.982000e+01	2.279575606535245e-02	1.186307469192611e-02	3.000000000000000e-06	3.000000000000000e-06
4.467000e+01	2.243342277802520e-02	1.165037716656193e-02	3.000000000000000e-06	3.000000000000000e-06
5.012000e+01	2.209790504071017e-02	1.143582747266173e-02	3.000000000000000e-06	3.000000000000000e-06
5.624000e+01	2.179862702251061e-02	1.122178821454934e-02	3.000000000000000e-06	3.000000000000000e-06
6.310000e+01	2.154526778117005e-02	1.101091881139914e-02	3.000000000000000e-06	3.000000000000000e-06
7.080000e+01	2.134710248218583e-02	1.080550527623354e-02	3.000000000000000e-06	3.000000000000000e-06
7.944000e+01	2.121375214479932e-02	1.060833513501568e-02	3.000000000000000e-06	3.000000000000000e-06
8.913000e+01	2.115483587305344e-02	1.042252288679599e-02	3.000000000000000e-06	3.000000000000000e-06
1.000100e+02	2.117900506896543e-02	1.025094396328666e-02	3.000000000000000e-06	3.000000000000000e-06
1.122100e+02	2.129430821668062e-02	1.009720699729926e-02	3.000000000000000e-06	3.000000000000000e-06
1.259000e+02	2.150798244361848e-02	9.964921477995239e-03	3.000000000000000e-06	3.000000000000000e-06
1.412600e+02	2.182548425141681e-02	9.858038866850473e-03	3.000000000000000e-06	3.000000000000000e-06
1.584900e+02	2.225086754563933e-02	9.781033062322619e-03	3.000000000000000e-06	3.000000000000000e-06
1.778300e+02	2.278705775010229e-02	9.738957200600787e-03	3.000000000000000e-06	3.000000000000000e-06
1.995300e+02	2.343434258968372e-02	9.737504348163135e-03	3.000000000000000e-06	3.000000000000000e-06
2.238800e+02	2.419146972106221e-02	9.783152985478110e-03	3.000000000000000e-06	3.000000000000000e-06
2.511900e+02	2.505459871380531e-02	9.883003499405442e-03	3.000000000000000e-06	3.000000000000000e-06
2.818400e+02	2.601878064497233e-02	1.004471374044108e-02	3.000000000000000e-06	3.000000000000000e-06
3.162300e+02	2.707615245936283e-02	1.027576163594975e-02	3.000000000000000e-06	3.000000000000000e-06
3.548200e+02	2.821731493190829e-02	1.058277036490804e-02	3.000000000000000e-06	3.000000000000000e-06
3.981100e+02	2.943096065497528e-02	1.097028320605186e-02	3.000000000000000e-06	3.000000000000000e-06
4.466900e+02	3.070581476912633e-02	1.144017294846771e-02	3.000000000000000e-06	3.000000000000000e-06
5.011900e+02	3.202997646329306e-02	1.199059424146373e-02	3.000000000000000e-06	3.000000000000000e-06
5.623500e+02	3.339339562088021e-02	1.261668792367098e-02	3.000000000000000e-06	3.000000000000000e-06
6.309600e+02	3.478690836629847e-02	1.331068750659273e-02	3.000000000000000e-06	3.000000000000000e-06
7.079500e+02	3.620448321546613e-02	1.406395354433040e-02	3.000000000000000e-06	3.000000000000000e-06
7.943300e+02	3.764155588645722e-02	1.486737594675916e-02	3.000000000000000e-06	3.000000000000000e-06
