#t[yr]	ecc	inc	eachmass	totalmass
0.000000e+00	5.000000000000000e-02	2.500000000000000e-02	3.000000000000000e-06	3.000000000000000e-06
1.100000e-01	4.998264073851179e-02	2.499382558021727e-02	3.000000000000000e-06	3.000000000000000e-06
1.200000e-01	4.998106258765272e-02	2.499326423883505e-02	3.000000000000000e-06	3.000000000000000e-06
1.300000e-01	4.997948443077339e-02	2.499270289237250e-02	3.000000000000000e-06	3.000000000000000e-06
1.500000e-01	4.997632809896263e-02	2.499158018420806e-02	3.000000000000000e-06	3.000000000000000e-06
1.600000e-01	4.997476527125605e-02	2.499102426916238e-02	3.000000000000000e-06	3.000000000000000e-06
1.800000e-01	4.997163959841917e-02	2.498991242422271e-02	3.000000000000000e-06	3.000000000000000e-06
2.000000e-01	4.996851390236480e-02	2.498880055948800e-02	3.000000000000000e-06	3.000000000000000e-06
2.300000e-01	4.996382531478764e-02	2.498713272527741e-02	3.000000000000000e-06	3.000000000000000e-06
2.600000e-01	4.995913667506671e-02	2.498546484654640e-02	3.000000000000000e-06	3.000000000000000e-06
2.900000e-01	4.995444798325936e-02	2.498379692330600e-02	3.000000000000000e-06	3.000000000000000e-06
3.200000e-01	4.994978964231633e-02	2.498213974685741e-02	3.000000000000000e-06	3.000000000000000e-06
3.600000e-01	4.994359871119294e-02	2.497993730476708e-02	3.000000000000000e-06	3.000000000000000e-06
4.000000e-01	4.993740769097284e-02	2.497773478563376e-02	3.000000000000000e-06	3.000000000000000e-06
4.500000e-01	4.992966879060724e-02	2.497498152841432e-02	3.000000000000000e-06	3.000000000000000e-06
5.100000e-01	4.992047227067564e-02	2.497170953255476e-02	3.000000000000000e-06	3.000000000000000e-06
5.700000e-01	4.991127555832925e-02	2.496843736800811e-02	3.000000000000000e-06	3.000000000000000e-06
6.400000e-01	4.990060547325498e-02	2.496464080942349e-02	3.000000000000000e-06	3.000000000000000e-06
7.100000e-01	4.988997987625452e-02	2.496085991099089e-02	3.000000000000000e-06	3.000000000000000e-06
8.000000e-01	4.987639188578341e-02	2.495602465407563e-02	3.000000000000000e-06	3.000000000000000e-06
9.000000e-01	4.986135930102900e-02	2.495067503492693e-02	3.000000000000000e-06	3.000000000000000e-06
1.000000e+00	4.984647254360821e-02	2.494537693497141e-02	3.000000000000000e-06	3.000000000000000e-06
1.130000e+00	4.982723499348988e-02	2.493852993824030e-02	3.000000000000000e-06	3.000000000000000e-06
1.260000e+00	4.980814090610225e-02	2.493173345835356e-02	3.000000000000000e-06	3.000000000000000e-06
1.420000e+00	4.978485189411968e-02	2.492344306201251e-02	3.000000000000000e-06	3.000000000000000e-06
1.590000e+00	4.976035679671235e-02	2.491472244194041e-02	3.000000000000000e-06	3.000000000000000e-06
1.780000e+00	4.973327720599868e-02	2.490508065215407e-02	3.000000000000000e-06	3.000000000000000e-06
2.000000e+00	4.970228889837997e-02	2.489404580738335e-02	3.000000000000000e-06	3.000000000000000e-06
2.240000e+00	4.966898300881397e-02	2.488218404136277e-02	3.000000000000000e-06	3.000000000000000e-06
2.520000e+00	4.963067918722718e-02	2.486854024689543e-02	3.000000000000000e-06	3.000000000000000e-06
2.820000e+00	4.959034946128148e-02	2.485417243195244e-02	3.000000000000000e-06	3.000000000000000e-06
3.170000e+00	4.954413890178065e-02	2.483770654133569e-02	3.000000000000000e-06	3.000000000000000e-06
3.550000e+00	4.949496411008736e-02	2.482018093282965e-02	3.000000000000000e-06	3.000000000000000e-06
3.990000e+00	4.943930995098617e-02	2.480034175168443e-02	3.000000000000000e-06	3.000000000000000e-06
4.470000e+00	4.938002878366619e-02	2.477920459483245e-02	3.000000000000000e-06	3.000000000000000e-06
5.020000e+00	4.931391474141739e-02	2.475562495387916e-02	3.000000000000000e-06	3.000000000000000e-06
5.630000e+00	4.924269477706966e-02	2.473021703123378e-02	3.000000000000000e-06	3.000000000000000e-06
6.310000e+00	4.916580038586907e-02	2.470277628711732e-02	3.000000000000000e-06	3.000000000000000e-06
7.080000e+00	4.908162707156904e-02	2.467272795251937e-02	3.000000000000000e-06	3.000000000000000e-06
7.950000e+00	4.899006254382008e-02	2.464002916276019e-02	3.000000000000000e-06	3.000000000000000e-06
8.920000e+00	4.889202383428610e-02	2.460500460859474e-02	3.000000000000000e-06	3.000000000000000e-06
1.000000e+01	4.878750840545017e-02	2.456765054360668e-02	3.000000000000000e-06	3.000000000000000e-06
1.123000e+01	4.867392049533362e-02	2.452703556498429e-02	3.000000000000000e-06	3.000000000000000e-06
1.259000e+01	4.855444050617114e-02	2.448429307714605e-02	3.000000000000000e-06	3.000000000000000e-06
1.413000e+01	4.842620609080316e-02	2.443839506668186e-02	3.000000000000000e-06	3.000000000000000e-06
1.585000e+01	4.829088866384910e-02	2.438993512671900e-02	3.000000000000000e-06	3.000000000000000e-06
1.779000e+01	4.814720984840692e-02	2.433845052906475e-02	3.000000000000000e-06	3.000000000000000e-06
1.996000e+01	4.799644785468090e-02	2.428439402419829e-02	3.000000000000000e-06	3.000000000000000e-06
2.239000e+01	4.783860009551438e-02	2.422775945680796e-02	3.000000000000000e-06	3.000000000000000e-06
2.512000e+01	4.767338496876134e-02	2.416844006483517e-02	3.000000000000000e-06	3.000000000000000e-06
2.819000e+01	4.750084233113032e-02	2.410644391911916e-02	3.000000000000000e-06	3.000000000000000e-06
3.163000e+01	4.732197660053934e-02	2.404212559956410e-02	3.000000000000000e-06	3.000000000000000e-06
3.549000e+01	4.713682968687955e-02	2.397549385467947e-02	3.000000000000000e-06	3.000000000000000e-06
3.982000e+01	4.694593791406967e-02	2.390673512614034e-02	3.000000000000000e-06	3.000000000000000e-06
4.467000e+01	4.674992319034981e-02	2.383606692141301e-02	3.000000000000000e-06	3.000000000000000e-06
5.012000e+01	4.654866269493486e-02	2.376343816800844e-02	3.000000000000000e-06	3.000000000000000e-06
5.624000e+01	4.634281428675968e-02	2.368907921514607e-02	3.000000000000000e-06	3.000000000000000e-06
6.310000e+01	4.613321576676153e-02	2.361328591889883e-02	3.000000000000000e-06	3.000000000000000e-06
7.080000e+01	4.592017859362030e-02	2.353616422796092e-02	3.000000000000000e-06	3.000000000000000e-06
7.944000e+01	4.570427829901117e-02	2.345791581847859e-02	3.000000000000000e-06	3.000000000000000e-06
8.913000e+01	4.548617661408286e-02	2.337877409402663e-02	3.000000000000000e-06	3.000000000000000e-06
1.000100e+02	4.526620746698555e-02	2.329885394315066e-02	3.000000000000000e-06	3.000000000000000e-06
1.122100e+02	4.504528089898865e-02	2.321848010088383e-02	3.000000000000000e-06	3.000000000000000e-06
1.259000e+02	4.482376067646818e-02	2.313777948374285e-02	3.000000000000000e-06	3.000000000000000e-06
1.412600e+02	4.460228708611762e-02	2.305698029636706e-02	3.000000000000000e-06	3.000000000000000e-06
1.584900e+02	4.438151380386707e-02	2.297631665440956e-02	3.000000000000000e-06	3.000000000000000e-06
1.778300e+02	4.416189834883681e-02	2.289595202206956e-02	3.000000000000000e-06	3.000000000000000e-06
1.995300e+02	4.394411541453962e-02	2.281613039868695e-02	3.000000000000000e-06	3.000000000000000e-06
2.238800e+02	4.372871871836548e-02	2.273705286480295e-02	3.000000000000000e-06	3.000000000000000e-06
2.511900e+02	4.351646585023032e-02	2.265899694273644e-02	3.000000000000000e-06	3.000000000000000e-06
2.818400e+02	4.330772981224001e-02	2.258210044462681e-02	3.000000000000000e-06	3.000000000000000e-06
3.162300e+02	4.310315178492490e-02	2.250660150292610e-02	3.000000000000000e-06	3.000000000000000e-06
3.548200e+02	4.290327305552019e-02	2.243270339797590e-02	3.000000000000000e-06	3.000000000000000e-06
3.981100e+02	4.270867549093630e-02	2.236062644015775e-02	3.000000000000000e-06	3.000000000000000e-06
4.466900e+02	4.251977789186716e-02	2.229053258028192e-02	3.000000000000000e-06	3.000000000000000e-06
5.011900e+02	4.233708529267571e-02	2.222261768702453e-02	3.000000000000000e-06	3.000000000000000e-06
5.623500e+02	4.216100296535712e-02	2.215704253021438e-02	3.000000000000000e-06	3.000000000000000e-06
6.309600e+02	4.199191804579180e-02	2.209396289605335e-02	3.000000000000000e-06	3.000000000000000e-06
7.079500e+02	4.183013907491780e-02	2.203350682531774e-02	3.000000000000000e-06	3.000000000000000e-06
7.943300e+02	4.167593859020930e-02	2.197579017355244e-02	3.000000000000000e-06	3.000000000000000e-06
8.912600e+02	4.152949102330190e-02	2.192089300170417e-02	3.000000000000000e-06	3.000000000000000e-06
1.000010e+03	4.139095825096183e-02	2.186889119451658e-02	3.000000000000000e-06	3.000000000000000e-06
