#t[yr]	ecc	inc	eachmass	totalmass
0.000000e+00	5.000000000000000e-02	2.500000000000000e-02	3.000000000000000e-08	3.000000000000000e-05
1.100000e-01	5.000255093896833e-02	2.500105297184295e-02	3.000000000000000e-08	3.000000000000000e-05
1.200000e-01	5.000278282209625e-02	2.500114868992747e-02	3.000000000000000e-08	3.000000000000000e-05
1.300000e-01	5.000301470182091e-02	2.500124440690698e-02	3.000000000000000e-08	3.000000000000000e-05
1.500000e-01	5.000347845105959e-02	2.500143583755072e-02	3.000000000000000e-08	3.000000000000000e-05
1.600000e-01	5.000371032057324e-02	2.500153155121482e-02	3.000000000000000e-08	3.000000000000000e-05
1.800000e-01	5.000417404938817e-02	2.500172297522717e-02	3.000000000000000e-08	3.000000000000000e-05
2.000000e-01	5.000463776458533e-02	2.500191439481799e-02	3.000000000000000e-08	3.000000000000000e-05
2.300000e-01	5.000533331184436e-02	2.500220151591277e-02	3.000000000000000e-08	3.000000000000000e-05
2.600000e-01	5.000602882845469e-02	2.500248862705630e-02	3.000000000000000e-08	3.000000000000000e-05
2.900000e-01	5.000672431441107e-02	2.500277572824692e-02	3.000000000000000e-08	3.000000000000000e-05
3.200000e-01	5.000741976970829e-02	2.500306281948297e-02	3.000000000000000e-08	3.000000000000000e-05
3.600000e-01	5.000834699573683e-02	2.500344559230991e-02	3.000000000000000e-08	3.000000000000000e-05
4.000000e-01	5.000927416723847e-02	2.500382834743290e-02	3.000000000000000e-08	3.000000000000000e-05
4.500000e-01	5.001043305491820e-02	2.500430676643443e-02	3.000000000000000e-08	3.000000000000000e-05
5.100000e-01	5.001182360761249e-02	2.500488083270281e-02	3.000000000000000e-08	3.000000000000000e-05
5.700000e-01	5.001321403751665e-02	2.500545485910390e-02	3.000000000000000e-08	3.000000000000000e-05
6.400000e-01	5.001483605048925e-02	2.500612450616619e-02	3.000000000000000e-08	3.000000000000000e-05
7.100000e-01	5.001645789620743e-02	2.500679409892527e-02	3.000000000000000e-08	3.000000000000000e-05
8.000000e-01	5.001854288054797e-02	2.500765492407464e-02	3.000000000000000e-08	3.000000000000000e-05
9.000000e-01	5.002085920524583e-02	2.500861129108512e-02	3.000000000000000e-08	3.000000000000000e-05
1.000000e+00	5.002317518810440e-02	2.500956754711191e-02	3.000000000000000e-08	3.000000000000000e-05
1.130000e+00	5.002618545445227e-02	2.501081051392438e-02	3.000000000000000e-08	3.000000000000000e-05
1.260000e+00	5.002919514233874e-02	2.501205329293395e-02	3.000000000000000e-08	3.000000000000000e-05
1.420000e+00	5.003289857885365e-02	2.501358260908634e-02	3.000000000000000e-08	3.000000000000000e-05
1.590000e+00	5.003683251844798e-02	2.501520719528078e-02	3.000000000000000e-08	3.000000000000000e-05
1.780000e+00	5.004122810075962e-02	2.501702252822437e-02	3.000000000000000e-08	3.000000000000000e-05
2.000000e+00	5.004631617291360e-02	2.501912398966524e-02	3.000000000000000e-08	3.000000000000000e-05
2.240000e+00	5.005186489829663e-02	2.502141587664512e-02	3.000000000000000e-08	3.000000000000000e-05
2.520000e+00	5.005833590357169e-02	2.502408893072994e-02	3.000000000000000e-08	3.000000000000000e-05
2.820000e+00	5.006526612209960e-02	2.502695194293265e-02	3.000000000000000e-08	3.000000000000000e-05
3.170000e+00	5.007334744596588e-02	2.503029084776116e-02	3.000000000000000e-08	3.000000000000000e-05
3.550000e+00	5.008211665218913e-02	2.503391438551328e-02	3.000000000000000e-08	3.000000000000000e-05
3.990000e+00	5.009226420988166e-02	2.503810802884142e-02	3.000000000000000e-08	3.000000000000000e-05
4.470000e+00	5.010332659235491e-02	2.504268041952935e-02	3.000000000000000e-08	3.000000000000000e-05
