#t[yr]	ecc	inc	eachmass	totalmass
0.000000e+00	1.000000000000000e-04	5.000000000000000e-05	3.000000000000000e-08	3.000000000000000e-07
1.742563e-05	1.004987562112089e-04	5.000000618920552e-05	3.000000000000000e-08	3.000000000000000e-07
3.485125e-05	1.009950493862774e-04	5.000001235006437e-05	3.000000000000000e-08	3.000000000000000e-07
5.245113e-05	1.014938421226197e-04	5.000001854071541e-05	3.000000000000000e-08	3.000000000000000e-07
7.022527e-05	1.019950978682499e-04	5.000002476383219e-05	3.000000000000000e-08	3.000000000000000e-07
8.817541e-05	1.024988292475289e-04	5.000003101920909e-05	3.000000000000000e-08	3.000000000000000e-07
1.063033e-04	1.030050484217754e-04	5.000003730663006e-05	3.000000000000000e-08	3.000000000000000e-07
1.246107e-04	1.035137676174200e-04	5.000004362587519e-05	3.000000000000000e-08	3.000000000000000e-07
1.430993e-04	1.040249994368399e-04	5.000005017881330e-05	3.000000000000000e-08	3.000000000000000e-07
1.617711e-04	1.045387559977449e-04	5.000005676293782e-05	3.000000000000000e-08	3.000000000000000e-07
1.806277e-04	1.050550498271288e-04	5.000006338154063e-05	3.000000000000000e-08	3.000000000000000e-07
1.996710e-04	1.055738936859663e-04	5.000007003084139e-05	3.000000000000000e-08	3.000000000000000e-07
2.189029e-04	1.060952999006235e-04	5.000007671412963e-05	3.000000000000000e-08	3.000000000000000e-07
2.383252e-04	1.066192811556084e-04	5.000008343115723e-05	3.000000000000000e-08	3.000000000000000e-07
2.579399e-04	1.071458504086117e-04	5.000009037893853e-05	3.000000000000000e-08	3.000000000000000e-07
2.777488e-04	1.076750201504773e-04	5.000009735968720e-05	3.000000000000000e-08	3.000000000000000e-07
2.977538e-04	1.082068033640504e-04	5.000010437312852e-05	3.000000000000000e-08	3.000000000000000e-07
3.179569e-04	1.087412129876940e-04	5.000011142255318e-05	3.000000000000000e-08	3.000000000000000e-07
3.383601e-04	1.092782618982962e-04	5.000011850410943e-05	3.000000000000000e-08	3.000000000000000e-07
3.589653e-04	1.098179631679376e-04	5.000012562108667e-05	3.000000000000000e-08	3.000000000000000e-07
3.797745e-04	1.103603299099558e-04	5.000013296875304e-05	3.000000000000000e-08	3.000000000000000e-07
4.007898e-04	1.109053753046838e-04	5.000014035093690e-05	3.000000000000000e-08	3.000000000000000e-07
4.220131e-04	1.114531124955801e-04	5.000014776732996e-05	3.000000000000000e-08	3.000000000000000e-07
4.434467e-04	1.120035548996971e-04	5.000015521762020e-05	3.000000000000000e-08	3.000000000000000e-07
4.650924e-04	1.125567157833131e-04	5.000016270148897e-05	3.000000000000000e-08	3.000000000000000e-07
4.869525e-04	1.131126086982742e-04	5.000017041603212e-05	3.000000000000000e-08	3.000000000000000e-07
5.090291e-04	1.136712469168508e-04	5.000017816312546e-05	3.000000000000000e-08	3.000000000000000e-07
