#t[yr]	ecc	inc	eachmass	totalmass
0.000000e+00	1.000000000000000e-02	5.000000000000000e-03	3.000000000000000e-06	3.000000000000000e-06
1.000000e-01	9.979590147840339e-03	4.981468890371227e-03	3.000000000000000e-06	3.000000000000000e-06
1.130000e-01	9.977098081077738e-03	4.979145737732385e-03	3.000000000000000e-06	3.000000000000000e-06
1.260000e-01	9.974648365011758e-03	4.976845097846295e-03	3.000000000000000e-06	3.000000000000000e-06
1.420000e-01	9.971682722551984e-03	4.974039752268014e-03	3.000000000000000e-06	3.000000000000000e-06
1.590000e-01	9.968588308267020e-03	4.971089066162135e-03	3.000000000000000e-06	3.000000000000000e-06
1.780000e-01	9.965197192835498e-03	4.967826904993322e-03	3.000000000000000e-06	3.000000000000000e-06
2.000000e-01	9.961368013487118e-03	4.964101183099817e-03	3.000000000000000e-06	3.000000000000000e-06
2.240000e-01	9.957298461571137e-03	4.960093668216428e-03	3.000000000000000e-06	3.000000000000000e-06
2.520000e-01	9.952688689117133e-03	4.955491044939969e-03	3.000000000000000e-06	3.000000000000000e-06
2.820000e-01	9.947908993669910e-03	4.950643590828975e-03	3.000000000000000e-06	3.000000000000000e-06
3.170000e-01	9.942547897599376e-03	4.945101387752037e-03	3.000000000000000e-06	3.000000000000000e-06
3.550000e-01	9.936963243794155e-03	4.939207974578939e-03	3.000000000000000e-06	3.000000000000000e-06
3.990000e-01	9.930806181619220e-03	4.932546067773044e-03	3.000000000000000e-06	3.000000000000000e-06
4.470000e-01	9.924444115163749e-03	4.925463954304652e-03	3.000000000000000e-06	3.000000000000000e-06
5.020000e-01	9.917591429141425e-03	4.917577044583755e-03	3.000000000000000e-06	3.000000000000000e-06
5.630000e-01	9.910505557337752e-03	4.909097421415558e-03	3.000000000000000e-06	3.000000000000000e-06
6.310000e-01	9.903209460881352e-03	4.899957737668365e-03	3.000000000000000e-06	3.000000000000000e-06
7.080000e-01	9.895679998542475e-03	4.889987606861331e-03	3.000000000000000e-06	3.000000000000000e-06
7.950000e-01	9.888040057695804e-03	4.879170733467916e-03	3.000000000000000e-06	3.000000000000000e-06
8.920000e-01	9.880536001927643e-03	4.867633057586500e-03	3.000000000000000e-06	3.000000000000000e-06
1.001000e+00	9.873271066304026e-03	4.855268211087854e-03	3.000000000000000e-06	3.000000000000000e-06
1.123000e+00	9.866498633104102e-03	4.842125561150317e-03	3.000000000000000e-06	3.000000000000000e-06
1.259000e+00	9.860495428926188e-03	4.828265990934918e-03	3.000000000000000e-06	3.000000000000000e-06
1.413000e+00	9.855473913785068e-03	4.813479253684710e-03	3.000000000000000e-06	3.000000000000000e-06
1.585000e+00	9.851870757224773e-03	4.797986832154213e-03	3.000000000000000e-06	3.000000000000000e-06
1.779000e+00	9.850067204532473e-03	4.781664546960505e-03	3.000000000000000e-06	3.000000000000000e-06
1.996000e+00	9.850586185517162e-03	4.764698608732516e-03	3.000000000000000e-06	3.000000000000000e-06
2.239000e+00	9.853947546763294e-03	4.747116515428393e-03	3.000000000000000e-06	3.000000000000000e-06
2.512000e+00	9.860787919123324e-03	4.728927431390200e-03	3.000000000000000e-06	3.000000000000000e-06
2.819000e+00	9.871828081308676e-03	4.710186848418228e-03	3.000000000000000e-06	3.000000000000000e-06
3.163000e+00	9.887818518830556e-03	4.691049293820000e-03	3.000000000000000e-06	3.000000000000000e-06
3.549000e+00	9.909623663601970e-03	4.671576289105904e-03	3.000000000000000e-06	3.000000000000000e-06
3.982000e+00	9.938187934641863e-03	4.651879508008020e-03	3.000000000000000e-06	3.000000000000000e-06
4.467000e+00	9.974478434681466e-03	4.632095998906715e-03	3.000000000000000e-06	3.000000000000000e-06
5.012000e+00	1.001974930176231e-02	4.612289467155047e-03	3.000000000000000e-06	3.000000000000000e-06
5.624000e+00	1.007519906180234e-02	4.592600124775068e-03	3.000000000000000e-06	3.000000000000000e-06
6.310000e+00	1.014203778206906e-02	4.573203363856524e-03	3.000000000000000e-06	3.000000000000000e-06
7.080000e+00	1.022176353523417e-02	4.554225354772716e-03	3.000000000000000e-06	3.000000000000000e-06
7.944000e+00	1.031585037751362e-02	4.535830917095356e-03	3.000000000000000e-06	3.000000000000000e-06
8.913000e+00	1.042584372067792e-02	4.518203489312062e-03	3.000000000000000e-06	3.000000000000000e-06
1.000000e+01	1.055343136142562e-02	4.501521592915088e-03	3.000000000000000e-06	3.000000000000000e-06
1.122100e+01	1.070059116716764e-02	4.485976677738136e-03	3.000000000000000e-06	3.000000000000000e-06
1.259000e+01	1.086890110723530e-02	4.471816905327029e-03	3.000000000000000e-06	3.000000000000000e-06
1.412600e+01	1.106040743480898e-02	4.459285767429380e-03	3.000000000000000e-06	3.000000000000000e-06
1.584900e+01	1.127705148415649e-02	4.448659239335176e-03	3.000000000000000e-06	3.000000000000000e-06
1.778300e+01	1.152105782098837e-02	4.440254158219971e-03	3.000000000000000e-06	3.000000000000000e-06
1.995300e+01	1.179446754810480e-02	4.434439323960457e-03	3.000000000000000e-06	3.000000000000000e-06
2.238800e+01	1.209946978852657e-02	4.431633700008720e-03	3.000000000000000e-06	3.000000000000000e-06
2.511900e+01	1.243812386523717e-02	4.432335704338462e-03	3.000000000000000e-06	3.000000000000000e-06
2.818400e+01	1.281288316732629e-02	4.437128706543124e-03	3.000000000000000e-06	3.000000000000000e-06
3.162300e+01	1.322591266145093e-02	4.446708755182121e-03	3.000000000000000e-06	3.000000000000000e-06
3.548200e+01	1.367950143674202e-02	4.461912405629305e-03	3.000000000000000e-06	3.000000000000000e-06
3.981100e+01	1.417574387585619e-02	4.483744176858337e-03	3.000000000000000e-06	3.000000000000000e-06
4.466900e+01	1.471700877150842e-02	4.513434130151619e-03	3.000000000000000e-06	3.000000000000000e-06
5.011900e+01	1.530526267720452e-02	4.552458048125532e-03	3.000000000000000e-06	3.000000000000000e-06
5.623500e+01	1.594271625530752e-02	4.602627175907816e-03	3.000000000000000e-06	3.000000000000000e-06
6.309600e+01	1.663105319425491e-02	4.666097957073188e-03	3.000000000000000e-06	3.000000000000000e-06
7.079500e+01	1.737219566700948e-02	4.745492645077128e-03	3.000000000000000e-06	3.000000000000000e-06
7.943300e+01	1.816751521013371e-02	4.843890177613463e-03	3.000000000000000e-06	3.000000000000000e-06
8.912600e+01	1.901832158457249e-02	4.964932595171788e-03	3.000000000000000e-06	3.000000000000000e-06
1.000010e+02	1.992522047509385e-02	5.112781689630143e-03	3.000000000000000e-06	3.000000000000000e-06
1.122020e+02	2.088839218920938e-02	5.292191730294870e-03	3.000000000000000e-06	3.000000000000000e-06
1.258930e+02	2.190744223475492e-02	5.508528603680577e-03	3.000000000000000e-06	3.000000000000000e-06
1.412540e+02	2.298070583094166e-02	5.767640198821103e-03	3.000000000000000e-06	3.000000000000000e-06
1.584900e+02	2.410548756673643e-02	6.075837058896891e-03	3.000000000000000e-06	3.000000000000000e-06
1.778280e+02	2.527744454609083e-02	6.439513396923453e-03	3.000000000000000e-06	3.000000000000000e-06
1.995270e+02	2.649090859089018e-02	6.864717082198435e-03	3.000000000000000e-06	3.000000000000000e-06
2.238730e+02	2.773846275164011e-02	7.356107161225952e-03	3.000000000000000e-06	3.000000000000000e-06
2.511890e+02	2.901172164248815e-02	7.915979862310837e-03	3.000000000000000e-06	3.000000000000000e-06
2.818390e+02	3.030199052457677e-02	8.543309091079580e-03	3.000000000000000e-06	3.000000000000000e-06
3.162280e+02	3.160097863610780e-02	9.233308826281168e-03	3.000000000000000e-06	3.000000000000000e-06
3.548140e+02	3.290195098794801e-02	9.978149120804835e-03	3.000000000000000e-06	3.000000000000000e-06
3.981080e+02	3.420007256143486e-02	1.076818146570195e-02	3.000000000000000e-06	3.000000000000000e-06
4.466840e+02	3.549271348713217e-02	1.159357684117585e-02	3.000000000000000e-06	3.000000000000000e-06
5.011880e+02	3.677929594710346e-02	1.244559105817875e-02	3.000000000000000e-06	3.000000000000000e-06
5.623420e+02	3.806079693613299e-02	1.331715872230917e-02	3.000000000000000e-06	3.000000000000000e-06
6.309580e+02	3.933942139176871e-02	1.420311462433809e-02	3.000000000000000e-06	3.000000000000000e-06
7.079460e+02	4.061814277538438e-02	1.509997800216830e-02	3.000000000000000e-06	3.000000000000000e-06
7.943290e+02	4.190043767855630e-02	1.600567694716894e-02	3.000000000000000e-06	3.000000000000000e-06
8.912510e+02	4.318997337342614e-02	1.691916290498915e-02	3.000000000000000e-06	3.000000000000000e-06
1.000000e+03	4.449056698679139e-02	1.784020706324074e-02	3.000000000000000e-06	3.000000000000000e-06
