#t[yr]	ecc	inc	eachmass	totalmass
0.000000e+00	1.000000000000000e-02	5.000000000000000e-03	3.000000000000000e-08	3.000000000000000e-05
1.000000e-01	1.003157169118218e-02	5.003794535176406e-03	2.826135705762620e-08	2.826135705762620e-05
1.130000e-01	1.003566783880705e-02	5.004286548164754e-03	2.798154164121406e-08	2.798154164121406e-05
1.260000e-01	1.003976216154136e-02	5.004778286743143e-03	2.798154164121406e-08	2.798154164121406e-05
1.420000e-01	1.004479876695836e-02	5.005383114647732e-03	2.770449667446937e-08	2.770449667446937e-05
1.590000e-01	1.005014705126380e-02	5.006025273855097e-03	2.743019472719739e-08	2.743019472719739e-05
1.780000e-01	1.005612075688274e-02	5.006742411915406e-03	2.715860864078950e-08	2.715860864078950e-05
2.000000e-01	1.006303276488229e-02	5.007572058040618e-03	2.662347675795461e-08	2.662347675795461e-05
2.240000e-01	1.007056706740671e-02	5.008476233524689e-03	2.635987797817288e-08	2.635987797817288e-05
2.520000e-01	1.007934907008843e-02	5.009529934468421e-03	2.584048424485137e-08	2.584048424485137e-05
2.820000e-01	1.008874884219262e-02	5.010657531334920e-03	2.558463786618947e-08	2.558463786618947e-05
3.170000e-01	1.009970285008055e-02	5.011971303425679e-03	2.508051942573225e-08	2.508051942573225e-05
3.550000e-01	1.011158065391853e-02	5.013395564214866e-03	2.458633411011887e-08	2.458633411011886e-05
3.990000e-01	1.012531434902720e-02	5.015042013871036e-03	2.386325366093876e-08	2.386325366093876e-05
4.470000e-01	1.014027268252368e-02	5.016834900142345e-03	2.339305328981351e-08	2.339305328981350e-05
5.020000e-01	1.015738191601248e-02	5.018885179025372e-03	2.270506705303936e-08	2.270506705303936e-05
5.630000e-01	1.017631968718328e-02	5.021154169893459e-03	2.203731438971656e-08	2.203731438971656e-05
6.310000e-01	1.019738388753420e-02	5.023677557666652e-03	2.138920023344301e-08	2.138920023344300e-05
7.080000e-01	1.022117685819663e-02	5.026527535434880e-03	2.055460100854599e-08	2.055460100854599e-05
