#t[yr]	ecc	inc	eachmass	totalmass
0.000000e+00	3.000000000000000e-02	1.500000000000000e-02	3.000000000000000e-06	3.000000000000000e-06
1.000000e-01	2.996956485421569e-02	1.498830625726521e-02	3.000000000000000e-06	3.000000000000000e-06
1.130000e-01	2.996616235290489e-02	1.498698966284416e-02	3.000000000000000e-06	3.000000000000000e-06
1.260000e-01	2.996286158041060e-02	1.498571043214419e-02	3.000000000000000e-06	3.000000000000000e-06
1.420000e-01	2.995893840550808e-02	1.498418716264618e-02	3.000000000000000e-06	3.000000000000000e-06
1.590000e-01	2.995492107699635e-02	1.498262415494454e-02	3.000000000000000e-06	3.000000000000000e-06
1.780000e-01	2.995060821772320e-02	1.498094229271697e-02	3.000000000000000e-06	3.000000000000000e-06
2.000000e-01	2.994582872916278e-02	1.497907356984568e-02	3.000000000000000e-06	3.000000000000000e-06
2.240000e-01	2.994085521181343e-02	1.497712323780597e-02	3.000000000000000e-06	3.000000000000000e-06
2.520000e-01	2.993534712338508e-02	1.497495589195252e-02	3.000000000000000e-06	3.000000000000000e-06
2.820000e-01	2.992976722164320e-02	1.497275177273004e-02	3.000000000000000e-06	3.000000000000000e-06
3.170000e-01	2.992363171976110e-02	1.497031767757630e-02	3.000000000000000e-06	3.000000000000000e-06
3.550000e-01	2.991738588392001e-02	1.496782741683337e-02	3.000000000000000e-06	3.000000000000000e-06
3.990000e-01	2.991063470100340e-02	1.496512034882043e-02	3.000000000000000e-06	3.000000000000000e-06
4.470000e-01	2.990379710643392e-02	1.496236060765452e-02	3.000000000000000e-06	3.000000000000000e-06
5.020000e-01	2.989655485036034e-02	1.495941569152754e-02	3.000000000000000e-06	3.000000000000000e-06
5.630000e-01	2.988917679107226e-02	1.495638942354582e-02	3.000000000000000e-06	3.000000000000000e-06
6.310000e-01	2.988165696715177e-02	1.495327431986597e-02	3.000000000000000e-06	3.000000000000000e-06
7.080000e-01	2.987391724440272e-02	1.495003116064568e-02	3.000000000000000e-06	3.000000000000000e-06
7.950000e-01	2.986602575554988e-02	1.494667960805565e-02	3.000000000000000e-06	3.000000000000000e-06
8.920000e-01	2.985813653879924e-02	1.494327607463313e-02	3.000000000000000e-06	3.000000000000000e-06
1.001000e+00	2.985025222470149e-02	1.493981092562734e-02	3.000000000000000e-06	3.000000000000000e-06
1.123000e+00	2.984246086775099e-02	1.493631109350189e-02	3.000000000000000e-06	3.000000000000000e-06
1.259000e+00	2.983486362790083e-02	1.493280832267439e-02	3.000000000000000e-06	3.000000000000000e-06
1.413000e+00	2.982742094791038e-02	1.492926693105587e-02	3.000000000000000e-06	3.000000000000000e-06
1.585000e+00	2.982032169109671e-02	1.492575608686623e-02	3.000000000000000e-06	3.000000000000000e-06
1.779000e+00	2.981359070782551e-02	1.492226372622324e-02	3.000000000000000e-06	3.000000000000000e-06
1.996000e+00	2.980738789029812e-02	1.491884315637144e-02	3.000000000000000e-06	3.000000000000000e-06
2.239000e+00	2.980181036851316e-02	1.491551414922005e-02	3.000000000000000e-06	3.000000000000000e-06
2.512000e+00	2.979696164818956e-02	1.491229358406988e-02	3.000000000000000e-06	3.000000000000000e-06
2.819000e+00	2.979297459861820e-02	1.490920918628346e-02	3.000000000000000e-06	3.000000000000000e-06
3.163000e+00	2.979000953263997e-02	1.490630414776064e-02	3.000000000000000e-06	3.000000000000000e-06
3.549000e+00	2.978822595801905e-02	1.490361096656788e-02	3.000000000000000e-06	3.000000000000000e-06
3.982000e+00	2.978779654207988e-02	1.490116718697057e-02	3.000000000000000e-06	3.000000000000000e-06
4.467000e+00	2.978891462989367e-02	1.489901824173719e-02	3.000000000000000e-06	3.000000000000000e-06
5.012000e+00	2.979180164046126e-02	1.489720444200664e-02	3.000000000000000e-06	3.000000000000000e-06
5.624000e+00	2.979669878139733e-02	1.489577919004226e-02	3.000000000000000e-06	3.000000000000000e-06
6.310000e+00	2.980386215129024e-02	1.489480205283624e-02	3.000000000000000e-06	3.000000000000000e-06
7.080000e+00	2.981359391086794e-02	1.489433464984785e-02	3.000000000000000e-06	3.000000000000000e-06
7.944000e+00	2.982621943458161e-02	1.489444835090971e-02	3.000000000000000e-06	3.000000000000000e-06
