#t[yr]	ecc	inc	eachmass	totalmass
0.000000e+00	3.000000000000000e-02	1.500000000000000e-02	3.000000000000000e-08	3.000000000000000e-05
1.000000e-01	3.000715391157042e-02	1.500236206147836e-02	2.339305328981351e-08	2.339305328981350e-05
1.130000e-01	3.000808454560356e-02	1.500266941987581e-02	2.270506705303936e-08	2.270506705303936e-05
1.260000e-01	3.000901528137907e-02	1.500297682775911e-02	2.203731438971656e-08	2.203731438971656e-05
1.420000e-01	3.001016094188683e-02	1.500335524413735e-02	2.138920023344301e-08	2.138920023344300e-05
1.590000e-01	3.001137834637366e-02	1.500375738213122e-02	2.076014701863145e-08	2.076014701863145e-05
1.780000e-01	3.001273913479923e-02	1.500420691231252e-02	1.995009323347836e-08	1.995009323347836e-05
2.000000e-01	3.001431496441559e-02	1.500472751624365e-02	1.917164746797234e-08	1.917164746797233e-05
2.240000e-01	3.001603423628455e-02	1.500529555022955e-02	1.824116474066849e-08	1.824116474066848e-05
2.520000e-01	3.001804026144090e-02	1.500595837737382e-02	1.752940077625541e-08	1.752940077625540e-05
2.820000e-01	3.002018977490387e-02	1.500666867468091e-02	1.667862336291413e-08	1.667862336291412e-05
3.170000e-01	3.002269772976796e-02	1.500749748923459e-02	1.571201766963275e-08	1.571201766963274e-05
3.550000e-01	3.002542081901859e-02	1.500839748388982e-02	1.494944569572651e-08	1.494944569572650e-05
3.990000e-01	3.002857399328969e-02	1.500943972661886e-02	1.408305408735067e-08	1.408305408735066e-05
4.470000e-01	3.003201387662926e-02	1.501057685791552e-02	1.313551881268908e-08	1.313551881268908e-05
5.020000e-01	3.003595535260288e-02	1.501187994861660e-02	1.237425291008575e-08	1.237425291008574e-05
5.630000e-01	3.004032660615416e-02	1.501332530440306e-02	1.154168910274929e-08	1.154168910274928e-05
6.310000e-01	3.004519906780406e-02	1.501493659492780e-02	1.065855624549590e-08	1.065855624549589e-05
7.080000e-01	3.005071570764668e-02	1.501676116952562e-02	9.941427847285517e-09	9.941427847285515e-06
7.950000e-01	3.005694768750931e-02	1.501882265761785e-02	9.180741824486624e-09	9.180741824486623e-06
8.920000e-01	3.006389436994684e-02	1.502112095675505e-02	8.394317866193119e-09	8.394317866193119e-06
