#t[yr]	ecc	inc	eachmass	totalmass
0.000000e+00	5.000000000000000e-02	2.500000000000000e-02	3.000000000000000e-08	3.000000000000000e-05
1.000000e-01	5.000238470215120e-02	2.500101748001371e-02	1.917164746797234e-08	1.917164746797233e-05
1.130000e-01	5.000269214530201e-02	2.500114710649582e-02	1.824116474066849e-08	1.824116474066848e-05
1.260000e-01	5.000299925175868e-02	2.500127637682573e-02	1.752940077625541e-08	1.752940077625540e-05
1.420000e-01	5.000337683055749e-02	2.500143505463779e-02	1.651348847813280e-08	1.651348847813279e-05
1.590000e-01	5.000377758243828e-02	2.500160319341803e-02	1.571201766963275e-08	1.571201766963274e-05
1.780000e-01	5.000422505282863e-02	2.500179065015050e-02	1.480143138190743e-08	1.480143138190743e-05
2.000000e-01	5.000474269240949e-02	2.500200717826584e-02	1.394361790826799e-08	1.394361790826798e-05
2.240000e-01	5.000530690432696e-02	2.500224285750018e-02	1.313551881268908e-08	1.313551881268908e-05
2.520000e-01	5.000596462373657e-02	2.500251723217045e-02	1.225173555454034e-08	1.225173555454034e-05
2.820000e-01	5.000666880703796e-02	2.500281062849397e-02	1.142741495321711e-08	1.142741495321711e-05
3.170000e-01	5.000748980816704e-02	2.500315230852208e-02	1.065855624549590e-08	1.065855624549589e-05
3.550000e-01	5.000838065249450e-02	2.500352267496933e-02	9.842997868599521e-09	9.842997868599520e-06
3.990000e-01	5.000941160426128e-02	2.500395088734981e-02	9.089843390580815e-09	9.089843390580815e-06
4.470000e-01	5.001053574767540e-02	2.500441741546724e-02	8.394317866193119e-09	8.394317866193119e-06
5.020000e-01	5.001182329809668e-02	2.500495136541599e-02	7.752011713612869e-09	7.752011713612866e-06
5.630000e-01	5.001325078578747e-02	2.500554295971392e-02	7.087973027730538e-09	7.087973027730534e-06
6.310000e-01	5.001484157724505e-02	2.500620186024627e-02	6.480816012392384e-09	6.480816012392379e-06
7.080000e-01	5.001664240771068e-02	2.500694739466366e-02	5.925668173702065e-09	5.925668173702062e-06
7.950000e-01	5.001867659817571e-02	2.500778918523509e-02	5.418074396446792e-09	5.418074396446789e-06
8.920000e-01	5.002094408619408e-02	2.500872718587382e-02	4.904912070659340e-09	4.904912070659336e-06
1.001000e+00	5.002349155552907e-02	2.500978069711769e-02	4.440352911484048e-09	4.440352911484044e-06
1.123000e+00	5.002634228896183e-02	2.501095933737591e-02	4.019793564999516e-09	4.019793564999512e-06
1.259000e+00	5.002951955055316e-02	2.501227272425372e-02	3.639066674952862e-09	3.639066674952859e-06
1.413000e+00	5.003311664675457e-02	2.501375942810468e-02	3.294399588092797e-09	3.294399588092794e-06
1.585000e+00	5.003713339575320e-02	2.501541938060670e-02	2.982376970646347e-09	2.982376970646343e-06
1.779000e+00	5.004166298050421e-02	2.501729110511298e-02	2.673175213369223e-09	2.673175213369221e-06
1.996000e+00	5.004672845456417e-02	2.501938415204239e-02	2.396030344823554e-09	2.396030344823553e-06
2.239000e+00	5.005239948301556e-02	2.502172734108470e-02	2.169095014217294e-09	2.169095014217292e-06
2.512000e+00	5.005876894143518e-02	2.502435909412861e-02	1.944211306792582e-09	1.944211306792580e-06
2.819000e+00	5.006592953846101e-02	2.502731777853708e-02	1.742642706144476e-09	1.742642706144476e-06
3.163000e+00	5.007395047169356e-02	2.503063206632372e-02	1.561971988676705e-09	1.561971988676704e-06
