#t[yr]	ecc	inc	eachmass	totalmass
0.000000e+00	5.000000000000000e-02	2.500000000000000e-02	3.000000000000000e-06	3.000000000000000e-06
1.000000e-01	4.998740931240023e-02	2.499551976904612e-02	3.000000000000000e-06	3.000000000000000e-06
1.130000e-01	4.998612120008679e-02	2.499506121044015e-02	3.000000000000000e-06	3.000000000000000e-06
1.260000e-01	4.998488938028684e-02	2.499462266267784e-02	3.000000000000000e-06	3.000000000000000e-06
1.420000e-01	4.998344341266034e-02	2.499410784052447e-02	3.000000000000000e-06	3.000000000000000e-06
1.590000e-01	4.998198616284159e-02	2.499358896469219e-02	3.000000000000000e-06	3.000000000000000e-06
1.780000e-01	4.998044191424075e-02	2.499303907426671e-02	3.000000000000000e-06	3.000000000000000e-06
2.000000e-01	4.997875522975204e-02	2.499243842155597e-02	3.000000000000000e-06	3.000000000000000e-06
2.240000e-01	4.997702380511861e-02	2.499182179329331e-02	3.000000000000000e-06	3.000000000000000e-06
2.520000e-01	4.997513020924614e-02	2.499114736243049e-02	3.000000000000000e-06	3.000000000000000e-06
2.820000e-01	4.997323415268826e-02	2.499047200866764e-02	3.000000000000000e-06	3.000000000000000e-06
3.170000e-01	4.997117375043984e-02	2.498973806714221e-02	3.000000000000000e-06	3.000000000000000e-06
3.550000e-01	4.996909513025917e-02	2.498899758745456e-02	3.000000000000000e-06	3.000000000000000e-06
3.990000e-01	4.996686784124234e-02	2.498820409511062e-02	3.000000000000000e-06	3.000000000000000e-06
4.470000e-01	4.996462529793107e-02	2.498740511820803e-02	3.000000000000000e-06	3.000000000000000e-06
5.020000e-01	4.996225803341489e-02	2.498656165492740e-02	3.000000000000000e-06	3.000000000000000e-06
5.630000e-01	4.995984808247054e-02	2.498570293228231e-02	3.000000000000000e-06	3.000000000000000e-06
6.310000e-01	4.995738580795632e-02	2.498482551697201e-02	3.000000000000000e-06	3.000000000000000e-06
7.080000e-01	4.995483655254600e-02	2.498391705838935e-02	3.000000000000000e-06	3.000000000000000e-06
7.950000e-01	4.995221088540074e-02	2.498298132166455e-02	3.000000000000000e-06	3.000000000000000e-06
8.920000e-01	4.994954817851130e-02	2.498203233825450e-02	3.000000000000000e-06	3.000000000000000e-06
1.001000e+00	4.994683028465926e-02	2.498106364128786e-02	3.000000000000000e-06	3.000000000000000e-06
1.123000e+00	4.994407250647589e-02	2.498008068521836e-02	3.000000000000000e-06	3.000000000000000e-06
1.259000e+00	4.994128875821002e-02	2.497908843054137e-02	3.000000000000000e-06	3.000000000000000e-06
1.413000e+00	4.993843925681223e-02	2.497807269703956e-02	3.000000000000000e-06	3.000000000000000e-06
1.585000e+00	4.993556643510794e-02	2.497704861052384e-02	3.000000000000000e-06	3.000000000000000e-06
1.779000e+00	4.993264589391141e-02	2.497600747362154e-02	3.000000000000000e-06	3.000000000000000e-06
1.996000e+00	4.992970439368512e-02	2.497495882632490e-02	3.000000000000000e-06	3.000000000000000e-06
2.239000e+00	4.992674197582183e-02	2.497390268374567e-02	3.000000000000000e-06	3.000000000000000e-06
2.512000e+00	4.992375093698079e-02	2.497283629958227e-02	3.000000000000000e-06	3.000000000000000e-06
2.819000e+00	4.992073125793066e-02	2.497175966653962e-02	3.000000000000000e-06	3.000000000000000e-06
3.163000e+00	4.991769607673376e-02	2.497067746833924e-02	3.000000000000000e-06	3.000000000000000e-06
3.549000e+00	4.991464347662258e-02	2.496958902090230e-02	3.000000000000000e-06	3.000000000000000e-06
3.982000e+00	4.991157612235241e-02	2.496849527341760e-02	3.000000000000000e-06	3.000000000000000e-06
4.467000e+00	4.990849998259365e-02	2.496739835299818e-02	3.000000000000000e-06	3.000000000000000e-06
5.012000e+00	4.990540685718695e-02	2.496629533392779e-02	3.000000000000000e-06	3.000000000000000e-06
5.624000e+00	4.990230066197879e-02	2.496518761048221e-02	3.000000000000000e-06	3.000000000000000e-06
6.310000e+00	4.989918898949360e-02	2.496407788792943e-02	3.000000000000000e-06	3.000000000000000e-06
7.080000e+00	4.989606846748228e-02	2.496296496089304e-02	3.000000000000000e-06	3.000000000000000e-06
7.944000e+00	4.989294118483988e-02	2.496184957110194e-02	3.000000000000000e-06	3.000000000000000e-06
8.913000e+00	4.988981029079961e-02	2.496073283806556e-02	3.000000000000000e-06	3.000000000000000e-06
1.000000e+01	4.988667606557304e-02	2.495961485752874e-02	3.000000000000000e-06	3.000000000000000e-06
1.122100e+01	4.988353508819955e-02	2.495849440429540e-02	3.000000000000000e-06	3.000000000000000e-06
1.259000e+01	4.988039535488777e-02	2.495737432526355e-02	3.000000000000000e-06	3.000000000000000e-06
