#t[yr]	ecc	inc	eachmass	totalmass
0.000000e+00	1.000000000000000e-02	5.000000000000000e-03	3.000000000000000e-08	3.000000000000000e-05
1.100000e-01	1.004474591332799e-02	5.008046169400024e-03	3.000000000000000e-08	3.000000000000000e-05
1.200000e-01	1.004879891550125e-02	5.008777052552640e-03	3.000000000000000e-08	3.000000000000000e-05
1.300000e-01	1.005284946645553e-02	5.009507837147528e-03	3.000000000000000e-08	3.000000000000000e-05
1.500000e-01	1.006094323007565e-02	5.010969109975632e-03	3.000000000000000e-08	3.000000000000000e-05
1.600000e-01	1.006498645040239e-02	5.011699597866594e-03	3.000000000000000e-08	3.000000000000000e-05
1.800000e-01	1.007306558717176e-02	5.013160275752635e-03	3.000000000000000e-08	3.000000000000000e-05
2.000000e-01	1.008113501076449e-02	5.014620555320423e-03	3.000000000000000e-08	3.000000000000000e-05
2.300000e-01	1.009322100013153e-02	5.016810224902943e-03	3.000000000000000e-08	3.000000000000000e-05
2.600000e-01	1.010528530449172e-02	5.018998990801157e-03	3.000000000000000e-08	3.000000000000000e-05
2.900000e-01	1.011732802467063e-02	5.021186848615790e-03	3.000000000000000e-08	3.000000000000000e-05
3.200000e-01	1.012934926076793e-02	5.023373794009391e-03	3.000000000000000e-08	3.000000000000000e-05
3.600000e-01	1.014534432754859e-02	5.026288294496972e-03	3.000000000000000e-08	3.000000000000000e-05
4.000000e-01	1.016130161060547e-02	5.029201155338624e-03	3.000000000000000e-08	3.000000000000000e-05
4.500000e-01	1.018119543335337e-02	5.032839910757509e-03	3.000000000000000e-08	3.000000000000000e-05
5.100000e-01	1.020499119789508e-02	5.037202989051344e-03	3.000000000000000e-08	3.000000000000000e-05
5.700000e-01	1.022870387560792e-02	5.041562297815853e-03	3.000000000000000e-08	3.000000000000000e-05
6.400000e-01	1.025626465627056e-02	5.046643353084651e-03	3.000000000000000e-08	3.000000000000000e-05
7.100000e-01	1.028371454542550e-02	5.051719189119419e-03	3.000000000000000e-08	3.000000000000000e-05
8.000000e-01	1.031884617706078e-02	5.058237522158103e-03	3.000000000000000e-08	3.000000000000000e-05
9.000000e-01	1.035767150448955e-02	5.065469795355018e-03	3.000000000000000e-08	3.000000000000000e-05
1.000000e+00	1.039627909948852e-02	5.072691089682673e-03	3.000000000000000e-08	3.000000000000000e-05
