#t[yr]	ecc	inc	eachmass	totalmass
0.000000e+00	1.000000000000000e-02	5.000000000000000e-03	3.000000000000000e-06	3.000000000000000e-06
1.100000e-01	9.976522508410066e-03	4.979061376446684e-03	3.000000000000000e-06	3.000000000000000e-06
1.200000e-01	9.974396894873984e-03	4.977162044837725e-03	3.000000000000000e-06	3.000000000000000e-06
1.300000e-01	9.972272728783800e-03	4.975263409060598e-03	3.000000000000000e-06	3.000000000000000e-06
1.500000e-01	9.968028735988245e-03	4.971468224288448e-03	3.000000000000000e-06	3.000000000000000e-06
1.600000e-01	9.965908907806749e-03	4.969571674936604e-03	3.000000000000000e-06	3.000000000000000e-06
1.800000e-01	9.961673584186948e-03	4.965780661408962e-03	3.000000000000000e-06	3.000000000000000e-06
2.000000e-01	9.957444032640378e-03	4.961992426925589e-03	3.000000000000000e-06	3.000000000000000e-06
2.300000e-01	9.951110515053360e-03	4.956315282781896e-03	3.000000000000000e-06	3.000000000000000e-06
2.600000e-01	9.944789951455865e-03	4.950644383445028e-03	3.000000000000000e-06	3.000000000000000e-06
2.900000e-01	9.938482321956363e-03	4.944979724084330e-03	3.000000000000000e-06	3.000000000000000e-06
3.200000e-01	9.932187606673875e-03	4.939321299865399e-03	3.000000000000000e-06	3.000000000000000e-06
3.600000e-01	9.923814707403644e-03	4.931786424986911e-03	3.000000000000000e-06	3.000000000000000e-06
4.000000e-01	9.915464684347255e-03	4.924262614725331e-03	3.000000000000000e-06	3.000000000000000e-06
4.500000e-01	9.905059253549292e-03	4.914873394011561e-03	3.000000000000000e-06	3.000000000000000e-06
5.100000e-01	9.892619692538594e-03	4.903629094598183e-03	3.000000000000000e-06	3.000000000000000e-06
5.700000e-01	9.880231206555620e-03	4.892409593503272e-03	3.000000000000000e-06	3.000000000000000e-06
6.400000e-01	9.865842314929337e-03	4.879351465952214e-03	3.000000000000000e-06	3.000000000000000e-06
7.100000e-01	9.851522475662528e-03	4.866326976801183e-03	3.000000000000000e-06	3.000000000000000e-06
8.000000e-01	9.833212315075984e-03	4.849630533132048e-03	3.000000000000000e-06	3.000000000000000e-06
9.000000e-01	9.813000436372841e-03	4.831143865704505e-03	3.000000000000000e-06	3.000000000000000e-06
1.000000e+00	9.792927584478462e-03	4.812725377372135e-03	3.000000000000000e-06	3.000000000000000e-06
1.130000e+00	9.767039527263087e-03	4.788882971565230e-03	3.000000000000000e-06	3.000000000000000e-06
1.260000e+00	9.741383604858411e-03	4.765155081672426e-03	3.000000000000000e-06	3.000000000000000e-06
1.420000e+00	9.710494333023628e-03	4.736306056698057e-03	3.000000000000000e-06	3.000000000000000e-06
1.590000e+00	9.678225485408795e-03	4.705934970735931e-03	3.000000000000000e-06	3.000000000000000e-06
1.780000e+00	9.642607915876109e-03	4.672215140167849e-03	3.000000000000000e-06	3.000000000000000e-06
2.000000e+00	9.601950730187318e-03	4.633465387471584e-03	3.000000000000000e-06	3.000000000000000e-06
2.240000e+00	9.558304206903161e-03	4.591550950711798e-03	3.000000000000000e-06	3.000000000000000e-06
2.520000e+00	9.508303035880548e-03	4.543119730158123e-03	3.000000000000000e-06	3.000000000000000e-06
2.820000e+00	9.456646204253903e-03	4.492224450013675e-03	3.000000000000000e-06	3.000000000000000e-06
3.170000e+00	9.397889927632132e-03	4.433632957148805e-03	3.000000000000000e-06	3.000000000000000e-06
3.550000e+00	9.335722749940075e-03	4.370872651600048e-03	3.000000000000000e-06	3.000000000000000e-06
3.990000e+00	9.266486046102477e-03	4.299652196099671e-03	3.000000000000000e-06	3.000000000000000e-06
4.470000e+00	9.194118421889341e-03	4.223647792253095e-03	3.000000000000000e-06	3.000000000000000e-06
5.020000e+00	9.114412013474606e-03	4.138310968665235e-03	3.000000000000000e-06	3.000000000000000e-06
5.630000e+00	9.031183106801784e-03	4.046473720650121e-03	3.000000000000000e-06	3.000000000000000e-06
6.310000e+00	8.943244662923405e-03	3.946812911168782e-03	3.000000000000000e-06	3.000000000000000e-06
7.080000e+00	8.850280438760613e-03	3.837696069114986e-03	3.000000000000000e-06	3.000000000000000e-06
7.950000e+00	8.753348909882013e-03	3.719055769462591e-03	3.000000000000000e-06	3.000000000000000e-06
8.920000e+00	8.654405765360307e-03	3.592166596789557e-03	3.000000000000000e-06	3.000000000000000e-06
1.000000e+01	8.554976658254927e-03	3.457366154718229e-03	3.000000000000000e-06	3.000000000000000e-06
1.123000e+01	8.454459502600355e-03	3.311745016235603e-03	3.000000000000000e-06	3.000000000000000e-06
1.259000e+01	8.357659816295717e-03	3.159952919596952e-03	3.000000000000000e-06	3.000000000000000e-06
