#t[yr]	ecc	inc	eachmass	totalmass
0.000000e+00	1.000000000000000e-02	5.000000000000000e-03	3.000000000000000e-06	3.000000000000000e-06
1.100000e-01	9.956891503451453e-03	4.978260796071128e-03	3.000000000000000e-06	3.000000000000000e-06
1.200000e-01	9.952983327744618e-03	4.976288964165251e-03	3.000000000000000e-06	3.000000000000000e-06
1.300000e-01	9.949076946001207e-03	4.974317874804223e-03	3.000000000000000e-06	3.000000000000000e-06
1.500000e-01	9.941269562133580e-03	4.970377923084196e-03	3.000000000000000e-06	3.000000000000000e-06
1.600000e-01	9.937368558873384e-03	4.968409060408431e-03	3.000000000000000e-06	3.000000000000000e-06
1.800000e-01	9.929571926858954e-03	4.964473560631965e-03	3.000000000000000e-06	3.000000000000000e-06
2.000000e-01	9.921782457062087e-03	4.960541027228650e-03	3.000000000000000e-06	3.000000000000000e-06
2.300000e-01	9.910111671568928e-03	4.954647786283123e-03	3.000000000000000e-06	3.000000000000000e-06
2.600000e-01	9.898456975454531e-03	4.948761212490414e-03	3.000000000000000e-06	3.000000000000000e-06
2.900000e-01	9.886818353334756e-03	4.942881301517541e-03	3.000000000000000e-06	3.000000000000000e-06
3.200000e-01	9.875195789812238e-03	4.937008049015677e-03	3.000000000000000e-06	3.000000000000000e-06
3.600000e-01	9.859723991852108e-03	4.929187395755585e-03	3.000000000000000e-06	3.000000000000000e-06
4.000000e-01	9.844280678548612e-03	4.921378561627940e-03	3.000000000000000e-06	3.000000000000000e-06
4.500000e-01	9.825016537702964e-03	4.911634123718857e-03	3.000000000000000e-06	3.000000000000000e-06
5.100000e-01	9.801958142018046e-03	4.899965124800510e-03	3.000000000000000e-06	3.000000000000000e-06
5.700000e-01	9.778963527539920e-03	4.888322630307060e-03	3.000000000000000e-06	3.000000000000000e-06
6.400000e-01	9.752216924207619e-03	4.874773170862159e-03	3.000000000000000e-06	3.000000000000000e-06
7.100000e-01	9.725556768141843e-03	4.861259680734822e-03	3.000000000000000e-06	3.000000000000000e-06
8.000000e-01	9.691406131269091e-03	4.843937953320089e-03	3.000000000000000e-06	3.000000000000000e-06
9.000000e-01	9.653627686599189e-03	4.824761063444265e-03	3.000000000000000e-06	3.000000000000000e-06
1.000000e+00	9.616024164844448e-03	4.805657138421389e-03	3.000000000000000e-06	3.000000000000000e-06
1.130000e+00	9.567400144409592e-03	4.780930833930289e-03	3.000000000000000e-06	3.000000000000000e-06
1.260000e+00	9.519069491714098e-03	4.756327164252360e-03	3.000000000000000e-06	3.000000000000000e-06
1.420000e+00	9.460345616275460e-03	4.726411076710061e-03	3.000000000000000e-06	3.000000000000000e-06
1.590000e+00	9.398599334688201e-03	4.694919454183584e-03	3.000000000000000e-06	3.000000000000000e-06
1.780000e+00	9.330162108177725e-03	4.659963561817351e-03	3.000000000000000e-06	3.000000000000000e-06
2.000000e+00	9.251670101090423e-03	4.619804081773884e-03	3.000000000000000e-06	3.000000000000000e-06
2.240000e+00	9.166954963367285e-03	4.576378059944848e-03	3.000000000000000e-06	3.000000000000000e-06
2.520000e+00	9.069313880810437e-03	4.526217943967437e-03	3.000000000000000e-06	3.000000000000000e-06
2.820000e+00	8.966889693991908e-03	4.473509852818865e-03	3.000000000000000e-06	3.000000000000000e-06
3.170000e+00	8.849328933097799e-03	4.412856168031161e-03	3.000000000000000e-06	3.000000000000000e-06
3.550000e+00	8.723850616741059e-03	4.347921082724799e-03	3.000000000000000e-06	3.000000000000000e-06
3.990000e+00	8.581940488632183e-03	4.274263109895555e-03	3.000000000000000e-06	3.000000000000000e-06
4.470000e+00	8.431085758075470e-03	4.195696331540408e-03	3.000000000000000e-06	3.000000000000000e-06
5.020000e+00	8.262540498042086e-03	4.107546978457576e-03	3.000000000000000e-06	3.000000000000000e-06
5.630000e+00	8.081987222598631e-03	4.012735331346666e-03	3.000000000000000e-06	3.000000000000000e-06
6.310000e+00	7.887228813022635e-03	3.909936930557781e-03	3.000000000000000e-06	3.000000000000000e-06
7.080000e+00	7.675333105776845e-03	3.797480933835825e-03	3.000000000000000e-06	3.000000000000000e-06
7.950000e+00	7.446566659823978e-03	3.675325693355239e-03	3.000000000000000e-06	3.000000000000000e-06
8.920000e+00	7.203869954369053e-03	3.544809338817239e-03	3.000000000000000e-06	3.000000000000000e-06
1.000000e+01	6.948349871598518e-03	3.406309682948502e-03	3.000000000000000e-06	3.000000000000000e-06
1.123000e+01	6.675136549637506e-03	3.256889963171244e-03	3.000000000000000e-06	3.000000000000000e-06
1.259000e+01	6.393614423779582e-03	3.101349046494137e-03	3.000000000000000e-06	3.000000000000000e-06
1.413000e+01	6.099519845146765e-03	2.937044001779258e-03	3.000000000000000e-06	3.000000000000000e-06
1.585000e+01	5.798870383892678e-03	2.766849480868696e-03	3.000000000000000e-06	3.000000000000000e-06
1.779000e+01	5.492167461121030e-03	2.590658534257014e-03	3.000000000000000e-06	3.000000000000000e-06
1.996000e+01	5.185651157988129e-03	2.411617243599931e-03	3.000000000000000e-06	3.000000000000000e-06
2.239000e+01	4.882842548526758e-03	2.231342669779909e-03	3.000000000000000e-06	3.000000000000000e-06
2.512000e+01	4.587256111664119e-03	2.051606782457340e-03	3.000000000000000e-06	3.000000000000000e-06
2.819000e+01	4.303056255973376e-03	1.874625898552956e-03	3.000000000000000e-06	3.000000000000000e-06
3.163000e+01	4.035596381797393e-03	1.703764404124823e-03	3.000000000000000e-06	3.000000000000000e-06
3.549000e+01	3.788001442780844e-03	1.541203631343884e-03	3.000000000000000e-06	3.000000000000000e-06
3.982000e+01	3.563097347203085e-03	1.389505466103770e-03	3.000000000000000e-06	3.000000000000000e-06
4.467000e+01	3.362672426805755e-03	1.250935966058825e-03	3.000000000000000e-06	3.000000000000000e-06
5.012000e+01	3.186282175553991e-03	1.126741893542288e-03	3.000000000000000e-06	3.000000000000000e-06
5.624000e+01	3.033086520367408e-03	1.018118445310491e-03	3.000000000000000e-06	3.000000000000000e-06
6.310000e+01	2.901108758746365e-03	9.256009410380940e-04	3.000000000000000e-06	3.000000000000000e-06
7.080000e+01	2.787242605713470e-03	8.486060213170085e-04	3.000000000000000e-06	3.000000000000000e-06
7.944000e+01	2.688256127675369e-03	7.860571726360570e-04	3.000000000000000e-06	3.000000000000000e-06
8.913000e+01	2.600872494500149e-03	7.363260192349864e-04	3.000000000000000e-06	3.000000000000000e-06
1.000100e+02	2.522091222021999e-03	6.974282508963184e-04	3.000000000000000e-06	3.000000000000000e-06
1.122100e+02	2.449485257603818e-03	6.674223734729248e-04	3.000000000000000e-06	3.000000000000000e-06
1.259000e+02	2.381007721813337e-03	6.444220154385351e-04	3.000000000000000e-06	3.000000000000000e-06
1.412600e+02	2.315156926174411e-03	6.267998349408642e-04	3.000000000000000e-06	3.000000000000000e-06
1.584900e+02	2.250979149242001e-03	6.132134293418930e-04	3.000000000000000e-06	3.000000000000000e-06
1.778300e+02	2.187891035875842e-03	6.025553868746127e-04	3.000000000000000e-06	3.000000000000000e-06
