#t[yr]	ecc	inc	eachmass	totalmass
0.000000e+00	1.000000000000000e-02	5.000000000000000e-03	3.000000000000000e-08	3.000000000000000e-05
1.100000e-01	1.003471556400063e-02	5.004171619069830e-03	3.000000000000000e-08	3.000000000000000e-05
1.200000e-01	1.003786390694424e-02	5.004549536294168e-03	3.000000000000000e-08	3.000000000000000e-05
1.300000e-01	1.004101098632783e-02	5.004927234181718e-03	3.000000000000000e-08	3.000000000000000e-05
1.500000e-01	1.004730135992798e-02	5.005681972691215e-03	3.000000000000000e-08	3.000000000000000e-05
1.600000e-01	1.005044465689537e-02	5.006059013685256e-03	3.000000000000000e-08	3.000000000000000e-05
1.800000e-01	1.005672747802467e-02	5.006812440081287e-03	3.000000000000000e-08	3.000000000000000e-05
2.000000e-01	1.006300527786670e-02	5.007564993592391e-03	3.000000000000000e-08	3.000000000000000e-05
2.300000e-01	1.007241258657687e-02	5.008692190445016e-03	3.000000000000000e-08	3.000000000000000e-05
2.600000e-01	1.008180865861182e-02	5.009817431644433e-03	3.000000000000000e-08	3.000000000000000e-05
2.900000e-01	1.009119353046693e-02	5.010940722181142e-03	3.000000000000000e-08	3.000000000000000e-05
3.200000e-01	1.010056723845734e-02	5.012062067036269e-03	3.000000000000000e-08	3.000000000000000e-05
3.600000e-01	1.011304821219783e-02	5.013554175485769e-03	3.000000000000000e-08	3.000000000000000e-05
4.000000e-01	1.012550948845353e-02	5.015042845542295e-03	3.000000000000000e-08	3.000000000000000e-05
4.500000e-01	1.014105851302640e-02	5.016898865738764e-03	3.000000000000000e-08	3.000000000000000e-05
5.100000e-01	1.015967712176996e-02	5.019119054636073e-03	3.000000000000000e-08	3.000000000000000e-05
5.700000e-01	1.017825211854651e-02	5.021331605762847e-03	3.000000000000000e-08	3.000000000000000e-05
6.400000e-01	1.019986819843017e-02	5.023903314385527e-03	3.000000000000000e-08	3.000000000000000e-05
7.100000e-01	1.022142573326201e-02	5.026464742446756e-03	3.000000000000000e-08	3.000000000000000e-05
8.000000e-01	1.024905723341247e-02	5.029743000204655e-03	3.000000000000000e-08	3.000000000000000e-05
9.000000e-01	1.027964733462523e-02	5.033365855291426e-03	3.000000000000000e-08	3.000000000000000e-05
1.000000e+00	1.031012118232046e-02	5.036968194291896e-03	3.000000000000000e-08	3.000000000000000e-05
1.130000e+00	1.034956536617661e-02	5.041620853769076e-03	3.000000000000000e-08	3.000000000000000e-05
1.260000e+00	1.038881771965366e-02	5.046239524561498e-03	3.000000000000000e-08	3.000000000000000e-05
1.420000e+00	1.043686873181661e-02	5.051877947558714e-03	3.000000000000000e-08	3.000000000000000e-05
1.590000e+00	1.048761396218238e-02	5.057813780479175e-03	3.000000000000000e-08	3.000000000000000e-05
1.780000e+00	1.054395905568847e-02	5.064381906362447e-03	3.000000000000000e-08	3.000000000000000e-05
2.000000e+00	1.060872196562246e-02	5.071901480585609e-03	3.000000000000000e-08	3.000000000000000e-05
2.240000e+00	1.067879886538171e-02	5.080001832824203e-03	3.000000000000000e-08	3.000000000000000e-05
2.520000e+00	1.075981688552813e-02	5.089319565324984e-03	3.000000000000000e-08	3.000000000000000e-05
2.820000e+00	1.084576253075418e-02	5.099148093481073e-03	3.000000000000000e-08	3.000000000000000e-05
3.170000e+00	1.094494153433021e-02	5.110417888932867e-03	3.000000000000000e-08	3.000000000000000e-05
3.550000e+00	1.105133352149285e-02	5.122420952377409e-03	3.000000000000000e-08	3.000000000000000e-05
3.990000e+00	1.117290800146034e-02	5.136027019227433e-03	3.000000000000000e-08	3.000000000000000e-05
4.470000e+00	1.130363240433195e-02	5.150526137900695e-03	3.000000000000000e-08	3.000000000000000e-05
5.020000e+00	1.145108382250712e-02	5.166717910614025e-03	3.000000000000000e-08	3.000000000000000e-05
5.630000e+00	1.161183624818658e-02	5.184175063243515e-03	3.000000000000000e-08	3.000000000000000e-05
6.310000e+00	1.178775704701112e-02	5.203048803571399e-03	3.000000000000000e-08	3.000000000000000e-05
7.080000e+00	1.198301591707320e-02	5.223720334493753e-03	3.000000000000000e-08	3.000000000000000e-05
7.950000e+00	1.219889005247161e-02	5.246244849499627e-03	3.000000000000000e-08	3.000000000000000e-05
8.920000e+00	1.243402560737781e-02	5.270401302536445e-03	3.000000000000000e-08	3.000000000000000e-05
1.000000e+01	1.268941483021827e-02	5.296217048103069e-03	3.000000000000000e-08	3.000000000000000e-05
1.123000e+01	1.297265727481218e-02	5.324374075309228e-03	3.000000000000000e-08	3.000000000000000e-05
1.259000e+01	1.327713893152347e-02	5.354143455929011e-03	3.000000000000000e-08	3.000000000000000e-05
1.413000e+01	1.361182299539420e-02	5.386353251961432e-03	3.000000000000000e-08	3.000000000000000e-05
1.585000e+01	1.397407826824376e-02	5.420730171368619e-03	3.000000000000000e-08	3.000000000000000e-05
1.779000e+01	1.436942161829766e-02	5.457835716835910e-03	3.000000000000000e-08	3.000000000000000e-05
1.996000e+01	1.479663520816945e-02	5.497673078143107e-03	3.000000000000000e-08	3.000000000000000e-05
2.239000e+01	1.525816344419956e-02	5.540700608657049e-03	3.000000000000000e-08	3.000000000000000e-05
2.512000e+01	1.575766182755111e-02	5.587634034802101e-03	3.000000000000000e-08	3.000000000000000e-05
2.819000e+01	1.629796208690497e-02	5.639305021875140e-03	3.000000000000000e-08	3.000000000000000e-05
3.163000e+01	1.687945824725494e-02	5.696545432934619e-03	3.000000000000000e-08	3.000000000000000e-05
3.549000e+01	1.750525751384497e-02	5.760723528811848e-03	3.000000000000000e-08	3.000000000000000e-05
3.982000e+01	1.817749454407524e-02	5.833435478936349e-03	3.000000000000000e-08	3.000000000000000e-05
4.467000e+01	1.889737554898064e-02	5.916525019329148e-03	3.000000000000000e-08	3.000000000000000e-05
5.012000e+01	1.966937191089102e-02	6.012618254590552e-03	3.000000000000000e-08	3.000000000000000e-05
5.624000e+01	2.049499220408026e-02	6.124461691140050e-03	3.000000000000000e-08	3.000000000000000e-05
6.310000e+01	2.137442465938841e-02	6.255074022344328e-03	3.000000000000000e-08	3.000000000000000e-05
7.080000e+01	2.231014366543007e-02	6.408328902489218e-03	3.000000000000000e-08	3.000000000000000e-05
7.944000e+01	2.330262980201914e-02	6.588426367552963e-03	3.000000000000000e-08	3.000000000000000e-05
