#t[yr]	ecc	inc	eachmass	totalmass
0.000000e+00	3.000000000000000e-02	1.500000000000000e-02	3.000000000000000e-06	3.000000000000000e-06
1.100000e-01	2.996180504476564e-02	1.498540009625161e-02	3.000000000000000e-06	3.000000000000000e-06
1.200000e-01	2.995833385085761e-02	1.498407285214625e-02	3.000000000000000e-06	3.000000000000000e-06
1.300000e-01	2.995486283650669e-02	1.498274561145143e-02	3.000000000000000e-06	3.000000000000000e-06
1.500000e-01	2.994792134687515e-02	1.498009114038444e-02	3.000000000000000e-06	3.000000000000000e-06
1.600000e-01	2.994445087179401e-02	1.497876391005781e-02	3.000000000000000e-06	3.000000000000000e-06
1.800000e-01	2.993751046159974e-02	1.497610945993219e-02	3.000000000000000e-06	3.000000000000000e-06
2.000000e-01	2.993057077202781e-02	1.497345502399531e-02	3.000000000000000e-06	3.000000000000000e-06
2.300000e-01	2.992016259058257e-02	1.496947339709283e-02	3.000000000000000e-06	3.000000000000000e-06
2.600000e-01	2.990975603502679e-02	1.496549180314114e-02	3.000000000000000e-06	3.000000000000000e-06
2.900000e-01	2.989935110805424e-02	1.496151024275643e-02	3.000000000000000e-06	3.000000000000000e-06
3.200000e-01	2.988894781235885e-02	1.495752871655525e-02	3.000000000000000e-06	3.000000000000000e-06
3.600000e-01	2.987507929363045e-02	1.495222006919443e-02	3.000000000000000e-06	3.000000000000000e-06
4.000000e-01	2.986121368612645e-02	1.494691148516466e-02	3.000000000000000e-06	3.000000000000000e-06
4.500000e-01	2.984388578038613e-02	1.494027584641818e-02	3.000000000000000e-06	3.000000000000000e-06
5.100000e-01	2.982309832863765e-02	1.493231321759558e-02	3.000000000000000e-06	3.000000000000000e-06
5.700000e-01	2.980231748104111e-02	1.492435074364058e-02	3.000000000000000e-06	3.000000000000000e-06
6.400000e-01	2.977808153452692e-02	1.491506139304572e-02	3.000000000000000e-06	3.000000000000000e-06
7.100000e-01	2.975385464059236e-02	1.490577226788047e-02	3.000000000000000e-06	3.000000000000000e-06
8.000000e-01	2.972271913383043e-02	1.489382945090889e-02	3.000000000000000e-06	3.000000000000000e-06
9.000000e-01	2.968814183218473e-02	1.488056012709566e-02	3.000000000000000e-06	3.000000000000000e-06
1.000000e+00	2.965358326484192e-02	1.486729132332913e-02	3.000000000000000e-06	3.000000000000000e-06
1.130000e+00	2.960868529934677e-02	1.485004269398772e-02	3.000000000000000e-06	3.000000000000000e-06
1.260000e+00	2.956381938311559e-02	1.483279503365430e-02	3.000000000000000e-06	3.000000000000000e-06
1.420000e+00	2.950864411504025e-02	1.481156854984233e-02	3.000000000000000e-06	3.000000000000000e-06
1.590000e+00	2.945007440900105e-02	1.478901721090800e-02	3.000000000000000e-06	3.000000000000000e-06
1.780000e+00	2.938468060108796e-02	1.476381510688906e-02	3.000000000000000e-06	3.000000000000000e-06
2.000000e+00	2.930904995719260e-02	1.473463700558477e-02	3.000000000000000e-06	3.000000000000000e-06
2.240000e+00	2.922665331706817e-02	1.470281064918859e-02	3.000000000000000e-06	3.000000000000000e-06
2.520000e+00	2.913067013274599e-02	1.466568599613940e-02	3.000000000000000e-06	3.000000000000000e-06
2.820000e+00	2.902800813338549e-02	1.462591743373393e-02	3.000000000000000e-06	3.000000000000000e-06
3.170000e+00	2.890847090867798e-02	1.457953188783855e-02	3.000000000000000e-06	3.000000000000000e-06
3.550000e+00	2.877897906260389e-02	1.452918513256756e-02	3.000000000000000e-06	3.000000000000000e-06
3.990000e+00	2.862942718934040e-02	1.447090970853166e-02	3.000000000000000e-06	3.000000000000000e-06
4.470000e+00	2.846676172004698e-02	1.440736433750559e-02	3.000000000000000e-06	3.000000000000000e-06
5.020000e+00	2.828100634773942e-02	1.433459103809753e-02	3.000000000000000e-06	3.000000000000000e-06
5.630000e+00	2.807579549953871e-02	1.425393248255795e-02	3.000000000000000e-06	3.000000000000000e-06
6.310000e+00	2.784806499511936e-02	1.416409128016018e-02	3.000000000000000e-06	3.000000000000000e-06
7.080000e+00	2.759154119917917e-02	1.406246227529715e-02	3.000000000000000e-06	3.000000000000000e-06
7.950000e+00	2.730347845236259e-02	1.394778037775580e-02	3.000000000000000e-06	3.000000000000000e-06
8.920000e+00	2.698460153496002e-02	1.382011898846435e-02	3.000000000000000e-06	3.000000000000000e-06
1.000000e+01	2.663251510024910e-02	1.367825975975289e-02	3.000000000000000e-06	3.000000000000000e-06
1.123000e+01	2.623546226030436e-02	1.351709739804272e-02	3.000000000000000e-06	3.000000000000000e-06
1.259000e+01	2.580152128276814e-02	1.333945477220689e-02	3.000000000000000e-06	3.000000000000000e-06
1.413000e+01	2.531686080514853e-02	1.313908545750226e-02	3.000000000000000e-06	3.000000000000000e-06
1.585000e+01	2.478435760510529e-02	1.291640023614412e-02	3.000000000000000e-06	3.000000000000000e-06
1.779000e+01	2.419540806699285e-02	1.266680014682118e-02	3.000000000000000e-06	3.000000000000000e-06
1.996000e+01	2.355196890281963e-02	1.238981883921716e-02	3.000000000000000e-06	3.000000000000000e-06
2.239000e+01	2.285154297351038e-02	1.208275939927063e-02	3.000000000000000e-06	3.000000000000000e-06
2.512000e+01	2.209111517350025e-02	1.174218104919095e-02	3.000000000000000e-06	3.000000000000000e-06
2.819000e+01	2.127083081769705e-02	1.136538803918985e-02	3.000000000000000e-06	3.000000000000000e-06
3.163000e+01	2.039711095707857e-02	1.095186213800058e-02	3.000000000000000e-06	3.000000000000000e-06
3.549000e+01	1.947552335810362e-02	1.049991034972476e-02	3.000000000000000e-06	3.000000000000000e-06
3.982000e+01	1.851708103134173e-02	1.000951673135552e-02	3.000000000000000e-06	3.000000000000000e-06
4.467000e+01	1.753852892914505e-02	9.482641870739760e-03	3.000000000000000e-06	3.000000000000000e-06
5.012000e+01	1.655696640075849e-02	8.920381035060945e-03	3.000000000000000e-06	3.000000000000000e-06
5.624000e+01	1.559807969000410e-02	8.327646545471893e-03	3.000000000000000e-06	3.000000000000000e-06
6.310000e+01	1.469174949758160e-02	7.711853247630221e-03	3.000000000000000e-06	3.000000000000000e-06
7.080000e+01	1.386578537867291e-02	7.080263867948738e-03	3.000000000000000e-06	3.000000000000000e-06
7.944000e+01	1.314724490386435e-02	6.443077779862264e-03	3.000000000000000e-06	3.000000000000000e-06
8.913000e+01	1.255687159043331e-02	5.812699399692315e-03	3.000000000000000e-06	3.000000000000000e-06
1.000100e+02	1.210506131204238e-02	5.202714076060943e-03	3.000000000000000e-06	3.000000000000000e-06
1.122100e+02	1.179243962519098e-02	4.629900178343254e-03	3.000000000000000e-06	3.000000000000000e-06
1.259000e+02	1.160862399029809e-02	4.110332936313718e-03	3.000000000000000e-06	3.000000000000000e-06
1.412600e+02	1.153664899104194e-02	3.659508960210888e-03	3.000000000000000e-06	3.000000000000000e-06
1.584900e+02	1.155657692335241e-02	3.289692647225094e-03	3.000000000000000e-06	3.000000000000000e-06
1.778300e+02	1.164926534226852e-02	3.007388814416620e-03	3.000000000000000e-06	3.000000000000000e-06
1.995300e+02	1.179866377170272e-02	2.812244975293919e-03	3.000000000000000e-06	3.000000000000000e-06
2.238800e+02	1.199283376407852e-02	2.696382581561910e-03	3.000000000000000e-06	3.000000000000000e-06
2.511900e+02	1.222371757524605e-02	2.646742667725609e-03	3.000000000000000e-06	3.000000000000000e-06
2.818400e+02	1.248683628950820e-02	2.648555475092316e-03	3.000000000000000e-06	3.000000000000000e-06
3.162300e+02	1.277994834216679e-02	2.688705411912317e-03	3.000000000000000e-06	3.000000000000000e-06
3.548200e+02	1.310251443754771e-02	2.757392098724850e-03	3.000000000000000e-06	3.000000000000000e-06
3.981100e+02	1.345482809716017e-02	2.848390562892725e-03	3.000000000000000e-06	3.000000000000000e-06
4.466900e+02	1.383790509046279e-02	2.958597791639687e-03	3.000000000000000e-06	3.000000000000000e-06
5.011900e+02	1.425270870622323e-02	3.087146176023890e-03	3.000000000000000e-06	3.000000000000000e-06
5.623500e+02	1.470043330892085e-02	3.234856783632671e-03	3.000000000000000e-06	3.000000000000000e-06
6.309600e+02	1.518184164073893e-02	3.403555260531482e-03	3.000000000000000e-06	3.000000000000000e-06
7.079500e+02	1.569772789975687e-02	3.595859815201081e-03	3.000000000000000e-06	3.000000000000000e-06
7.943300e+02	1.624828891297192e-02	3.814626435517359e-03	3.000000000000000e-06	3.000000000000000e-06
