#t[yr]	ecc	inc	eachmass	totalmass
0.000000e+00	3.000000000000000e-02	1.500000000000000e-02	3.000000000000000e-08	3.000000000000000e-05
1.100000e-01	3.000827179530437e-02	1.500294611758582e-02	3.000000000000000e-08	3.000000000000000e-05
1.200000e-01	3.000902348644335e-02	1.500321383378618e-02	3.000000000000000e-08	3.000000000000000e-05
1.300000e-01	3.000977512920327e-02	1.500348153120545e-02	3.000000000000000e-08	3.000000000000000e-05
1.500000e-01	3.001127826958253e-02	1.500401686969833e-02	3.000000000000000e-08	3.000000000000000e-05
1.600000e-01	3.001202976720020e-02	1.500428451077076e-02	3.000000000000000e-08	3.000000000000000e-05
1.800000e-01	3.001353261728745e-02	1.500481973656467e-02	3.000000000000000e-08	3.000000000000000e-05
2.000000e-01	3.001503527383837e-02	1.500535488722003e-02	3.000000000000000e-08	3.000000000000000e-05
2.300000e-01	3.001728889576964e-02	1.500615747230802e-02	3.000000000000000e-08	3.000000000000000e-05
2.600000e-01	3.001954208220708e-02	1.500695988830789e-02	3.000000000000000e-08	3.000000000000000e-05
2.900000e-01	3.002179483312866e-02	1.500776213520388e-02	3.000000000000000e-08	3.000000000000000e-05
3.200000e-01	3.002404714851255e-02	1.500856421298028e-02	3.000000000000000e-08	3.000000000000000e-05
3.600000e-01	3.002704955815055e-02	1.500963338691355e-02	3.000000000000000e-08	3.000000000000000e-05
4.000000e-01	3.003005119340993e-02	1.501070226012506e-02	3.000000000000000e-08	3.000000000000000e-05
4.500000e-01	3.003380214843764e-02	1.501203792869354e-02	3.000000000000000e-08	3.000000000000000e-05
5.100000e-01	3.003830169707473e-02	1.501364011056099e-02	3.000000000000000e-08	3.000000000000000e-05
5.700000e-01	3.004279950294203e-02	1.501524161549683e-02	3.000000000000000e-08	3.000000000000000e-05
6.400000e-01	3.004804474023689e-02	1.501710918219371e-02	3.000000000000000e-08	3.000000000000000e-05
7.100000e-01	3.005328760495497e-02	1.501897582715509e-02	3.000000000000000e-08	3.000000000000000e-05
8.000000e-01	3.006002494438817e-02	1.502137444455687e-02	3.000000000000000e-08	3.000000000000000e-05
9.000000e-01	3.006750627609527e-02	1.502403778711400e-02	3.000000000000000e-08	3.000000000000000e-05
1.000000e+00	3.007498276398876e-02	1.502669924716144e-02	3.000000000000000e-08	3.000000000000000e-05
1.130000e+00	3.008469495566553e-02	1.503015632999774e-02	3.000000000000000e-08	3.000000000000000e-05
1.260000e+00	3.009439895878846e-02	1.503361022934576e-02	3.000000000000000e-08	3.000000000000000e-05
1.420000e+00	3.010633110419379e-02	1.503785681049180e-02	3.000000000000000e-08	3.000000000000000e-05
1.590000e+00	3.011899541279818e-02	1.504236351495179e-02	3.000000000000000e-08	3.000000000000000e-05
1.780000e+00	3.013313306008988e-02	1.504739396962582e-02	3.000000000000000e-08	3.000000000000000e-05
2.000000e+00	3.014948109895724e-02	1.505321019636249e-02	3.000000000000000e-08	3.000000000000000e-05
2.240000e+00	3.016728855194239e-02	1.505954474939132e-02	3.000000000000000e-08	3.000000000000000e-05
2.520000e+00	3.018802859973353e-02	1.506692130891094e-02	3.000000000000000e-08	3.000000000000000e-05
2.820000e+00	3.021020786942492e-02	1.507480832071079e-02	3.000000000000000e-08	3.000000000000000e-05
3.170000e+00	3.023602848630622e-02	1.508398831928981e-02	3.000000000000000e-08	3.000000000000000e-05
3.550000e+00	3.026399498517638e-02	1.509392892280868e-02	3.000000000000000e-08	3.000000000000000e-05
3.990000e+00	3.029628968850367e-02	1.510540492641708e-02	3.000000000000000e-08	3.000000000000000e-05
4.470000e+00	3.033141310693464e-02	1.511788235251786e-02	3.000000000000000e-08	3.000000000000000e-05
5.020000e+00	3.037152122837248e-02	1.513212567807417e-02	3.000000000000000e-08	3.000000000000000e-05
5.630000e+00	3.041583312692915e-02	1.514785566984844e-02	3.000000000000000e-08	3.000000000000000e-05
6.310000e+00	3.046501730284766e-02	1.516530744770463e-02	3.000000000000000e-08	3.000000000000000e-05
7.080000e+00	3.052044063948393e-02	1.518496295338961e-02	3.000000000000000e-08	3.000000000000000e-05
7.950000e+00	3.058271652242331e-02	1.520703554229415e-02	3.000000000000000e-08	3.000000000000000e-05
8.920000e+00	3.065171935103266e-02	1.523147561730853e-02	3.000000000000000e-08	3.000000000000000e-05
1.000000e+01	3.072801360562522e-02	1.525847696532659e-02	3.000000000000000e-08	3.000000000000000e-05
1.123000e+01	3.081422167358404e-02	1.528895891671319e-02	3.000000000000000e-08	3.000000000000000e-05
1.259000e+01	3.090869863963289e-02	1.532232893909826e-02	3.000000000000000e-08	3.000000000000000e-05
1.413000e+01	3.101461800174840e-02	1.535969384459262e-02	3.000000000000000e-08	3.000000000000000e-05
1.585000e+01	3.113159472892083e-02	1.540089886526353e-02	3.000000000000000e-08	3.000000000000000e-05
1.779000e+01	3.126187582791638e-02	1.544671086350522e-02	3.000000000000000e-08	3.000000000000000e-05
1.996000e+01	3.140554843030507e-02	1.549712815923221e-02	3.000000000000000e-08	3.000000000000000e-05
2.239000e+01	3.156390570656203e-02	1.555256343576564e-02	3.000000000000000e-08	3.000000000000000e-05
2.512000e+01	3.173869700498218e-02	1.561357459785294e-02	3.000000000000000e-08	3.000000000000000e-05
2.819000e+01	3.193143087094794e-02	1.568061633821573e-02	3.000000000000000e-08	3.000000000000000e-05
