#t[yr]	ecc	inc	eachmass	totalmass
0.000000e+00	3.000000000000000e-02	1.500000000000000e-02	3.000000000000000e-06	3.000000000000000e-06
1.100000e-01	2.995840604260235e-02	1.498471489717492e-02	3.000000000000000e-06	3.000000000000000e-06
1.200000e-01	2.995462533775884e-02	1.498332531762810e-02	3.000000000000000e-06	3.000000000000000e-06
1.300000e-01	2.995084472733314e-02	1.498193573406099e-02	3.000000000000000e-06	3.000000000000000e-06
1.500000e-01	2.994328379011929e-02	1.497915655496180e-02	3.000000000000000e-06	3.000000000000000e-06
1.600000e-01	2.993950346352327e-02	1.497776695947769e-02	3.000000000000000e-06	3.000000000000000e-06
1.800000e-01	2.993194309483337e-02	1.497498775676038e-02	3.000000000000000e-06	3.000000000000000e-06
2.000000e-01	2.992438310612026e-02	1.497220853853761e-02	3.000000000000000e-06	3.000000000000000e-06
2.300000e-01	2.991304383718904e-02	1.496803968255085e-02	3.000000000000000e-06	3.000000000000000e-06
2.600000e-01	2.990170542753127e-02	1.496387079275752e-02	3.000000000000000e-06	3.000000000000000e-06
2.900000e-01	2.989036787974349e-02	1.495970186980660e-02	3.000000000000000e-06	3.000000000000000e-06
3.200000e-01	2.987903119642311e-02	1.495553291434749e-02	3.000000000000000e-06	3.000000000000000e-06
3.600000e-01	2.986391696788061e-02	1.494997425762363e-02	3.000000000000000e-06	3.000000000000000e-06
4.000000e-01	2.984880428694951e-02	1.494441554580427e-02	3.000000000000000e-06	3.000000000000000e-06
4.500000e-01	2.982991562150480e-02	1.493746708090261e-02	3.000000000000000e-06	3.000000000000000e-06
5.100000e-01	2.980725244459268e-02	1.492912881681566e-02	3.000000000000000e-06	3.000000000000000e-06
5.700000e-01	2.978459280184620e-02	1.492079044179751e-02	3.000000000000000e-06	3.000000000000000e-06
6.400000e-01	2.975816104657058e-02	1.491106220437622e-02	3.000000000000000e-06	3.000000000000000e-06
7.100000e-01	2.973173416316720e-02	1.490133383138639e-02	3.000000000000000e-06	3.000000000000000e-06
8.000000e-01	2.969776395365285e-02	1.488882573744696e-02	3.000000000000000e-06	3.000000000000000e-06
9.000000e-01	2.966002887187326e-02	1.487492763013790e-02	3.000000000000000e-06	3.000000000000000e-06
1.000000e+00	2.962230398414311e-02	1.486102930936429e-02	3.000000000000000e-06	3.000000000000000e-06
1.130000e+00	2.957327702954283e-02	1.484296121336333e-02	3.000000000000000e-06	3.000000000000000e-06
1.260000e+00	2.952426767974372e-02	1.482489285158860e-02	3.000000000000000e-06	3.000000000000000e-06
1.420000e+00	2.946397296300228e-02	1.480265458268793e-02	3.000000000000000e-06	3.000000000000000e-06
1.590000e+00	2.939993984602585e-02	1.477902618300551e-02	3.000000000000000e-06	3.000000000000000e-06
1.780000e+00	2.932841060000806e-02	1.475261782655439e-02	3.000000000000000e-06	3.000000000000000e-06
