#t[yr]	ecc	inc	eachmass	totalmass
0.000000e+00	5.000000000000000e-02	2.500000000000000e-02	3.000000000000000e-08	3.000000000000000e-05
1.100000e-01	5.000255094049984e-02	2.500105297257449e-02	3.000000000000000e-08	3.000000000000000e-05
1.200000e-01	5.000278282393479e-02	2.500114869080554e-02	3.000000000000000e-08	3.000000000000000e-05
1.300000e-01	5.000301470399457e-02	2.500124440794496e-02	3.000000000000000e-08	3.000000000000000e-05
1.500000e-01	5.000347845398796e-02	2.500143583894871e-02	3.000000000000000e-08	3.000000000000000e-05
1.600000e-01	5.000371032392125e-02	2.500153155281293e-02	3.000000000000000e-08	3.000000000000000e-05
1.800000e-01	5.000417405366022e-02	2.500172297726580e-02	3.000000000000000e-08	3.000000000000000e-05
2.000000e-01	5.000463776989464e-02	2.500191439735091e-02	3.000000000000000e-08	3.000000000000000e-05
2.300000e-01	5.000533331892240e-02	2.500220151928811e-02	3.000000000000000e-08	3.000000000000000e-05
2.600000e-01	5.000602883755766e-02	2.500248863139551e-02	3.000000000000000e-08	3.000000000000000e-05
2.900000e-01	5.000672432579607e-02	2.500277573367172e-02	3.000000000000000e-08	3.000000000000000e-05
3.200000e-01	5.000741978363330e-02	2.500306282611533e-02	3.000000000000000e-08	3.000000000000000e-05
3.600000e-01	5.000834701345135e-02	2.500344560074260e-02	3.000000000000000e-08	3.000000000000000e-05
4.000000e-01	5.000927418920481e-02	2.500382835788393e-02	3.000000000000000e-08	3.000000000000000e-05
4.500000e-01	5.001043308285261e-02	2.500430677971594e-02	3.000000000000000e-08	3.000000000000000e-05
5.100000e-01	5.001182364367219e-02	2.500488084983368e-02	3.000000000000000e-08	3.000000000000000e-05
5.700000e-01	5.001321408275957e-02	2.500545488058014e-02	3.000000000000000e-08	3.000000000000000e-05
6.400000e-01	5.001483610779250e-02	2.500612453334187e-02	3.000000000000000e-08	3.000000000000000e-05
7.100000e-01	5.001645796703193e-02	2.500679413248201e-02	3.000000000000000e-08	3.000000000000000e-05
8.000000e-01	5.001854297092174e-02	2.500765496684276e-02	3.000000000000000e-08	3.000000000000000e-05
9.000000e-01	5.002085932022456e-02	2.500861134542544e-02	3.000000000000000e-08	3.000000000000000e-05
1.000000e+00	5.002317533075532e-02	2.500956761444201e-02	3.000000000000000e-08	3.000000000000000e-05
1.130000e+00	5.002618563771687e-02	2.501081060027728e-02	3.000000000000000e-08	3.000000000000000e-05
1.260000e+00	5.002919537152926e-02	2.501205340074510e-02	3.000000000000000e-08	3.000000000000000e-05
1.420000e+00	5.003289887196852e-02	2.501358274668426e-02	3.000000000000000e-08	3.000000000000000e-05
1.590000e+00	5.003683288857253e-02	2.501520736865376e-02	3.000000000000000e-08	3.000000000000000e-05
1.780000e+00	5.004122856823415e-02	2.501702274667352e-02	3.000000000000000e-08	3.000000000000000e-05
2.000000e+00	5.004631676827555e-02	2.501912426711282e-02	3.000000000000000e-08	3.000000000000000e-05
2.240000e+00	5.005186565213481e-02	2.502141622690684e-02	3.000000000000000e-08	3.000000000000000e-05
2.520000e+00	5.005833686790959e-02	2.502408937727411e-02	3.000000000000000e-08	3.000000000000000e-05
2.820000e+00	5.006526734337890e-02	2.502695250642588e-02	3.000000000000000e-08	3.000000000000000e-05
3.170000e+00	5.007334900926243e-02	2.503029156609015e-02	3.000000000000000e-08	3.000000000000000e-05
3.550000e+00	5.008211863995166e-02	2.503391529487546e-02	3.000000000000000e-08	3.000000000000000e-05
3.990000e+00	5.009226676063177e-02	2.503810918995316e-02	3.000000000000000e-08	3.000000000000000e-05
4.470000e+00	5.010332984805662e-02	2.504268189367554e-02	3.000000000000000e-08	3.000000000000000e-05
5.020000e+00	5.011599654401842e-02	2.504791829411020e-02	3.000000000000000e-08	3.000000000000000e-05
5.630000e+00	5.013003284172798e-02	2.505372198632110e-02	3.000000000000000e-08	3.000000000000000e-05
6.310000e+00	5.014566467104229e-02	2.506018676307186e-02	3.000000000000000e-08	3.000000000000000e-05
7.080000e+00	5.016334602316155e-02	2.506750089920499e-02	3.000000000000000e-08	3.000000000000000e-05
7.950000e+00	5.018329878154707e-02	2.507575687869110e-02	3.000000000000000e-08	3.000000000000000e-05
8.920000e+00	5.020551372429725e-02	2.508495171872193e-02	3.000000000000000e-08	3.000000000000000e-05
1.000000e+01	5.023020897112244e-02	2.509517668550991e-02	3.000000000000000e-08	3.000000000000000e-05
1.123000e+01	5.025828392890781e-02	2.510680555403512e-02	3.000000000000000e-08	3.000000000000000e-05
1.259000e+01	5.028926361048996e-02	2.511964325675265e-02	3.000000000000000e-08	3.000000000000000e-05
1.413000e+01	5.032426376683600e-02	2.513415425802472e-02	3.000000000000000e-08	3.000000000000000e-05
1.585000e+01	5.036325402802952e-02	2.515032872821604e-02	3.000000000000000e-08	3.000000000000000e-05
1.779000e+01	5.040710281207065e-02	2.516853040733371e-02	3.000000000000000e-08	3.000000000000000e-05
1.996000e+01	5.045598732798737e-02	2.518883730789530e-02	3.000000000000000e-08	3.000000000000000e-05
2.239000e+01	5.051052308805396e-02	2.521151062656239e-02	3.000000000000000e-08	3.000000000000000e-05
2.512000e+01	5.057152968951500e-02	2.523689825835510e-02	3.000000000000000e-08	3.000000000000000e-05
2.819000e+01	5.063979956330775e-02	2.526533926315058e-02	3.000000000000000e-08	3.000000000000000e-05
3.163000e+01	5.071587175064407e-02	2.529706994928877e-02	3.000000000000000e-08	3.000000000000000e-05
3.549000e+01	5.080068965713878e-02	2.533249871114777e-02	3.000000000000000e-08	3.000000000000000e-05
3.982000e+01	5.089514386066538e-02	2.537201663161051e-02	3.000000000000000e-08	3.000000000000000e-05
4.467000e+01	5.100006141420995e-02	2.541599387775552e-02	3.000000000000000e-08	3.000000000000000e-05
5.012000e+01	5.111683315986736e-02	2.546504446007812e-02	3.000000000000000e-08	3.000000000000000e-05
5.624000e+01	5.124652010754095e-02	2.551965393260490e-02	3.000000000000000e-08	3.000000000000000e-05
6.310000e+01	5.139005081197182e-02	2.558026326609552e-02	3.000000000000000e-08	3.000000000000000e-05
7.080000e+01	5.154881160061641e-02	2.564752061698128e-02	3.000000000000000e-08	3.000000000000000e-05
7.944000e+01	5.172396480519341e-02	2.572199678304415e-02	3.000000000000000e-08	3.000000000000000e-05
8.913000e+01	5.191660897072109e-02	2.580425454682081e-02	3.000000000000000e-08	3.000000000000000e-05
1.000100e+02	5.212810641920674e-02	2.589499054576729e-02	3.000000000000000e-08	3.000000000000000e-05
1.122100e+02	5.235922916463148e-02	2.599466862427612e-02	3.000000000000000e-08	3.000000000000000e-05
1.259000e+02	5.261106809581623e-02	2.610390399410067e-02	3.000000000000000e-08	3.000000000000000e-05
1.412600e+02	5.288439830920077e-02	2.622317802294956e-02	3.000000000000000e-08	3.000000000000000e-05
1.584900e+02	5.317986369667139e-02	2.635289381999505e-02	3.000000000000000e-08	3.000000000000000e-05
1.778300e+02	5.349835211338475e-02	2.649350686952570e-02	3.000000000000000e-08	3.000000000000000e-05
1.995300e+02	5.384059687386236e-02	2.664530758996459e-02	3.000000000000000e-08	3.000000000000000e-05
2.238800e+02	5.420786542745686e-02	2.680868732001302e-02	3.000000000000000e-08	3.000000000000000e-05
2.511900e+02	5.460185803612022e-02	2.698408398627748e-02	3.000000000000000e-08	3.000000000000000e-05
2.818400e+02	5.502558208217541e-02	2.717241274744262e-02	3.000000000000000e-08	3.000000000000000e-05
3.162300e+02	5.548260684701452e-02	2.737483527043292e-02	3.000000000000000e-08	3.000000000000000e-05
3.548200e+02	5.597740222750199e-02	2.759305085943875e-02	3.000000000000000e-08	3.000000000000000e-05
3.981100e+02	5.651465390329271e-02	2.782912864008283e-02	3.000000000000000e-08	3.000000000000000e-05
4.466900e+02	5.709941535476789e-02	2.808566052254935e-02	3.000000000000000e-08	3.000000000000000e-05
5.011900e+02	5.773609323605197e-02	2.836533377665110e-02	3.000000000000000e-08	3.000000000000000e-05
5.623500e+02	5.842903347663320e-02	2.867114669839386e-02	3.000000000000000e-08	3.000000000000000e-05
6.309600e+02	5.918168881914085e-02	2.900596186229241e-02	3.000000000000000e-08	3.000000000000000e-05
7.079500e+02	5.999756437726714e-02	2.937283122016924e-02	3.000000000000000e-08	3.000000000000000e-05
7.943300e+02	6.087949491751823e-02	2.977458800764924e-02	3.000000000000000e-08	3.000000000000000e-05
8.912600e+02	6.183032147928686e-02	3.021407726156166e-02	3.000000000000000e-08	3.000000000000000e-05
1.000010e+03	6.285238909497476e-02	3.069386939139764e-02	3.000000000000000e-08	3.000000000000000e-05
